Date,Period,rate,rate_vs
2026-06-17,5d,0.0,0.0
2026-06-18,5d,-1.2144,0.9833
2026-06-19,5d,-1.2144,0.9833
2026-06-20,5d,-1.2144,0.9833
2026-06-21,5d,-1.2144,0.9833
2026-06-22,5d,-2.1086,0.6883
2026-05-01,1m,0.0,0.0
2026-06-01,1m,1.2396,5.1456
2026-06-22,1m,0.8428,0.8675
2026-03-01,3m,0.0,0.0
2026-04-01,3m,-13.9352,-4.6618
2026-05-01,3m,-5.0035,7.3875
2026-06-01,3m,-2.0733,10.3993
2026-06-22,3m,-1.3129,6.0343
2025-12-01,6m,0.0,0.0
2026-01-01,6m,-1.2496,0.4401
2026-02-01,6m,14.1448,1.6219
2026-03-01,6m,20.1189,0.2379
2026-04-01,6m,-0.8712,-4.42
2026-05-01,6m,1.4336,6.0948
2026-06-01,6m,2.5346,10.5789
2026-06-22,6m,2.4355,7.2925
2025-06-01,1y,0.0,0.0
2025-07-01,1y,-1.0673,5.0181
2025-08-01,1y,-8.1122,3.123
2025-09-01,1y,-4.8085,5.9114
2025-10-01,1y,-9.4316,8.4981
2025-11-01,1y,-8.0332,8.9448
2025-12-01,1y,-3.2135,7.1769
2026-01-01,1y,-3.8877,6.7111
2026-02-01,1y,10.9967,7.3938
2026-03-01,1y,20.5219,5.707
2026-04-01,1y,2.0541,0.3257
2026-05-01,1y,4.0645,10.3224
2026-06-01,1y,5.1082,15.201
2026-06-22,1y,4.9917,12.1829
2023-06-01,3y,0.0,0.0
2023-07-01,3y,2.7544,5.3868
2023-08-01,3y,1.4325,5.6927
2023-09-01,3y,-3.5164,2.6064
2023-10-01,3y,-5.5318,-3.113
2023-11-01,3y,2.6227,-3.5781
2023-12-01,3y,7.3078,5.3581
2024-01-01,3y,7.6131,8.7284
2024-02-01,3y,17.152,10.7931
2024-03-01,3y,15.7285,14.8882
2024-04-01,3y,17.5374,16.5809
2024-05-01,3y,21.5836,10.2362
2024-06-01,3y,21.1564,15.2464
2024-07-01,3y,22.8385,19.2469
2024-08-01,3y,29.9405,17.3348
2024-09-01,3y,34.9964,20.5979
2024-10-01,3y,27.603,21.5191
2024-11-01,3y,16.7405,20.7524
2024-12-01,3y,19.8978,26.0892
2025-01-01,3y,11.8103,21.8038
2025-02-01,3y,6.6761,23.9611
2025-03-01,3y,11.8361,21.2617
2025-04-01,3y,14.6262,13.9676
2025-05-01,3y,12.6142,12.8171
2025-06-01,3y,14.8628,18.4927
2025-07-01,3y,13.1578,23.7814
2025-08-01,3y,4.1173,23.6589
2025-09-01,3y,4.6564,27.4262
2025-10-01,3y,-1.8023,31.3957
2025-11-01,3y,-2.2411,32.9534
2025-12-01,3y,1.4978,31.532
2026-01-01,3y,0.2787,31.217
2026-02-01,3y,15.227,32.1258
2026-03-01,3y,26.0106,30.0979
2026-04-01,3y,7.8977,23.3094
2026-05-01,3y,10.0013,34.9128
2026-06-01,3y,11.1919,40.9731
2026-06-22,3y,11.1876,37.6047
2021-06-01,5y,0.0,0.0
2021-07-01,5y,-0.9962,2.8112
2021-08-01,5y,-2.7259,3.2533
2021-09-01,5y,-3.2954,5.2618
2021-10-01,5y,-5.9197,0.1541
2021-11-01,5y,-3.7224,6.1049
2021-12-01,5y,-3.8334,2.8827
2022-01-01,5y,9.4624,8.3588
2022-02-01,5y,5.641,2.3412
2022-03-01,5y,-2.5351,-3.09
2022-04-01,5y,-1.8033,2.7056
2022-05-01,5y,-0.2328,-6.8075
2022-06-01,5y,1.267,-6.7932
2022-07-01,5y,6.0388,-12.4089
2022-08-01,5y,5.085,-4.6608
2022-09-01,5y,3.0599,-7.7453
2022-10-01,5y,-9.4476,-16.0504
2022-11-01,5y,-3.7623,-8.5915
2022-12-01,5y,1.6851,-2.6566
2023-01-01,5y,2.95,-8.1249
2023-02-01,5y,-0.3207,-0.8455
2023-03-01,5y,-3.5555,-4.6853
2023-04-01,5y,0.0635,0.1971
2023-05-01,5y,8.0715,1.7068
2023-06-01,5y,0.0001,3.1702
2023-07-01,5y,2.8531,8.6984
2023-08-01,5y,2.8463,11.5789
2023-09-01,5y,-1.781,9.9087
2023-10-01,5y,-4.6182,4.1314
2023-11-01,5y,2.6045,2.8465
2023-12-01,5y,7.6703,11.5999
2024-01-01,5y,8.7982,15.6362
2024-02-01,5y,19.2074,18.534
2024-03-01,5y,19.1301,23.6807
2024-04-01,5y,22.0875,26.4428
2024-05-01,5y,27.3722,20.4106
2024-06-01,5y,28.0674,26.2741
2024-07-01,5y,30.8394,31.2645
2024-08-01,5y,39.4021,29.8523
2024-09-01,5y,46.0244,34.0016
