Date,Period,rate,rate_vs
2026-04-01,1m,0.0,0.0
2026-05-01,1m,29.5621,9.8967
2026-05-21,1m,15.3171,8.1076
2026-02-01,3m,0.0,0.0
2026-03-01,3m,-7.8555,-0.9007
2026-04-01,3m,-8.339,-5.0439
2026-05-01,3m,22.4384,6.2709
2026-05-21,3m,17.4005,7.8806
2025-11-01,6m,0.0,0.0
2025-12-01,6m,11.8729,-0.3421
2026-01-01,6m,5.3216,0.3183
2026-02-01,6m,11.7823,1.6308
2026-03-01,6m,0.3643,0.3869
2026-04-01,6m,-4.2828,-4.2902
2026-05-01,6m,25.0413,6.0554
2026-05-21,6m,22.07,8.3938
2025-05-01,1y,0.0,0.0
2025-06-01,1y,6.366,5.4288
2025-07-01,1y,5.7213,7.9241
2025-08-01,1y,11.6246,5.9314
2025-09-01,1y,22.3599,8.3761
2025-10-01,1y,35.694,10.8594
2025-11-01,1y,48.9518,11.2449
2025-12-01,1y,58.9561,9.3585
2026-01-01,1y,50.7654,8.7609
2026-02-01,1y,56.7042,9.3383
2026-03-01,1y,39.2993,7.5256
2026-04-01,1y,29.5533,1.9539
2026-05-01,1y,64.8149,11.9677
2026-05-21,1y,60.6378,14.4365
2024-05-01,2y,0.0,0.0
2024-06-01,2y,5.1676,5.2629
2024-07-01,2y,8.888,7.2409
2024-08-01,2y,-1.1853,4.3228
2024-09-01,2y,-5.1963,7.1491
2024-10-01,2y,-1.9424,7.6615
2024-11-01,2y,0.8975,6.8148
2024-12-01,2y,-0.6214,11.5745
2025-01-01,2y,11.5395,7.5484
2025-02-01,2y,18.8188,9.5736
2025-03-01,2y,-2.4099,7.2323
2025-04-01,2y,-9.6722,0.9641
2025-05-01,2y,-6.4206,0.396
2025-06-01,2y,0.154,5.9119
2025-07-01,2y,2.6488,10.8865
2025-08-01,2y,10.2098,10.8677
2025-09-01,2y,23.3415,14.3527
2025-10-01,2y,40.408,17.9483
2025-11-01,2y,58.63,19.3182
2025-12-01,2y,74.1799,18.0094
2026-01-01,2y,69.5565,17.7369
2026-02-01,2y,79.5173,18.5814
2026-03-01,2y,62.2428,16.7885
2026-04-01,2y,52.2864,10.7547
2026-05-01,2y,94.6717,21.34
2026-05-21,2y,91.8558,24.1683
2023-05-01,3y,0.0,0.0
2023-06-01,3y,15.2952,1.4125
2023-07-01,3y,4.1015,6.1845
2023-08-01,3y,12.8682,7.1819
2023-09-01,3y,13.0512,4.1882
2023-10-01,3y,6.514,-1.7815
2023-11-01,3y,1.8593,-2.5801
2023-12-01,3y,5.9253,6.1973
2024-01-01,3y,11.4174,9.5932
2024-02-01,3y,11.2967,11.7107
2024-03-01,3y,7.02,15.8808
2024-04-01,3y,20.6059,17.6488
2024-05-01,3y,25.2797,11.2951
2024-06-01,3y,29.8303,16.3461
2024-07-01,3y,35.6056,20.4026
2024-08-01,3y,24.3211,18.5003
2024-09-01,3y,17.4878,21.8076
2024-10-01,3y,19.1689,22.7563
2024-11-01,3y,21.1393,21.9967
2024-12-01,3y,18.3818,27.3963
2025-01-01,3y,31.7446,23.0839
2025-02-01,3y,40.3546,25.2667
2025-03-01,3y,15.6086,22.5436
2025-04-01,3y,6.1449,15.1693
2025-05-01,3y,8.7361,13.9886
2025-06-01,3y,15.3976,19.7023
2025-07-01,3y,17.6826,25.0342
2025-08-01,3y,25.8686,24.9073
2025-09-01,3y,40.6504,28.7082
2025-10-01,3y,60.3043,32.7172
2025-11-01,3y,81.7467,34.2937
2025-12-01,3y,100.572,32.8614
2026-01-01,3y,96.3727,32.5439
2026-02-01,3y,108.9004,33.4611
2026-03-01,3y,89.7258,31.4121
2026-04-01,3y,78.6586,24.552
2026-05-01,3y,128.8679,36.2622
2026-05-21,3y,126.5334,39.418
2021-05-01,5y,0.0,0.0
2021-06-01,5y,1.075,0.4887
2021-07-01,5y,3.345,3.114
2021-08-01,5y,12.4477,3.9532
2021-09-01,5y,17.8211,6.0908
2021-10-01,5y,7.4145,1.0516
2021-11-01,5y,11.5688,6.9066
2021-12-01,5y,8.0289,3.7002
2022-01-01,5y,9.8962,9.1717
2022-02-01,5y,3.3722,3.1425
2022-03-01,5y,0.3435,-2.3796
2022-04-01,5y,4.8589,3.3592
2022-05-01,5y,-14.9611,-6.2432
2022-06-01,5y,-13.9822,-6.318
2022-07-01,5y,-16.9285,-12.031
2022-08-01,5y,-11.066,-4.3438
