Date,Period,rate,rate_vs
2026-06-17,5d,0.0,0.0
2026-06-18,5d,1.8252,0.9833
2026-06-19,5d,1.8252,0.9833
2026-06-20,5d,1.8252,0.9833
2026-06-21,5d,1.8252,0.9833
2026-06-22,5d,2.0188,0.6883
2026-05-01,1m,0.0,0.0
2026-06-01,1m,11.7963,5.1456
2026-06-22,1m,15.8988,0.8675
2026-03-01,3m,0.0,0.0
2026-04-01,3m,-18.1989,-4.6618
2026-05-01,3m,-19.0854,7.3875
2026-06-01,3m,-2.3679,10.3993
2026-06-22,3m,7.5222,6.0343
2025-12-01,6m,0.0,0.0
2026-01-01,6m,0.4099,0.4401
2026-02-01,6m,2.5197,1.6219
2026-03-01,6m,9.7893,0.2379
2026-04-01,6m,-12.1257,-4.42
2026-05-01,6m,-19.5941,6.0948
2026-06-01,6m,-6.3834,10.5789
2026-06-22,6m,3.487,7.2925
2025-06-01,1y,0.0,0.0
2025-07-01,1y,3.3269,5.0181
2025-08-01,1y,-4.6333,3.123
2025-09-01,1y,6.6032,5.9114
2025-10-01,1y,-2.319,8.4981
2025-11-01,1y,-18.0207,8.9448
2025-12-01,1y,-10.7702,7.1769
2026-01-01,1y,-8.7853,6.7111
2026-02-01,1y,-5.5204,7.3938
2026-03-01,1y,2.6988,5.707
2026-04-01,1y,-16.1364,0.3257
2026-05-01,1y,-24.0099,10.3224
2026-06-01,1y,-12.7311,15.201
2026-06-22,1y,-3.3827,12.1829
2023-06-01,3y,0.0,0.0
2023-07-01,3y,8.9415,5.3868
2023-08-01,3y,17.9781,5.6927
2023-09-01,3y,11.0581,2.6064
2023-10-01,3y,9.129,-3.113
2023-11-01,3y,1.6574,-3.5781
2023-12-01,3y,13.5578,5.3581
2024-01-01,3y,8.4845,8.7284
2024-02-01,3y,2.0929,10.7931
2024-03-01,3y,5.267,14.8882
2024-04-01,3y,16.6212,16.5809
2024-05-01,3y,4.0422,10.2362
2024-06-01,3y,33.8921,15.2464
2024-07-01,3y,26.181,19.2469
2024-08-01,3y,33.7399,17.3348
2024-09-01,3y,37.8368,20.5979
2024-10-01,3y,37.6747,21.5191
2024-11-01,3y,53.5093,20.7524
2024-12-01,3y,62.5395,26.0892
2025-01-01,3y,45.6783,21.8038
2025-02-01,3y,48.2116,23.9611
2025-03-01,3y,49.0139,21.2617
2025-04-01,3y,39.7474,13.9676
2025-05-01,3y,12.9072,12.8171
2025-06-01,3y,27.1425,18.4927
2025-07-01,3y,30.372,23.7814
2025-08-01,3y,21.2573,23.6589
2025-09-01,3y,32.5596,27.4262
2025-10-01,3y,22.3184,31.3957
2025-11-01,3y,1.5462,32.9534
2025-12-01,3y,6.5843,31.532
2026-01-01,3y,6.9079,31.217
2026-02-01,3y,9.2079,32.1258
2026-03-01,3y,17.6518,30.0979
2026-04-01,3y,-4.0908,23.3094
2026-05-01,3y,-14.4785,34.9128
2026-06-01,3y,-3.8476,40.9731
2026-06-22,3y,5.3909,37.6047
2021-06-01,5y,0.0,0.0
2021-07-01,5y,-3.7779,2.8112
2021-08-01,5y,-7.8723,3.2533
2021-09-01,5y,0.6532,5.2618
2021-10-01,5y,-5.5766,0.1541
2021-11-01,5y,-11.942,6.1049
2021-12-01,5y,-14.7009,2.8827
2022-01-01,5y,-9.0352,8.3588
2022-02-01,5y,-5.8211,2.3412
2022-03-01,5y,-17.6504,-3.09
2022-04-01,5y,-5.6456,2.7056
2022-05-01,5y,-5.1824,-6.8075
2022-06-01,5y,-1.3982,-6.7932
2022-07-01,5y,-12.6774,-12.4089
2022-08-01,5y,-10.0137,-4.6608
2022-09-01,5y,-9.609,-7.7453
2022-10-01,5y,-30.1828,-16.0504
2022-11-01,5y,-24.2806,-8.5915
2022-12-01,5y,-13.0016,-2.6566
2023-01-01,5y,-18.7955,-8.1249
2023-02-01,5y,-3.1075,-0.8455
2023-03-01,5y,-11.7462,-4.6853
2023-04-01,5y,-12.7423,0.1971
2023-05-01,5y,-19.0594,1.7068
2023-06-01,5y,-27.1383,3.1702
2023-07-01,5y,-19.3659,8.6984
2023-08-01,5y,-8.0596,11.5789
2023-09-01,5y,-8.5014,9.9087
2023-10-01,5y,-7.4721,4.1314
2023-11-01,5y,-12.0832,2.8465
2023-12-01,5y,-1.0601,11.5999
2024-01-01,5y,-3.7979,15.6362
2024-02-01,5y,-8.4516,18.534
2024-03-01,5y,-5.118,23.6807
2024-04-01,5y,5.8191,26.4428
2024-05-01,5y,-4.5009,20.4106
2024-06-01,5y,23.4648,26.2741
2024-07-01,5y,18.0597,31.2645
2024-08-01,5y,26.5076,29.8523
2024-09-01,5y,31.9048,34.0016
2024-10-01,5y,33.2425,35.6208
2024-11-01,5y,50.0829,35.3155
2024-12-01,5y,60.7655,41.7756
2025-01-01,5y,45.7764,37.5196
2025-02-01,5y,49.6012,40.3471
2025-03-01,5y,51.6546,37.6841
2025-04-01,5y,43.3157,29.6685
2025-05-01,5y,16.4881,28.4218
2025-06-01,5y,31.4165,34.9019
2025-07-01,5y,35.2542,41.0621
2025-08-01,5y,26.2756,41.1474
2025-09-01,5y,38.3831,45.6506
2025-10-01,5y,28.1365,50.4412
2025-11-01,5y,6.6077,52.5204
2025-12-01,5y,11.827,51.1786
2026-01-01,5y,12.1759,51.0584
2026-02-01,5y,14.6,52.3207
2026-03-01,5y,23.502,50.1874
2026-04-01,5y,0.7938,42.5017
2026-05-01,5y,-10.2431,55.967
2026-06-01,5y,0.6343,63.1729
2026-06-22,5y,10.1741,59.5177
2019-06-01,7y,0.0,0.0
2019-07-01,7y,5.3926,7.784
2019-08-01,7y,0.2297,3.5931
2019-09-01,7y,-7.1923,1.5343
2019-10-01,7y,-2.9527,1.8866
2019-11-01,7y,6.9611,5.9657
2019-12-01,7y,12.7459,7.7354
2020-01-01,7y,10.2157,9.7848
2020-02-01,7y,-3.6813,8.5084
2020-03-01,7y,-10.9955,-1.1595
2020-04-01,7y,-26.507,-17.2249
2020-05-01,7y,-14.6417,-3.1129
2020-06-01,7y,-10.0268,5.0455
2020-07-01,7y,-9.0554,6.8222
2020-08-01,7y,-8.4683,11.8156
2020-09-01,7y,0.6738,19.8704
2020-10-01,7y,7.1412,13.8224
2020-11-01,7y,16.8659,9.4333
2020-12-01,7y,36.1642,22.1543
2021-01-01,7y,33.9016,24.1391
2021-02-01,7y,32.3876,23.6706
2021-03-01,7y,37.3656,26.9155
2021-04-01,7y,42.2924,30.541
2021-05-01,7y,50.0471,34.6157
2021-06-01,7y,64.1385,33.9539
2021-07-01,7y,55.6194,36.4554
2021-08-01,7y,44.1899,37.5777
2021-09-01,7y,51.4811,40.3506
2021-10-01,7y,40.6395,33.8705
2021-11-01,7y,28.3594,40.6549
2021-12-01,7y,20.7133,36.3955
2022-01-01,7y,24.9591,43.0077
2022-02-01,7y,27.0042,35.112
2022-03-01,7y,9.594,27.2686
2022-04-01,7y,22.6301,33.6143
2022-05-01,7y,21.928,20.6639
2022-06-01,7y,25.5968,19.3895
2022-07-01,7y,10.5026,11.0876
2022-08-01,7y,12.4291,19.3953
2022-09-01,7y,11.7911,14.683
2022-10-01,7y,-14.4459,3.4865
2022-11-01,7y,-9.1369,11.3416
2022-12-01,7y,2.821,17.6733
2023-01-01,7y,-4.833,10.52
2023-02-01,7y,12.3872,18.4986
2023-03-01,7y,1.9635,13.4718
2023-04-01,7y,0.1674,18.7145
2023-05-01,7y,-7.6712,20.1124
2023-06-01,7y,-17.5495,21.5033
2023-07-01,7y,-9.7005,27.7114
2023-08-01,7y,2.2404,30.9324
2023-09-01,7y,1.3784,28.8727
2023-10-01,7y,2.1551,21.9674
2023-11-01,7y,-3.2421,20.2196
2023-12-01,7y,8.4622,30.1676
2024-01-01,7y,5.2766,34.761
2024-02-01,7y,-0.0276,38.0871
2024-03-01,7y,3.3258,44.0701
2024-04-01,7y,14.9915,47.3422
2024-05-01,7y,3.7119,40.3892
2024-06-01,7y,33.8292,47.2145
2024-07-01,7y,28.0992,53.0903
2024-08-01,7y,37.334,51.5475
2024-09-01,7y,43.3466,56.4695
2024-10-01,7y,44.9941,58.4739
2024-11-01,7y,63.5365,58.2345
2024-12-01,7y,75.5414,65.8965
2025-01-01,7y,59.5557,61.0674
2025-02-01,7y,64.0149,64.4836
2025-03-01,7y,66.5538,61.4786
2025-04-01,7y,57.6655,52.157
2025-05-01,7y,28.3174,50.7012
2025-06-01,7y,44.746,58.2967
2025-07-01,7y,49.0702,65.5655
2025-08-01,7y,39.2823,65.745
2025-09-01,7y,52.6868,71.1075
2025-10-01,7y,41.4946,76.8359
2025-11-01,7y,17.7617,79.404
2025-12-01,7y,23.4306,77.9523
2026-01-01,7y,23.7569,77.9208
2026-02-01,7y,26.3736,79.5098
2026-03-01,7y,36.1443,77.0959
2026-04-01,7y,11.1169,68.1104
2026-05-01,7y,-1.1559,84.0286
2026-06-01,7y,10.6286,92.6374
2026-06-22,7y,20.9921,88.4535
2016-01-04,max,0.0,0.0
2016-02-01,max,-9.594,-3.7423
2016-03-01,max,3.4988,0.3764
2016-04-01,max,14.3877,5.1946
2016-05-01,max,16.9841,3.5695
2016-06-01,max,11.6776,4.8356
2016-07-01,max,11.2769,4.3651
2016-08-01,max,16.8146,7.2005
2016-09-01,max,23.9015,6.5176
2016-10-01,max,19.4168,5.8316
2016-11-01,max,8.2599,2.6321
2016-12-01,max,22.0204,6.5262
2017-01-01,max,28.2232,8.6002
2017-02-01,max,34.2162,9.8701
2017-03-01,max,26.2449,14.9815
2017-04-01,max,17.7843,12.5254
2017-05-01,max,23.559,13.1716
2017-06-01,max,23.4462,14.581
2017-07-01,max,28.3255,14.626
2017-08-01,max,23.9617,16.4591
2017-09-01,max,24.9085,15.9061
2017-10-01,max,28.018,17.2911
2017-11-01,max,28.7475,19.4181
2017-12-01,max,23.926,21.7575
2018-01-01,max,28.0282,22.6249
2018-02-01,max,35.0727,28.3844
2018-03-01,max,27.5728,21.0506
2018-04-01,max,15.8567,18.8566
2018-05-01,max,10.2809,18.843
2018-06-01,max,19.827,22.0592
2018-07-01,max,12.3452,20.962
2018-08-01,max,12.696,24.4135
2018-09-01,max,10.5506,27.7869
2018-10-01,max,7.705,28.1445
2018-11-01,max,-0.8911,19.3954
2018-12-01,max,0.4437,19.8359
2019-01-01,max,-12.2481,8.7501
2019-02-01,max,1.1307,17.203
2019-03-01,max,1.971,21.2677
2019-04-01,max,5.0246,23.6016
2019-05-01,max,1.3082,25.5902
2019-06-01,max,-4.3378,17.8911
2019-07-01,max,1.0236,26.7327
2019-08-01,max,-1.3803,25.8061
2019-09-01,max,-8.5559,24.2046
2019-10-01,max,-5.9787,24.595
2019-11-01,max,3.1603,29.5299
2019-12-01,max,9.8754,32.3145
2020-01-01,max,8.9801,35.5516
2020-02-01,max,-3.7975,34.7733
2020-03-01,max,-11.4006,23.2161
2020-04-01,max,-27.5456,2.6957
2020-05-01,max,-17.9162,17.923
2020-06-01,max,-14.3401,27.1545
2020-07-01,max,-13.8797,29.2791
2020-08-01,max,-13.6788,35.3897
2020-09-01,max,-5.3671,45.4969
2020-10-01,max,0.8589,38.8421
2020-11-01,max,10.4343,33.8054
2020-12-01,max,29.5071,49.4413
2021-01-01,max,28.6734,52.4925
2021-02-01,max,28.3822,52.5474
2021-03-01,max,34.3022,57.1165
2021-04-01,max,40.2927,62.2404
2021-05-01,max,49.2056,68.0147
2021-06-01,max,64.6816,67.9506
2021-07-01,max,57.6719,71.7835
2021-08-01,max,47.3215,73.9065
2021-09-01,max,55.811,78.108
2021-10-01,max,45.6788,70.559
2021-11-01,max,33.6973,79.7147
2021-12-01,max,26.2183,74.8714
2022-01-01,max,31.008,83.8439
2022-02-01,max,33.5559,74.2485
2022-03-01,max,15.6027,64.4857
2022-04-01,max,29.4561,72.8765
2022-05-01,max,29.0114,56.3809
2022-06-01,max,33.1722,54.7432
2022-07-01,max,17.4417,43.9638
2022-08-01,max,19.5652,54.5402
2022-09-01,max,18.9822,48.4061
2022-10-01,max,-8.8805,33.808
2022-11-01,max,-3.507,43.6413
2022-12-01,max,8.9801,51.6237
2023-01-01,max,0.8342,42.3283
2023-02-01,max,18.9324,52.4008
2023-03-01,max,7.9675,45.8599
2023-04-01,max,6.0212,52.4428
2023-05-01,max,-2.3341,54.1535
2023-06-01,max,-12.9098,55.8684
2023-07-01,max,-4.8741,63.7729
2023-08-01,max,7.5357,67.9151
2023-09-01,max,6.5946,65.3142
2023-10-01,max,7.3689,56.4671
2023-11-01,max,1.6633,54.158
2023-12-01,max,13.8717,66.8181
2024-01-01,max,10.5446,72.7134
2024-02-01,max,4.9665,77.0248
