Date,Period,rate,rate_vs
2026-04-01,1m,0.0,0.0
2026-05-01,1m,17.2662,9.8967
2026-05-21,1m,2.3492,8.1076
2026-02-01,3m,0.0,0.0
2026-03-01,3m,8.2591,-0.9007
2026-04-01,3m,-11.8041,-5.0439
2026-05-01,3m,8.107,6.2709
2026-05-21,3m,-0.0335,7.8806
2025-11-01,6m,0.0,0.0
2025-12-01,6m,1.3502,-0.3421
2026-01-01,6m,-1.4108,0.3183
2026-02-01,6m,3.1302,1.6308
2026-03-01,6m,10.8844,0.3869
2026-04-01,6m,-7.8994,-4.2902
2026-05-01,6m,9.6367,6.0554
2026-05-21,6m,2.0312,8.3938
2025-05-01,1y,0.0,0.0
2025-06-01,1y,5.4667,5.4288
2025-07-01,1y,10.3811,7.9241
2025-08-01,1y,9.6432,5.9314
2025-09-01,1y,15.7585,8.3761
2025-10-01,1y,7.7227,10.8594
2025-11-01,1y,-1.8558,11.2449
2025-12-01,1y,-0.1767,9.3585
2026-01-01,1y,-2.1875,8.7609
2026-02-01,1y,2.1078,9.3383
2026-03-01,1y,10.4123,7.5256
2026-04-01,1y,-7.2477,1.9539
2026-05-01,1y,9.5751,11.9677
2026-05-21,1y,2.5827,14.4365
2024-05-01,2y,0.0,0.0
2024-06-01,2y,2.2745,5.2629
2024-07-01,2y,-6.4453,7.2409
2024-08-01,2y,12.6719,4.3228
2024-09-01,2y,15.5412,7.1491
2024-10-01,2y,18.431,7.6615
2024-11-01,2y,10.3336,6.8148
2024-12-01,2y,10.54,11.5745
2025-01-01,2y,-1.6225,7.5484
2025-02-01,2y,7.6586,9.5736
2025-03-01,2y,2.609,7.2323
2025-04-01,2y,-4.9091,0.9641
2025-05-01,2y,-17.5523,0.396
2025-06-01,2y,-11.5409,5.9119
2025-07-01,2y,-4.0318,10.8865
2025-08-01,2y,-1.2886,10.8677
2025-09-01,2y,6.665,14.3527
2025-10-01,2y,1.6758,17.9483
2025-11-01,2y,-6.3211,19.3182
2025-12-01,2y,-4.6291,18.0094
2026-01-01,2y,-6.3374,17.7369
2026-02-01,2y,-2.1464,18.5814
2026-03-01,2y,6.1422,16.7885
2026-04-01,2y,-10.2862,10.7547
2026-05-01,2y,5.8073,21.34
2026-05-21,2y,-0.49,24.1683
2023-05-01,3y,0.0,0.0
2023-06-01,3y,-7.6167,1.4125
2023-07-01,3y,12.4459,6.1845
2023-08-01,3y,15.9432,7.1819
2023-09-01,3y,9.3003,4.1882
2023-10-01,3y,-3.8582,-1.7815
2023-11-01,3y,-4.5715,-2.5801
2023-12-01,3y,13.8099,6.1973
2024-01-01,3y,20.7609,9.5932
2024-02-01,3y,22.2273,11.7107
2024-03-01,3y,35.2196,15.8808
2024-04-01,3y,32.1614,17.6488
2024-05-01,3y,14.2908,11.2951
2024-06-01,3y,15.874,16.3461
2024-07-01,3y,6.1834,20.4026
2024-08-01,3y,24.5605,18.5003
2024-09-01,3y,29.8312,21.8076
2024-10-01,3y,34.9267,22.7563
2024-11-01,3y,27.2059,21.9967
2024-12-01,3y,27.7295,27.3963
2025-01-01,3y,13.8065,23.0839
2025-02-01,3y,23.6059,25.2667
2025-03-01,3y,17.6291,22.5436
2025-04-01,3y,8.5566,15.1693
2025-05-01,3y,-6.5834,13.9886
2025-06-01,3y,-1.1043,19.7023
2025-07-01,3y,6.35,25.0342
2025-08-01,3y,8.8469,24.9073
2025-09-01,3y,17.1837,28.7082
2025-10-01,3y,11.5505,32.7172
2025-11-01,3y,2.5187,34.2937
2025-12-01,3y,3.9211,32.8614
2026-01-01,3y,1.6947,32.5439
2026-02-01,3y,5.8526,33.4611
2026-03-01,3y,14.52,31.4121
2026-04-01,3y,-3.311,24.552
2026-05-01,3y,13.6016,36.2622
2026-05-21,3y,6.7305,39.418
2021-05-01,5y,0.0,0.0
2021-06-01,5y,-4.8306,0.4887
2021-07-01,5y,-5.3615,3.114
2021-08-01,5y,-2.1492,3.9532
2021-09-01,5y,1.2542,6.0908
2021-10-01,5y,-7.8403,1.0516
2021-11-01,5y,8.0993,6.9066
2021-12-01,5y,9.0206,3.7002
2022-01-01,5y,15.3548,9.1717
2022-02-01,5y,2.536,3.1425
2022-03-01,5y,-11.4479,-2.3796
2022-04-01,5y,-15.3898,3.3592
2022-05-01,5y,-12.2164,-6.2432
2022-06-01,5y,-5.7954,-6.318
2022-07-01,5y,-12.289,-12.031
2022-08-01,5y,-5.6102,-4.3438
2022-09-01,5y,-12.1174,-7.477
2022-10-01,5y,-18.5302,-15.8473
2022-11-01,5y,-19.3261,-8.441
2022-12-01,5y,-6.9004,-2.5318
2023-01-01,5y,-15.7495,-8.0195
2023-02-01,5y,-1.0174,-0.7582
2023-03-01,5y,-5.4487,-4.6068
2023-04-01,5y,-8.6876,0.2663
2023-05-01,5y,-1.6187,1.7748
2023-06-01,5y,-8.965,3.2394
2023-07-01,5y,6.8716,8.774
2023-08-01,5y,14.1756,11.6668
2023-09-01,5y,10.9929,10.0077
2023-10-01,5y,-1.0031,4.234
2023-11-01,5y,-2.344,2.9494
2023-12-01,5y,15.7779,11.7115
2024-01-01,5y,24.2203,15.7609
2024-02-01,5y,27.4286,18.6738
2024-03-01,5y,42.6844,23.8404
2024-04-01,5y,41.6256,26.6228
2024-05-01,5y,23.9953,20.5984
2024-06-01,5y,26.2757,26.4829
2024-07-01,5y,16.2236,31.4966
2024-08-01,5y,36.3854,30.0985
2024-09-01,5y,42.9749,34.2707
2024-10-01,5y,49.522,35.9095
2024-11-01,5y,41.8986,35.6193
2024-12-01,5y,43.1189,42.1091
2025-01-01,5y,28.0381,37.8596
2025-02-01,5y,39.1937,40.7079
2025-03-01,5y,32.808,38.052
2025-04-01,5y,22.7228,30.0262
2025-05-01,5y,5.5486,28.7835
2025-06-01,5y,11.3082,35.2886
2025-07-01,5y,19.4061,41.4755
2025-08-01,5y,22.0923,41.5716
2025-09-01,5y,31.3698,46.0985
2025-10-01,5y,25.1258,50.9152
2025-11-01,5y,14.9657,53.013
2025-12-01,5y,16.3566,51.6787
2026-01-01,5y,13.7137,51.569
2026-02-01,5y,18.174,52.8458
2026-03-01,5y,27.7206,50.7151
2026-04-01,5y,7.8295,43.0108
2026-05-01,5y,26.4188,56.5309
2026-05-21,5y,18.7511,60.3629
2019-05-01,7y,0.0,0.0
2019-06-01,7y,-11.2564,-5.7539
2019-07-01,7y,6.8819,4.7339
2019-08-01,7y,3.7884,2.8754
2019-09-01,7y,6.9382,1.3056
2019-10-01,7y,8.8729,1.7846
2019-11-01,7y,19.5794,5.9461
2019-12-01,7y,16.4925,7.8664
2020-01-01,7y,17.9579,10.0469
2020-02-01,7y,15.1421,8.8785
2020-03-01,7y,-1.2062,-0.7655
2020-04-01,7y,-20.5399,-16.9333
2020-05-01,7y,-0.7948,-2.9548
2020-06-01,7y,15.7673,5.1824
2020-07-01,7y,21.8753,6.9808
2020-08-01,7y,38.9508,12.0059
2020-09-01,7y,41.7638,20.1166
2020-10-01,7y,29.3981,14.1152
2020-11-01,7y,24.5155,9.7452
2020-12-01,7y,23.7484,22.517
2021-01-01,7y,25.0604,24.5527
2021-02-01,7y,24.5162,24.125
2021-03-01,7y,22.0528,27.418
2021-04-01,7y,35.5591,31.0957
2021-05-01,7y,40.4263,35.2274
2021-06-01,7y,32.2322,34.6027
2021-07-01,7y,27.0987,37.1514
2021-08-01,7y,27.9992,38.3135
2021-09-01,7y,30.7284,41.1332
2021-10-01,7y,18.3353,34.6467
2021-11-01,7y,36.1752,41.4916
2021-12-01,7y,37.6471,37.2313
2022-01-01,7y,45.9223,43.9029
2022-02-01,7y,30.4083,35.9789
2022-03-01,7y,12.1366,28.0972
2022-04-01,7y,5.5806,34.4891
2022-05-01,7y,7.7542,21.4619
2022-06-01,7y,14.1957,20.1769
2022-07-01,7y,5.5182,11.8171
2022-08-01,7y,12.3568,20.1694
2022-09-01,7y,3.9418,15.423
2022-10-01,7y,-4.5024,4.1483
2022-11-01,7y,-6.5066,12.0395
2022-12-01,7y,6.7269,18.4022
2023-01-01,7y,-3.9088,11.2003
2023-02-01,7y,12.0025,19.2191
2023-03-01,7y,6.6921,14.1577
2023-04-01,7y,2.6452,19.4253
2023-05-01,7y,10.0984,20.8274
2023-06-01,7y,1.6218,22.2231
2023-07-01,7y,18.8147,28.4648
2023-08-01,7y,26.8451,31.7041
2023-09-01,7y,23.3563,29.6327
2023-10-01,7y,10.0085,22.6862
2023-11-01,7y,8.3009,20.925
2023-12-01,7y,28.122,30.9273
