Date,Period,rate,rate_vs
2026-04-01,1m,0.0,0.0
2026-05-01,1m,2.3094,9.8967
2026-05-21,1m,-2.1436,8.1076
2026-02-01,3m,0.0,0.0
2026-03-01,3m,-3.9641,-0.9007
2026-04-01,3m,-13.9381,-5.0439
2026-05-01,3m,-7.1386,6.2709
2026-05-21,3m,-8.419,7.8806
2025-11-01,6m,0.0,0.0
2025-12-01,6m,6.4081,-0.3421
2026-01-01,6m,1.1981,0.3183
2026-02-01,6m,6.3393,1.6308
2026-03-01,6m,0.6785,0.3869
2026-04-01,6m,-11.6938,-4.2902
2026-05-01,6m,-7.5852,6.0554
2026-05-21,6m,-9.5194,8.3938
2025-05-01,1y,0.0,0.0
2025-06-01,1y,2.2965,5.4288
2025-07-01,1y,0.0209,7.9241
2025-08-01,1y,1.9224,5.9314
2025-09-01,1y,-0.4011,8.3761
2025-10-01,1y,2.4615,10.8594
2025-11-01,1y,1.1218,11.2449
2025-12-01,1y,7.5235,9.3585
2026-01-01,1y,4.5497,8.7609
2026-02-01,1y,9.7876,9.3383
2026-03-01,1y,4.5905,7.5256
2026-04-01,1y,-8.495,1.9539
2026-05-01,1y,-5.5717,11.9677
2026-05-21,1y,-8.1982,14.4365
2024-05-01,2y,0.0,0.0
2024-06-01,2y,2.4937,5.2629
2024-07-01,2y,7.0218,7.2409
2024-08-01,2y,2.6555,4.3228
2024-09-01,2y,8.2696,7.1491
2024-10-01,2y,7.2965,7.6615
2024-11-01,2y,-0.6138,6.8148
2024-12-01,2y,6.1106,11.5745
2025-01-01,2y,-2.9957,7.5484
2025-02-01,2y,3.9405,9.5736
2025-03-01,2y,9.9264,7.2323
2025-04-01,2y,13.1139,0.9641
2025-05-01,2y,15.5363,0.396
2025-06-01,2y,17.0761,5.9119
2025-07-01,2y,14.6146,10.8865
2025-08-01,2y,15.8405,10.8677
2025-09-01,2y,12.7856,14.3527
2025-10-01,2y,15.1777,17.9483
2025-11-01,2y,13.3062,19.3182
2025-12-01,2y,19.936,18.0094
