Date,Period,rate,rate_vs
2026-04-01,1m,0.0,0.0
2026-05-01,1m,3.9379,9.8967
2026-05-21,1m,-3.2696,8.1076
2026-02-01,3m,0.0,0.0
2026-03-01,3m,8.8972,-0.9007
2026-04-01,3m,12.3413,-5.0439
2026-05-01,3m,12.5668,6.2709
2026-05-21,3m,3.8307,7.8806
2025-11-01,6m,0.0,0.0
2025-12-01,6m,11.5798,-0.3421
2026-01-01,6m,7.5539,0.3183
2026-02-01,6m,9.9629,1.6308
2026-03-01,6m,17.124,0.3869
2026-04-01,6m,22.3279,-4.2902
2026-05-01,6m,23.3825,6.0554
2026-05-21,6m,13.9174,8.3938
2025-05-01,1y,0.0,0.0
2025-06-01,1y,0.7342,5.4288
2025-07-01,1y,-6.6397,7.9241
2025-08-01,1y,0.7151,5.9314
2025-09-01,1y,7.9575,8.3761
2025-10-01,1y,11.0035,10.8594
2025-11-01,1y,13.2281,11.2449
2025-12-01,1y,24.3395,9.3585
2026-01-01,1y,23.3652,8.7609
2026-02-01,1y,26.4624,9.3383
2026-03-01,1y,34.9563,7.5256
2026-04-01,1y,41.7943,1.9539
2026-05-01,1y,43.8923,11.9677
2026-05-21,1y,33.3552,14.4365
2024-05-01,2y,0.0,0.0
2024-06-01,2y,9.232,5.2629
2024-07-01,2y,8.9414,7.2409
2024-08-01,2y,4.2792,4.3228
2024-09-01,2y,8.6908,7.1491
2024-10-01,2y,5.4757,7.6615
2024-11-01,2y,-1.1894,6.8148
2024-12-01,2y,9.431,11.5745
2025-01-01,2y,5.9808,7.5484
2025-02-01,2y,4.8106,9.5736
2025-03-01,2y,-2.7755,7.2323
2025-04-01,2y,-10.0375,0.9641
2025-05-01,2y,-2.3042,0.396
2025-06-01,2y,-1.3175,5.9119
2025-07-01,2y,-8.08,10.8865
2025-08-01,2y,-2.5405,10.8677
2025-09-01,2y,4.8433,14.3527
2025-10-01,2y,9.1315,17.9483
2025-11-01,2y,12.6739,19.3182
2025-12-01,2y,25.0961,18.0094
2026-01-01,2y,25.9607,17.7369
2026-02-01,2y,30.6114,18.5814
2026-03-01,2y,40.8527,16.7885
2026-04-01,2y,49.6527,10.7547
2026-05-01,2y,53.5437,21.34
2026-05-21,2y,43.6904,24.1683
2023-05-01,3y,0.0,0.0
2023-06-01,3y,-4.6816,1.4125
2023-07-01,3y,8.7971,6.1845
2023-08-01,3y,7.5867,7.1819
2023-09-01,3y,13.1225,4.1882
2023-10-01,3y,3.447,-1.7815
2023-11-01,3y,5.6143,-2.5801
2023-12-01,3y,19.3999,6.1973
2024-01-01,3y,22.7911,9.5932
2024-02-01,3y,24.3486,11.7107
2024-03-01,3y,27.4576,15.8808
2024-04-01,3y,21.4684,17.6488
2024-05-01,3y,5.4264,11.2951
2024-06-01,3y,14.8098,16.3461
2024-07-01,3y,18.5042,20.4026
2024-08-01,3y,15.439,18.5003
2024-09-01,3y,20.5763,21.8076
2024-10-01,3y,17.7338,22.7563
2024-11-01,3y,10.338,21.9967
2024-12-01,3y,21.3978,27.3963
2025-01-01,3y,17.8119,23.0839
2025-02-01,3y,16.4097,25.2667
2025-03-01,3y,7.793,22.5436
2025-04-01,3y,-0.8241,15.1693
2025-05-01,3y,6.7513,13.9886
2025-06-01,3y,7.3662,19.7023
2025-07-01,3y,-0.3467,25.0342
2025-08-01,3y,5.0605,24.9073
2025-09-01,3y,12.6457,28.7082
2025-10-01,3y,17.1203,32.7172
2025-11-01,3y,20.8975,34.2937
2025-12-01,3y,34.2756,32.8614
2026-01-01,3y,35.4864,32.5439
2026-02-01,3y,40.7573,33.4611
2026-03-01,3y,52.1241,31.4121
2026-04-01,3y,62.092,24.552
2026-05-01,3y,66.8452,36.2622
2026-05-21,3y,56.634,39.418
2021-05-01,5y,0.0,0.0
2021-06-01,5y,-6.1806,0.4887
2021-07-01,5y,-1.3247,3.114
2021-08-01,5y,-2.7398,3.9532
2021-09-01,5y,-6.1981,6.0908
2021-10-01,5y,-9.2634,1.0516
2021-11-01,5y,-5.3118,6.9066
2021-12-01,5y,-12.2179,3.7002
2022-01-01,5y,-2.4479,9.1717
2022-02-01,5y,-15.6592,3.1425
2022-03-01,5y,-21.9398,-2.3796
2022-04-01,5y,-18.7297,3.3592
2022-05-01,5y,-8.8048,-6.2432
2022-06-01,5y,-23.8895,-6.318
2022-07-01,5y,-32.5165,-12.031
2022-08-01,5y,-19.7012,-4.3438
2022-09-01,5y,-12.3247,-7.477
2022-10-01,5y,-14.6017,-15.8473
2022-11-01,5y,-3.1484,-8.441
2022-12-01,5y,20.8859,-2.5318
2023-01-01,5y,18.2114,-8.0195
2023-02-01,5y,19.816,-0.7582
2023-03-01,5y,11.0348,-4.6068
2023-04-01,5y,6.3502,0.2663
2023-05-01,5y,5.7013,1.7748
2023-06-01,5y,0.6322,3.2394
2023-07-01,5y,12.1351,8.774
2023-08-01,5y,13.5342,11.6668
2023-09-01,5y,21.0257,10.0077
2023-10-01,5y,12.6412,4.234
2023-11-01,5y,15.2258,2.9494
2023-12-01,5y,30.7175,11.7115
2024-01-01,5y,36.2206,15.7609
2024-02-01,5y,39.7281,18.6738
2024-03-01,5y,44.8692,23.8404
2024-04-01,5y,39.581,26.6228
2024-05-01,5y,21.9954,20.5984
2024-06-01,5y,32.7383,26.4829
2024-07-01,5y,37.3922,31.4966
2024-08-01,5y,34.3076,30.0985
2024-09-01,5y,40.5687,34.2707
2024-10-01,5y,37.6751,35.9095
2024-11-01,5y,29.2716,35.6193
2024-12-01,5y,42.1855,42.1091
2025-01-01,5y,38.2773,37.8596
2025-02-01,5y,36.7791,40.7079
2025-03-01,5y,26.7292,38.052
2025-04-01,5y,16.4438,30.0262
2025-05-01,5y,24.9292,28.7835
2025-06-01,5y,25.4572,35.2886
2025-07-01,5y,16.2813,41.4755
2025-08-01,5y,22.2409,41.5716
2025-09-01,5y,30.8353,46.0985
2025-10-01,5y,35.9561,50.9152
