Date,Period,rate,rate_vs
2026-04-01,1m,0.0,0.0
2026-05-01,1m,71.6307,9.8967
2026-05-21,1m,51.3659,8.1076
2026-02-01,3m,0.0,0.0
2026-03-01,3m,-0.0631,-0.9007
2026-04-01,3m,3.662,-5.0439
2026-05-01,3m,75.9394,6.2709
2026-05-21,3m,74.962,7.8806
2025-11-01,6m,0.0,0.0
2025-12-01,6m,5.4518,-0.3421
2026-01-01,6m,5.2495,0.3183
2026-02-01,6m,53.1721,1.6308
2026-03-01,6m,39.9055,0.3869
2026-04-01,6m,36.8463,-4.2902
2026-05-01,6m,124.5261,6.0554
2026-05-21,6m,130.4764,8.3938
2025-05-01,1y,0.0,0.0
2025-06-01,1y,30.899,5.4288
2025-07-01,1y,42.6203,7.9241
2025-08-01,1y,37.0275,5.9314
2025-09-01,1y,38.1346,8.3761
2025-10-01,1y,100.7671,10.8594
2025-11-01,1y,83.2679,11.2449
2025-12-01,1y,80.8811,9.3585
2026-01-01,1y,75.0385,8.7609
2026-02-01,1y,146.768,9.3383
2026-03-01,1y,132.1666,7.5256
2026-04-01,1y,128.3901,1.9539
2026-05-01,1y,273.9838,11.9677
2026-05-21,1y,293.4515,14.4365
2024-05-01,2y,0.0,0.0
2024-06-01,2y,8.5501,5.2629
2024-07-01,2y,15.2915,7.2409
2024-08-01,2y,6.472,4.3228
2024-09-01,2y,5.4008,7.1491
2024-10-01,2y,13.6987,7.6615
2024-11-01,2y,2.3992,6.8148
2024-12-01,2y,4.3279,11.5745
2025-01-01,2y,-9.3958,7.5484
2025-02-01,2y,2.3052,9.5736
2025-03-01,2y,7.9432,7.2323
2025-04-01,2y,-10.3042,0.9641
2025-05-01,2y,-3.596,0.396
2025-06-01,2y,26.6705,5.9119
2025-07-01,2y,54.1866,10.8865
2025-08-01,2y,60.7091,10.8677
2025-09-01,2y,69.6692,14.3527
2025-10-01,2y,154.7369,17.9483
2025-11-01,2y,145.2142,19.3182
2025-12-01,2y,150.7683,18.0094
2026-01-01,2y,149.3213,17.7369
2026-02-01,2y,258.5622,18.5814
2026-03-01,2y,246.9324,16.7885
2026-04-01,2y,248.7876,10.7547
2026-05-01,2y,481.4087,21.34
2026-05-21,2y,526.7437,24.1683
2023-05-01,3y,0.0,0.0
2023-06-01,3y,4.5744,1.4125
2023-07-01,3y,4.3554,6.1845
2023-08-01,3y,8.6057,7.1819
2023-09-01,3y,20.0833,4.1882
2023-10-01,3y,4.9459,-1.7815
2023-11-01,3y,12.4544,-2.5801
2023-12-01,3y,22.9946,6.1973
2024-01-01,3y,30.5592,9.5932
2024-02-01,3y,29.2815,11.7107
2024-03-01,3y,41.4231,15.8808
2024-04-01,3y,31.018,17.6488
2024-05-01,3y,20.0704,11.2951
2024-06-01,3y,28.781,16.3461
2024-07-01,3y,40.1727,20.4026
2024-08-01,3y,32.8835,18.5003
2024-09-01,3y,31.5355,21.8076
2024-10-01,3y,41.359,22.7563
2024-11-01,3y,27.8216,21.9967
2024-12-01,3y,29.1823,27.3963
2025-01-01,3y,11.5092,23.0839
2025-02-01,3y,23.8733,25.2667
2025-03-01,3y,29.8555,22.5436
2025-04-01,3y,7.5502,15.1693
2025-05-01,3y,14.1687,13.9886
2025-06-01,3y,48.8473,19.7023
2025-07-01,3y,81.6311,25.0342
2025-08-01,3y,90.634,24.9073
2025-09-01,3y,102.6334,28.7082
2025-10-01,3y,206.3193,32.7172
2025-11-01,3y,198.3186,34.2937
2025-12-01,3y,208.1407,32.8614
2026-01-01,3y,209.1936,32.5439
2026-02-01,3y,348.3417,33.4611
2026-03-01,3y,338.2546,31.4121
2026-04-01,3y,344.6446,24.552
2026-05-01,3y,647.4576,36.2622
2026-05-21,3y,713.8338,39.418
2021-05-01,5y,0.0,0.0
2021-06-01,5y,6.4425,0.4887
2021-07-01,5y,-9.0416,3.114
2021-08-01,5y,-4.6729,3.9532
2021-09-01,5y,-4.3088,6.0908
2021-10-01,5y,-5.8032,1.0516
2021-11-01,5y,3.5895,6.9066
2021-12-01,5y,16.4527,3.7002
2022-01-01,5y,25.2227,9.1717
2022-02-01,5y,16.9695,3.1425
2022-03-01,5y,7.4261,-2.3796
2022-04-01,5y,-4.3969,3.3592
2022-05-01,5y,-11.9593,-6.2432
2022-06-01,5y,-9.2689,-6.318
2022-07-01,5y,-23.7831,-12.031
2022-08-01,5y,-10.4382,-4.3438
2022-09-01,5y,-25.2388,-7.477
2022-10-01,5y,-37.6271,-15.8473
2022-11-01,5y,-38.2071,-8.441
2022-12-01,5y,-33.3634,-2.5318
2023-01-01,5y,-31.6874,-8.0195
2023-02-01,5y,-6.4565,-0.7582
2023-03-01,5y,-14.647,-4.6068
2023-04-01,5y,-10.3938,0.2663
2023-05-01,5y,-20.2601,1.7748
2023-06-01,5y,-15.6849,3.2394
2023-07-01,5y,-13.3263,8.774
2023-08-01,5y,-7.977,11.6668
2023-09-01,5y,4.1462,10.0077
2023-10-01,5y,-5.9486,4.234
2023-11-01,5y,1.805,2.9494
2023-12-01,5y,13.0833,11.7115
2024-01-01,5y,22.4757,15.7609
2024-02-01,5y,23.8307,18.6738
2024-03-01,5y,37.8226,23.8404
2024-04-01,5y,30.1527,26.6228
2024-05-01,5y,20.9001,20.5984
2024-06-01,5y,30.7517,26.4829
2024-07-01,5y,43.7365,31.4966
2024-08-01,5y,37.8365,30.0985
2024-09-01,5y,37.6347,34.2707
2024-10-01,5y,49.033,35.9095
2024-11-01,5y,35.9175,35.6193
2024-12-01,5y,38.1056,42.1091
2025-01-01,5y,19.8202,37.8596
2025-02-01,5y,33.2748,40.7079
2025-03-01,5y,40.1836,38.052
2025-04-01,5y,16.5634,30.0262
2025-05-01,5y,23.7348,28.7835
2025-06-01,5y,61.4922,35.2886
2025-07-01,5y,98.063,41.4755
2025-08-01,5y,109.3492,41.5716
2025-09-01,5y,124.0987,46.0985
2025-10-01,5y,241.1906,50.9152
2025-11-01,5y,235.4627,53.013
2025-12-01,5y,249.5844,51.6787
2026-01-01,5y,253.7763,51.569
2026-02-01,5y,417.1373,52.8458
2026-03-01,5y,410.1312,50.7151
2026-04-01,5y,422.03,43.0108
2026-05-01,5y,784.7726,56.5309
2026-05-21,5y,872.0947,60.3629
2019-05-01,7y,0.0,0.0
2019-06-01,7y,-13.4585,-5.7539
2019-07-01,7y,7.2318,4.7339
2019-08-01,7y,2.03,2.8754
2019-09-01,7y,10.1641,1.3056
2019-10-01,7y,15.1737,1.7846
2019-11-01,7y,22.7689,5.9461
2019-12-01,7y,23.7743,7.8664
2020-01-01,7y,23.0569,10.0469
2020-02-01,7y,15.3991,8.8785
2020-03-01,7y,-4.2101,-0.7655
2020-04-01,7y,-2.7133,-16.9333
2020-05-01,7y,-2.8023,-2.9548
2020-06-01,7y,6.4703,5.1824
