Date,Period,rate,rate_vs
2026-04-01,1m,0.0,0.0
2026-05-01,1m,14.9624,9.8967
2026-05-21,1m,5.9042,8.1076
2026-02-01,3m,0.0,0.0
2026-03-01,3m,-10.5456,-0.9007
2026-04-01,3m,-10.0851,-5.0439
2026-05-01,3m,7.3019,6.2709
2026-05-21,3m,3.9526,7.8806
2025-11-01,6m,0.0,0.0
2025-12-01,6m,-1.0158,-0.3421
2026-01-01,6m,1.4586,0.3183
2026-02-01,6m,4.1918,1.6308
2026-03-01,6m,-7.6633,0.3869
2026-04-01,6m,-10.8714,-4.2902
2026-05-01,6m,4.6328,6.0554
2026-05-21,6m,2.479,8.3938
2025-05-01,1y,0.0,0.0
2025-06-01,1y,6.1013,5.4288
2025-07-01,1y,12.7846,7.9241
2025-08-01,1y,13.3138,5.9314
2025-09-01,1y,14.8257,8.3761
2025-10-01,1y,6.3535,10.8594
2025-11-01,1y,6.7976,11.2449
2025-12-01,1y,4.8421,9.3585
2026-01-01,1y,6.3378,8.7609
2026-02-01,1y,9.0258,9.3383
2026-03-01,1y,-3.1912,7.5256
2026-04-01,1y,-7.7939,1.9539
2026-05-01,1y,6.8462,11.9677
2026-05-21,1y,4.8008,14.4365
2024-05-01,2y,0.0,0.0
2024-06-01,2y,6.7201,5.2629
2024-07-01,2y,3.0821,7.2409
2024-08-01,2y,0.3884,4.3228
2024-09-01,2y,-5.0947,7.1491
2024-10-01,2y,0.2364,7.6615
2024-11-01,2y,4.8072,6.8148
2024-12-01,2y,15.0501,11.5745
2025-01-01,2y,6.7328,7.5484
2025-02-01,2y,9.5595,9.5736
2025-03-01,2y,-1.8089,7.2323
2025-04-01,2y,-10.6212,0.9641
2025-05-01,2y,-13.8069,0.396
2025-06-01,2y,-7.3367,5.9119
2025-07-01,2y,2.0313,10.8865
2025-08-01,2y,6.4188,10.8677
2025-09-01,2y,10.702,14.3527
2025-10-01,2y,4.6665,17.9483
2025-11-01,2y,5.9086,19.3182
2025-12-01,2y,4.6243,18.0094
2026-01-01,2y,6.5048,17.7369
2026-02-01,2y,9.6118,18.5814
2026-03-01,2y,-2.2446,16.7885
2026-04-01,2y,-7.0732,10.7547
2026-05-01,2y,7.272,21.34
2026-05-21,2y,5.4566,24.1683
2023-05-01,3y,0.0,0.0
2023-06-01,3y,-2.7296,1.4125
2023-07-01,3y,3.0061,6.1845
2023-08-01,3y,10.2263,7.1819
2023-09-01,3y,0.3641,4.1882
2023-10-01,3y,-5.7769,-1.7815
2023-11-01,3y,-17.4458,-2.5801
2023-12-01,3y,-4.2371,6.1973
2024-01-01,3y,2.351,9.5932
2024-02-01,3y,4.144,11.7107
2024-03-01,3y,7.1276,15.8808
2024-04-01,3y,14.0327,17.6488
2024-05-01,3y,3.4729,11.2951
2024-06-01,3y,10.2432,16.3461
2024-07-01,3y,9.2628,20.4026
2024-08-01,3y,6.8987,18.5003
2024-09-01,3y,0.7691,21.8076
2024-10-01,3y,5.2675,22.7563
2024-11-01,3y,9.8169,21.9967
2024-12-01,3y,20.7843,27.3963
2025-01-01,3y,12.9428,23.0839
2025-02-01,3y,16.1222,25.2667
2025-03-01,3y,4.3319,22.5436
2025-04-01,3y,-5.3566,15.1693
2025-05-01,3y,-9.4076,13.9886
2025-06-01,3y,-3.3888,19.7023
2025-07-01,3y,5.9267,25.0342
2025-08-01,3y,10.4025,24.9073
2025-09-01,3y,14.8957,28.7082
2025-10-01,3y,8.767,32.7172
2025-11-01,3y,10.0371,34.2937
2025-12-01,3y,8.7042,32.8614
2026-01-01,3y,10.6278,32.5439
2026-02-01,3y,13.8567,33.4611
2026-03-01,3y,1.5842,31.4121
2026-04-01,3y,-3.5713,24.552
2026-05-01,3y,11.0785,36.2622
2026-05-21,3y,9.2018,39.418
2021-05-01,5y,0.0,0.0
2021-06-01,5y,6.5452,0.4887
2021-07-01,5y,10.1899,3.114
2021-08-01,5y,9.0118,3.9532
2021-09-01,5y,15.5377,6.0908
2021-10-01,5y,1.5354,1.0516
2021-11-01,5y,10.0962,6.9066
2021-12-01,5y,-1.3406,3.7002
2022-01-01,5y,-0.3336,9.1717
2022-02-01,5y,-21.0384,3.1425
2022-03-01,5y,-27.3701,-2.3796
2022-04-01,5y,-17.0874,3.3592
2022-05-01,5y,-32.123,-6.2432
2022-06-01,5y,-29.1738,-6.318
2022-07-01,5y,-31.4398,-12.031
2022-08-01,5y,-24.3823,-4.3438
2022-09-01,5y,-25.627,-7.477
2022-10-01,5y,-32.2804,-15.8473
2022-11-01,5y,-29.3813,-8.441
2022-12-01,5y,-14.0426,-2.5318
2023-01-01,5y,-24.8208,-8.0195
2023-02-01,5y,-15.957,-0.7582
2023-03-01,5y,-21.5278,-4.6068
2023-04-01,5y,-18.4598,0.2663
2023-05-01,5y,-18.8547,1.7748
2023-06-01,5y,-20.2603,3.2394
2023-07-01,5y,-15.8744,8.774
2023-08-01,5y,-8.4323,11.6668
