Date,Period,rate,rate_vs
2026-02-01,1m,0.0,0.0
2026-03-01,1m,1.785,-0.9007
2026-03-11,1m,-3.7677,-1.9334
2025-12-01,3m,0.0,0.0
2026-01-01,3m,-6.8952,0.4401
2026-02-01,3m,-1.8187,1.6219
2026-03-01,3m,0.6175,0.2379
2026-03-11,3m,-4.1536,-1.289
2025-09-01,6m,0.0,0.0
2025-10-01,6m,-9.5464,3.813
2025-11-01,6m,-7.9038,3.9231
2025-12-01,6m,-5.6875,2.3335
2026-01-01,6m,-10.8011,2.275
2026-02-01,6m,-7.0719,3.2753
2026-03-01,6m,-4.1346,1.8894
2026-03-11,6m,-7.9673,0.1418
2025-03-01,1y,0.0,0.0
2025-04-01,1y,-0.497,-5.3512
2025-05-01,1y,-8.943,-3.1878
2025-06-01,1y,-9.2066,3.2563
2025-07-01,1y,3.992,7.6642
2025-08-01,1y,9.9463,6.7989
2025-09-01,1y,16.4633,9.648
2025-10-01,1y,3.3078,12.4957
2025-11-01,1y,-0.4482,13.1716
2025-12-01,1y,-0.8144,11.4262
2026-01-01,1y,-7.4949,10.8696
2026-02-01,1y,-5.2016,11.4647
2026-03-01,1y,-2.9798,9.6152
2026-03-11,1y,-7.204,7.2999
2024-03-01,2y,0.0,0.0
2024-04-01,2y,2.2035,2.7119
2024-05-01,2y,6.1114,-2.9445
2024-06-01,2y,11.1466,3.2648
2024-07-01,2y,1.6694,7.0758
2024-08-01,2y,-3.0286,5.1656
2024-09-01,2y,2.1716,8.2607
2024-10-01,2y,12.3493,9.054
2024-11-01,2y,0.0682,8.363
2024-12-01,2y,6.8804,13.2569
2025-01-01,2y,-0.6942,9.3123
2025-02-01,2y,1.7942,11.3791
2025-03-01,2y,3.9174,9.0256
2025-04-01,2y,3.1962,2.6295
2025-05-01,2y,-5.9664,1.9477
2025-06-01,2y,-8.8009,7.4457
2025-07-01,2y,2.509,12.4545
2025-08-01,2y,9.0745,12.4397
2025-09-01,2y,16.7783,15.9727
2025-10-01,2y,4.9311,19.6361
2025-11-01,2y,1.2913,21.0564
2025-12-01,2y,0.8135,19.758
2026-01-01,2y,-6.083,19.4978
2026-02-01,2y,-4.1845,20.3651
2026-03-01,2y,-2.2033,18.5544
2026-03-11,2y,-6.594,16.1114
2023-03-01,3y,0.0,0.0
2023-04-01,3y,4.0066,4.7883
2023-05-01,3y,3.6494,3.9002
2023-06-01,3y,-9.8181,4.1196
2023-07-01,3y,-0.7556,8.7252
2023-08-01,3y,0.7644,10.1376
2023-09-01,3y,0.36,7.2239
2023-10-01,3y,-7.6523,0.9247
2023-11-01,3y,-12.4468,-0.3074
2023-12-01,3y,-0.5286,8.306
2024-01-01,3y,1.8626,11.73
2024-02-01,3y,11.0804,13.912
2024-03-01,3y,19.9116,18.2028
2024-04-01,3y,21.1,20.0822
2024-05-01,3y,25.5734,13.6624
2024-06-01,3y,32.3212,18.7973
2024-07-01,3y,22.2778,22.9585
2024-08-01,3y,15.775,21.055
2024-09-01,3y,20.448,24.4465
2024-10-01,3y,31.6752,25.4408
2024-11-01,3y,17.4939,24.6852
2024-12-01,3y,24.6208,30.2127
2025-01-01,3y,15.4992,25.8316
2025-02-01,3y,17.6342,28.0644
2025-03-01,3y,19.5187,25.2856
2025-04-01,3y,18.2616,17.7379
2025-05-01,3y,7.3628,16.4954
2025-06-01,3y,3.4283,22.2939
2025-07-01,3y,15.4248,27.7184
2025-08-01,3y,22.4312,27.5804
2025-09-01,3y,30.8859,31.4518
2025-10-01,3y,17.6039,35.5429
2025-11-01,3y,13.262,37.1563
2025-12-01,3y,12.3983,35.6976
2026-01-01,3y,4.4098,35.3725
2026-02-01,3y,6.0951,36.3061
2026-03-01,3y,7.9216,34.2103
2026-03-11,3y,2.7808,31.3634
2021-03-01,5y,0.0,0.0
2021-04-01,5y,8.4802,3.7578
2021-05-01,5y,11.3329,6.0906
2021-06-01,5y,4.5688,4.64
2021-07-01,5y,6.8067,6.4697
2021-08-01,5y,1.5418,7.1245
2021-09-01,5y,10.3354,9.1625
2021-10-01,5y,12.0663,3.93
2021-11-01,5y,17.3915,9.6271
2021-12-01,5y,21.7379,6.2858
2022-01-01,5y,27.3912,11.7333
2022-02-01,5y,15.3184,5.5422
2022-03-01,5y,6.6783,-0.2398
2022-04-01,5y,17.2957,5.4124
2022-05-01,5y,3.1226,-4.4714
2022-06-01,5y,-2.1342,-4.7367
2022-07-01,5y,0.8964,-10.6973
2022-08-01,5y,-0.4053,-3.0919
2022-09-01,5y,-1.9193,-6.365
2022-10-01,5y,-3.0094,-14.9349
2022-11-01,5y,15.2433,-7.6019
2022-12-01,5y,18.0748,-1.7295
2023-01-01,5y,17.4248,-7.3081
2023-02-01,5y,19.2868,-0.0623
