Date,Period,rate,rate_vs
2026-02-01,1m,0.0,0.0
2026-03-01,1m,-5.878,-0.9007
2026-03-11,1m,-3.5678,-1.9334
2025-12-01,3m,0.0,0.0
2026-01-01,3m,-5.7082,0.4401
2026-02-01,3m,-4.8766,1.6219
2026-03-01,3m,-8.8783,0.2379
2026-03-11,3m,-7.2405,-1.289
2025-09-01,6m,0.0,0.0
2025-10-01,6m,2.9477,3.813
2025-11-01,6m,1.3084,3.9231
2025-12-01,6m,-9.5375,2.3335
2026-01-01,6m,-12.3891,2.275
2026-02-01,6m,-11.7611,3.2753
2026-03-01,6m,-15.0336,1.8894
2026-03-11,6m,-13.4199,0.1418
2025-03-01,1y,0.0,0.0
2025-04-01,1y,-4.0691,-5.3512
2025-05-01,1y,8.5133,-3.1878
2025-06-01,1y,9.9128,3.2563
2025-07-01,1y,17.5814,7.6642
2025-08-01,1y,7.5835,6.7989
2025-09-01,1y,14.6692,9.648
2025-10-01,1y,15.9931,12.4957
2025-11-01,1y,13.8517,13.1716
2025-12-01,1y,0.7455,11.4262
2026-01-01,1y,-4.9901,10.8696
2026-02-01,1y,-6.4847,11.4647
2026-03-01,1y,-11.3923,9.6152
2026-03-11,1y,-11.0575,7.2999
2024-03-01,2y,0.0,0.0
2024-04-01,2y,-5.8081,2.7119
2024-05-01,2y,-13.8907,-2.9445
2024-06-01,2y,-13.6157,3.2648
2024-07-01,2y,-1.1436,7.0758
2024-08-01,2y,-14.9796,5.1656
2024-09-01,2y,4.8657,8.2607
2024-10-01,2y,5.7372,9.054
2024-11-01,2y,3.6073,8.363
2024-12-01,2y,1.378,13.2569
2025-01-01,2y,-15.1444,9.3123
2025-02-01,2y,-4.4426,11.3791
2025-03-01,2y,9.0625,9.0256
2025-04-01,2y,4.0525,2.6295
2025-05-01,2y,14.9858,1.9477
2025-06-01,2y,18.5878,7.4457
2025-07-01,2y,28.5395,12.4545
2025-08-01,2y,19.6674,12.4397
2025-09-01,2y,27.9008,15.9727
2025-10-01,2y,30.284,19.6361
2025-11-01,2y,28.6182,21.0564
2025-12-01,2y,14.1563,19.758
2026-01-01,2y,7.136,19.4978
2026-02-01,2y,4.6513,20.3651
2026-03-01,2y,-1.5882,18.5544
2026-03-11,2y,-2.1162,16.1114
2023-03-01,3y,0.0,0.0
2023-04-01,3y,-4.0063,4.7883
2023-05-01,3y,1.1603,3.9002
2023-06-01,3y,18.4021,4.1196
2023-07-01,3y,27.6438,8.7252
2023-08-01,3y,31.9374,10.1376
2023-09-01,3y,27.6562,7.2239
2023-10-01,3y,20.9301,0.9247
2023-11-01,3y,12.7451,-0.3074
2023-12-01,3y,45.6555,8.306
2024-01-01,3y,51.4611,11.73
2024-02-01,3y,59.0744,13.912
2024-03-01,3y,87.1755,18.2028
2024-04-01,3y,70.1506,20.0822
2024-05-01,3y,46.5228,13.6624
2024-06-01,3y,36.5813,18.7973
2024-07-01,3y,47.8924,22.9585
2024-08-01,3y,24.5025,21.055
2024-09-01,3y,47.5732,24.4465
2024-10-01,3y,47.2659,25.4408
2024-11-01,3y,42.9654,24.6852
2024-12-01,3y,38.433,30.2127
