Date,Period,rate,rate_vs
2026-06-13,5d,0.0,0.0
2026-06-14,5d,0.0,0.0
2026-06-15,5d,1.244,1.7421
2026-06-16,5d,1.8531,1.1438
2026-06-17,5d,3.1612,-0.0792
2026-06-18,5d,1.507,0.9033
2026-05-01,1m,0.0,0.0
2026-06-01,1m,3.3124,5.1456
2026-06-18,1m,4.6725,1.163
2026-03-01,3m,0.0,0.0
2026-04-01,3m,-10.0672,-4.6618
2026-05-01,3m,-10.0367,7.3875
2026-06-01,3m,-3.5384,10.3993
2026-06-18,3m,0.2582,6.345
2025-12-01,6m,0.0,0.0
2026-01-01,6m,6.4161,0.4401
2026-02-01,6m,6.9217,1.6219
2026-03-01,6m,10.5747,0.2379
2026-04-01,6m,-2.86,-4.42
2026-05-01,6m,-7.406,6.0948
2026-06-01,6m,-2.984,10.5789
2026-06-18,6m,0.3682,7.6069
2025-06-01,1y,0.0,0.0
2025-07-01,1y,2.1849,5.0181
2025-08-01,1y,3.2705,3.123
2025-09-01,1y,-13.5708,5.9114
2025-10-01,1y,-7.174,8.4981
2025-11-01,1y,-0.7792,8.9448
2025-12-01,1y,-0.6589,7.1769
2026-01-01,1y,5.9057,6.7111
2026-02-01,1y,8.9914,7.3938
2026-03-01,1y,14.1697,5.707
2026-04-01,1y,1.4941,0.3257
2026-05-01,1y,-3.9397,10.3224
2026-06-01,1y,-0.3276,15.201
2026-06-18,1y,2.6984,12.5116
2023-06-01,3y,0.0,0.0
2023-07-01,3y,8.6331,5.3868
2023-08-01,3y,3.0311,5.6927
2023-09-01,3y,2.9729,2.6064
2023-10-01,3y,1.2266,-3.113
2023-11-01,3y,7.2296,-3.5781
2023-12-01,3y,0.7927,5.3581
2024-01-01,3y,16.6411,8.7284
2024-02-01,3y,22.1439,10.7931
2024-03-01,3y,19.3662,14.8882
2024-04-01,3y,14.0877,16.5809
2024-05-01,3y,7.878,10.2362
2024-06-01,3y,21.3967,15.2464
2024-07-01,3y,23.927,19.2469
2024-08-01,3y,31.1656,17.3348
2024-09-01,3y,26.5572,20.5979
2024-10-01,3y,18.3102,21.5191
2024-11-01,3y,17.5666,20.7524
2024-12-01,3y,15.8452,26.0892
2025-01-01,3y,-1.0682,21.8038
2025-02-01,3y,13.477,23.9611
2025-03-01,3y,17.2564,21.2617
2025-04-01,3y,17.669,13.9676
2025-05-01,3y,20.3016,12.8171
2025-06-01,3y,5.8484,18.4927
2025-07-01,3y,8.0259,23.7814
2025-08-01,3y,10.0884,23.6589
2025-09-01,3y,-7.1707,27.4262
2025-10-01,3y,-3.7783,31.3957
2025-11-01,3y,1.44,32.9534
2025-12-01,3y,1.3958,31.532
2026-01-01,3y,7.958,31.217
2026-02-01,3y,11.6356,32.1258
2026-03-01,3y,17.6575,30.0979
2026-04-01,3y,5.4483,23.3094
2026-05-01,3y,-0.2047,34.9128
2026-06-01,3y,3.2071,40.9731
2026-06-18,3y,6.2296,38.0078
2021-06-01,5y,0.0,0.0
2021-07-01,5y,-3.6543,2.8112
2021-08-01,5y,-2.1828,3.2533
2021-09-01,5y,-3.6583,5.2618
2021-10-01,5y,-11.0497,0.1541
2021-11-01,5y,-6.3077,6.1049
2021-12-01,5y,4.7412,2.8827
2022-01-01,5y,11.46,8.3588
2022-02-01,5y,23.0705,2.3412
2022-03-01,5y,13.1532,-3.09
2022-04-01,5y,29.0173,2.7056
2022-05-01,5y,29.7272,-6.8075
2022-06-01,5y,25.4672,-6.7932
2022-07-01,5y,31.7107,-12.4089
2022-08-01,5y,23.3612,-4.6608
2022-09-01,5y,29.0784,-7.7453
2022-10-01,5y,26.9653,-16.0504
2022-11-01,5y,36.0512,-8.5915
2022-12-01,5y,36.8414,-2.6566
2023-01-01,5y,21.4478,-8.1249
2023-02-01,5y,32.2457,-0.8455
2023-03-01,5y,19.9778,-4.6853
2023-04-01,5y,28.8118,0.1971
2023-05-01,5y,39.6718,1.7068
2023-06-01,5y,29.4617,3.1702
2023-07-01,5y,39.4931,8.6984
2023-08-01,5y,36.3354,11.5789
2023-09-01,5y,36.2902,9.9087
2023-10-01,5y,33.6987,4.1314
2023-11-01,5y,40.7618,2.8465
2023-12-01,5y,32.5417,11.5999
2024-01-01,5y,52.3563,15.6362
2024-02-01,5y,60.7108,18.534
2024-03-01,5y,58.4616,23.6807
2024-04-01,5y,52.2916,26.4428
2024-05-01,5y,44.2175,20.4106
2024-06-01,5y,61.9025,26.2741
2024-07-01,5y,65.8252,31.2645
2024-08-01,5y,76.1137,29.8523
2024-09-01,5y,70.754,34.0016
2024-10-01,5y,60.0785,35.6208
2024-11-01,5y,59.0699,35.3155
2024-12-01,5y,56.6605,41.7756
2025-01-01,5y,33.6287,37.5196
2025-02-01,5y,52.3213,40.3471
2025-03-01,5y,57.0857,37.6841
2025-04-01,5y,57.4504,29.6685
2025-05-01,5y,60.7766,28.4218
2025-06-01,5y,41.3436,34.9019
2025-07-01,5y,43.7111,41.0621
2025-08-01,5y,45.9843,41.1474
2025-09-01,5y,22.7565,45.6506
2025-10-01,5y,26.443,50.4412
2025-11-01,5y,32.5975,52.5204
2025-12-01,5y,32.0013,51.1786
2026-01-01,5y,39.9894,51.0584
2026-02-01,5y,44.3546,52.3207
2026-03-01,5y,51.803,50.1874
2026-04-01,5y,35.8516,42.5017
2026-05-01,5y,28.1848,55.967
2026-06-01,5y,32.0757,63.1729
2026-06-18,5y,35.5181,59.985
2019-06-01,7y,0.0,0.0
2019-07-01,7y,9.3142,7.784
2019-08-01,7y,3.1402,3.5931
2019-09-01,7y,2.4757,1.5343
2019-10-01,7y,-5.2051,1.8866
2019-11-01,7y,14.8899,5.9657
2019-12-01,7y,24.0313,7.7354
2020-01-01,7y,19.0614,9.7848
2020-02-01,7y,20.9822,8.5084
2020-03-01,7y,17.0617,-1.1595
2020-04-01,7y,16.0921,-17.2249
2020-05-01,7y,29.5754,-3.1129
2020-06-01,7y,42.9292,5.0455
2020-07-01,7y,39.4439,6.8222
2020-08-01,7y,29.8046,11.8156
2020-09-01,7y,29.4509,19.8704
2020-10-01,7y,26.6869,13.8224
2020-11-01,7y,-4.6902,9.4333
2020-12-01,7y,5.6276,22.1543
2021-01-01,7y,8.0885,24.1391
2021-02-01,7y,5.5969,23.6706
2021-03-01,7y,-4.3948,26.9155
2021-04-01,7y,-2.9883,30.541
2021-05-01,7y,-0.51,34.6157
2021-06-01,7y,-4.3829,33.9539
2021-07-01,7y,-7.6197,36.4554
2021-08-01,7y,-7.6192,37.5777
2021-09-01,7y,-9.3816,40.3506
2021-10-01,7y,-16.7961,33.8705
2021-11-01,7y,-13.8745,40.6549
2021-12-01,7y,-4.2618,36.3955
2022-01-01,7y,2.7004,43.0077
2022-02-01,7y,14.79,35.112
2022-03-01,7y,7.3712,27.2686
2022-04-01,7y,23.6221,33.6143
2022-05-01,7y,26.2102,20.6639
2022-06-01,7y,23.7296,19.3895
2022-07-01,7y,31.2681,11.0876
2022-08-01,7y,24.3182,19.3953
2022-09-01,7y,31.0866,14.683
2022-10-01,7y,30.0106,3.4865
2022-11-01,7y,40.2866,11.3416
2022-12-01,7y,42.2339,17.6733
2023-01-01,7y,27.1667,10.52
2023-02-01,7y,39.0317,18.4986
2023-03-01,7y,26.8224,13.4718
2023-04-01,7y,36.5709,18.7145
2023-05-01,7y,48.69,20.1124
2023-06-01,7y,38.5221,21.5033
2023-07-01,7y,49.7742,27.7114
2023-08-01,7y,47.0138,30.9324
2023-09-01,7y,47.5016,28.8727
2023-10-01,7y,45.1833,21.9674
2023-11-01,7y,53.2898,20.2196
2023-12-01,7y,44.8083,30.1676
2024-01-01,7y,66.8437,34.761
2024-02-01,7y,76.6321,38.0871
2024-03-01,7y,74.8375,44.0701
2024-04-01,7y,68.6209,47.3422
2024-05-01,7y,60.1522,40.3892
2024-06-01,7y,80.2021,47.2145
2024-07-01,7y,85.1361,53.0903
2024-08-01,7y,97.2261,51.5475
2024-09-01,7y,91.8549,56.4695
2024-10-01,7y,80.3844,58.4739
2024-11-01,7y,79.6648,58.2345
2024-12-01,7y,77.3237,65.8965
2025-01-01,7y,51.5453,61.0674
2025-02-01,7y,72.8701,64.4836
2025-03-01,7y,78.5521,61.4786
2025-04-01,7y,79.259,52.157
