Date,Open,High,Low,Close,Volume,Dividend,MRI,MRI_Signal,RSI_14,bb_upper_ta,bb_middle_ta,bb_lower_ta,AROOND_25,AROONU_25,AROONOSC_25,MFI_14,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,STOCHk_20_10_3,STOCHd_20_10_3,STOCHk_14_3_3,STOCHd_14_3_3,ppo,ppo_signal,ppo_histogram,Stock,Market Cap
2023-08-17,9950.0,10000.0,9715.0,9865.0,836682,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,463050.KS,NaN
2023-08-18,9835.0,9925.0,9635.0,9765.0,389962,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0809,-0.0162,-0.0647,463050.KS,NaN
2023-08-21,9730.0,9785.0,9600.0,9660.0,288775,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2287,-0.0587,-0.17,463050.KS,NaN
2023-08-22,9640.0,9825.0,9640.0,9705.0,211512,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3057,-0.1081,-0.1976,463050.KS,NaN
2023-08-23,9740.0,9960.0,9675.0,9700.0,339049,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9739.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3667,-0.1598,-0.2069,463050.KS,NaN
2023-08-24,9710.0,9990.0,9610.0,9935.0,270418,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9753.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2191,-0.1717,-0.0474,463050.KS,NaN
2023-08-25,9860.0,9945.0,9790.0,9810.0,172822,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9762.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2026,-0.1778,-0.0248,463050.KS,NaN
2023-08-28,9935.0,9935.0,9570.0,9735.0,219477,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9777.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.2484,-0.192,-0.0565,463050.KS,NaN
2023-08-29,9785.0,10245.0,9760.0,10245.0,257522,0.0,0.7,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9885.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1324,-0.1271,0.2595,463050.KS,NaN
2023-08-30,10295.0,10850.0,10245.0,10530.0,464754,0.0,0.7,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10051.0,9895.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.656,0.0295,0.6265,463050.KS,NaN
2023-08-31,10660.0,11240.0,10645.0,10925.0,761107,0.0,0.7,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10249.0,10001.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.367,0.297,1.07,463050.KS,NaN
2023-09-01,10900.0,10950.0,10370.0,10425.0,572746,0.0,0.7,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10372.0,10067.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5077,0.5392,0.9686,463050.KS,NaN
2023-09-04,10425.0,10430.0,10215.0,10335.0,895317,0.0,0.7,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10492.0,10134.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.529,0.7371,0.7918,463050.KS,NaN
2023-09-05,10350.0,10800.0,10300.0,10770.0,757626,0.0,0.7,Hold,65.57659208261617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10597.0,10241.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8667,0.963,0.9036,463050.KS,NaN
2023-09-06,10870.0,11245.0,10635.0,11150.0,516095,0.0,0.7,Hold,69.558599695586,NaN,NaN,NaN,NaN,NaN,NaN,62.0254,10721.0,10386.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3982,1.2501,1.1481,463050.KS,NaN
2023-09-07,11150.0,11405.0,10760.0,10910.0,580672,0.0,0.7,Hold,66.71532846715328,NaN,NaN,NaN,NaN,NaN,NaN,69.2989,10718.0,10483.5,NaN,NaN,NaN,NaN,NaN,NaN,79.73638959828929,NaN,2.5962,1.5193,1.0769,463050.KS,NaN
2023-09-08,10990.0,11215.0,10865.0,11180.0,498993,0.0,0.7,Hold,71.1699164345404,NaN,NaN,NaN,NaN,NaN,NaN,74.5939,10869.0,10620.5,NaN,NaN,NaN,NaN,NaN,NaN,85.03043366274892,NaN,2.9224,1.7999,1.1225,463050.KS,NaN
2023-09-11,11290.0,11480.0,11125.0,11375.0,440941,0.0,0.7,Hold,72.32620320855615,NaN,NaN,NaN,NaN,NaN,NaN,75.6363,11077.0,10784.5,NaN,NaN,NaN,NaN,NaN,NaN,85.08852019344623,83.28511448482816,3.2841,2.0968,1.1874,463050.KS,NaN
