Date,Open,High,Low,Close,Volume,Dividend,MRI,MRI_Signal,RSI_14,bb_upper_ta,bb_middle_ta,bb_lower_ta,AROOND_25,AROONU_25,AROONOSC_25,MFI_14,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,STOCHk_20_10_3,STOCHd_20_10_3,STOCHk_14_3_3,STOCHd_14_3_3,ppo,ppo_signal,ppo_histogram,Stock,Market Cap
2016-01-04,63.95000076293945,64.05999755859375,63.0099983215332,63.619998931884766,25393200,0.44,0.5,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,JPM,131166997132.1106
2016-01-05,63.70000076293945,64.12999725341797,63.040000915527344,63.72999954223633,16566700,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0138,0.0028,0.011,JPM,131393806070.7092
2016-01-06,62.720001220703125,63.130001068115234,62.34000015258789,62.810001373291016,22961500,0.0,0.5,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.091,-0.016,-0.075,JPM,129497001641.8457
2016-01-07,61.459999084472656,62.0,60.08000183105469,60.27000045776367,27630900,0.0,0.5,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4927,-0.1113,-0.3814,JPM,124260226802.8259
2016-01-08,61.130001068115234,61.27000045776367,58.84999847412109,58.91999816894531,22373300,0.0,0.5,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.9766,-0.2844,-0.6922,JPM,121476880415.3442
2016-01-11,58.83000183105469,59.220001220703125,58.040000915527344,58.83000183105469,20925500,0.0,0.5,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.3607,-0.4997,-0.8611,JPM,121291335646.0571
2016-01-12,59.45000076293945,59.560001373291016,58.09999847412109,58.959999084472656,22971600,0.0,0.5,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.633,-0.7263,-0.9067,JPM,121559367613.2202
2016-01-13,59.459999084472656,59.68000030517578,56.90999984741211,57.34000015258789,28808100,0.0,0.5,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0424,-0.9895,-1.0529,JPM,118219366347.5036
2016-01-14,58.15999984741211,59.380001068115234,57.290000915527344,58.20000076293945,31296300,0.0,0.5,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.2317,-1.238,-0.9938,JPM,119992460549.9268
2016-01-15,56.45000076293945,57.56999969482422,56.220001220703125,57.040000915527344,38131700,0.0,0.5,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.074,59.972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.5113,-1.4927,-1.0187,JPM,117600856356.0486
