Date,Open,High,Low,Close,Volume,Dividend,MRI,MRI_Signal,RSI_14,bb_upper_ta,bb_middle_ta,bb_lower_ta,AROOND_25,AROONU_25,AROONOSC_25,MFI_14,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,STOCHk_20_10_3,STOCHd_20_10_3,STOCHk_14_3_3,STOCHd_14_3_3,ppo,ppo_signal,ppo_histogram,Stock,Market Cap
2016-01-04,18.440000534057617,18.75,18.15999984741211,18.440000534057617,6578900,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,NEM,15790880554.3455
2016-01-05,18.56999969482422,18.56999969482422,18.1299991607666,18.420000076293945,5330800,0.0,0.7,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0087,-0.0017,-0.0069,NEM,15773749435.6377
2016-01-06,18.709999084472656,19.049999237060547,18.530000686645508,18.559999465942383,6273200,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0452,0.0077,0.0376,NEM,15893642289.5654
2016-01-07,18.799999237060547,19.11000061035156,18.21999931335449,18.86000061035156,12351400,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2163,0.0494,0.1669,NEM,16150543505.4866
2016-01-08,18.51000022888184,18.780000686645508,17.899999618530273,18.010000228881836,8792400,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0191,0.0357,-0.0548,NEM,15422659849.1716
2016-01-11,18.1200008392334,18.239999771118164,16.65999984741211,17.010000228881836,8515600,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.6398,-0.0994,-0.5404,NEM,14566317259.2201
2016-01-12,17.1200008392334,17.18000030517578,16.3799991607666,17.010000228881836,13888300,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.1248,-0.3045,-0.8203,NEM,14566317259.2201
2016-01-13,17.06999969482422,17.610000610351562,17.040000915527344,17.479999542236328,8065200,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.2877,-0.5011,-0.7865,NEM,14968797079.6814
2016-01-14,17.170000076293945,17.600000381469727,16.93000030517578,17.270000457763672,7699500,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.4955,-0.7,-0.7955,NEM,14788962481.9824
2016-01-15,17.649999618530273,17.8700008392334,17.450000762939453,17.700000762939453,10141700,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.294,17.876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.4507,-0.8502,-0.6006,NEM,15157187349.9943
2016-01-19,17.809999465942383,17.850000381469727,16.059999465942383,16.309999465942383,11854700,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.154,17.663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.0249,-1.0851,-0.9398,NEM,13966881088.7373
2016-01-20,16.610000610351562,16.719999313354492,16.079999923706055,16.559999465942383,10009500,0.0,0.6,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.064,17.477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.3458,-1.3372,-1.0086,NEM,14180960231.7909
