Date,rate_CL_5D,rate_VOO_20D
2015-01,-3.0594,-3.5197
2015-02,1.8014,1.8044
2015-03,-0.9525,-0.4337
2015-04,-3.1899,0.3137
2015-05,-3.7649,1.1277
2015-06,-5.2102,-1.1499
2015-07,-0.4137,0.7758
2015-08,-8.0882,-5.4229
2015-09,-6.2593,-7.1738
2015-10,-0.9412,1.0672
2015-11,-1.7755,1.2476
2015-12,-0.5655,-0.572
2016-01,1.5873,-4.925
2016-02,-1.2539,-4.8231
2016-03,6.1233,1.7982
2016-04,6.6714,1.9719
2016-05,5.3997,3.5419
2016-06,9.1535,3.6524
2016-07,11.0917,7.2416
2016-08,10.4358,7.0197
2016-09,9.7202,6.6568
2016-10,5.7843,4.4599
2016-11,-3.5311,8.0958
2016-12,-3.1404,9.9999
2017-01,-3.7638,11.4564
2017-02,8.7415,15.2492
2017-03,8.6984,14.8019
2017-04,7.3084,15.441
2017-05,13.1087,16.5118
2017-06,9.367,16.6668
2017-07,6.8315,18.4843
2017-08,5.8037,18.2445
2017-09,7.4142,20.0845
2017-10,4.2225,22.2583
2017-11,6.9372,25.3046
2017-12,11.1313,26.2059
2018-01,9.6245,32.449
2018-02,1.7111,26.7739
2018-03,5.6354,23.0189
2018-04,-3.3899,22.8575
2018-05,-6.38,25.2441
2018-06,-3.675,25.5573
2018-07,0.3152,29.3514
2018-08,-0.5691,32.7978
2018-09,0.2158,32.8363
2018-10,-10.1774,23.2702
2018-11,-4.0453,25.0563
2018-12,-10.0205,13.5319
2019-01,-1.423,22.1943
2019-02,0.3967,25.7013
2019-03,4.4128,27.5721
2019-04,11.4885,32.1369
2019-05,6.4589,23.323
2019-06,9.3756,31.3236
2019-07,9.8843,32.644
2019-08,13.3718,29.9311
2019-09,12.152,31.9602
2019-10,5.1658,34.2575
2019-11,3.9218,38.4965
2019-12,5.4168,41.933
2020-01,13.5755,41.1927
2020-02,3.7955,29.1327
2020-03,5.2414,15.0941
2020-04,12.0723,29.6087
2020-05,15.1571,35.3017
2020-06,16.3927,37.2398
2020-07,23.0862,44.6817
2020-08,26.03,54.038
2020-09,22.3457,47.5315
2020-10,25.465,43.1102
2020-11,35.7293,57.9789
2020-12,35.0368,63.0361
2021-01,23.658,60.507
2021-02,18.85,64.0387
2021-03,24.3077,70.5941
2021-04,27.6451,78.6176
2021-05,32.1298,78.7807
2021-06,27.9413,81.7862
2021-07,25.3314,85.165
2021-08,22.5691,89.5209
2021-09,18.5655,79.652
2021-10,20.0121,91.2215
2021-11,17.9324,88.7203
2021-12,33.855,96.1753
2022-01,29.6479,84.8382
2022-02,20.7611,78.356
2022-03,18.8147,84.1718
2022-04,20.8401,67.1269
2022-05,21.3811,69.9248
2022-06,20.2195,50.6444
2022-07,18.5938,63.8565
2022-08,17.5612,56.4409
2022-09,5.5423,41.6257
2022-10,11.5563,52.5015
2022-11,16.9243,60.3073
2022-12,18.7145,50.5328
2023-01,12.8697,59.4277
2023-02,10.8695,54.8564
2023-03,13.5609,60.006
2023-04,21.2053,61.9344
2023-05,12.7648,62.0896
2023-06,16.6326,71.9711
2023-07,16.0166,76.904
2023-08,11.6167,73.3179
2023-09,7.9155,64.4308
2023-10,14.6688,60.2637
2023-11,20.0941,74.3036
2023-12,21.3365,81.5558
2024-01,28.7132,83.6948
2024-02,31.9686,92.4418
2024-03,37.0494,97.8859
2024-04,40.3755,89.1612
2024-05,41.5786,97.7957
2024-06,47.38,103.9456
2024-07,50.9759,105.3805
2024-08,61.6113,105.1825
2024-09,57.0138,108.7418
2024-10,42.0335,105.866
2024-11,46.0937,111.6911
2024-12,37.0839,104.7706
2025-01,31.2026,105.8612
2025-02,37.6911,102.4101
2025-03,38.3613,92.6645
2025-04,31.4014,73.1455
