Date,rate_V_5D,rate_VOO_20D
2015-01,0.0,-3.5197
2015-02,4.0724,1.8044
2015-03,-1.2846,-0.4337
2015-04,-0.4793,0.3137
2015-05,3.7339,1.1277
2015-06,1.2199,-1.1499
2015-07,12.2611,0.7758
2015-08,5.0395,-5.4229
2015-09,2.2031,-7.1738
2015-10,13.3491,1.0672
2015-11,14.2777,1.2476
2015-12,11.0391,-0.572
2016-01,6.159,-4.925
2016-02,2.9475,-4.8231
2016-03,8.3338,1.7982
2016-04,8.8025,1.9719
2016-05,10.6906,3.5419
2016-06,3.4468,3.6524
2016-07,8.4793,7.2416
2016-08,12.1671,7.0197
2016-09,14.0054,6.6568
2016-10,13.1465,4.4599
2016-11,5.6678,8.0958
2016-12,6.2774,9.9999
2017-01,12.3023,11.4564
2017-02,19.1283,15.2492
2017-03,19.6583,14.8019
2017-04,22.0171,15.441
2017-05,26.814,16.5118
2017-06,24.0117,16.6668
2017-07,30.7529,18.4843
2017-08,35.1391,18.2445
2017-09,36.2413,20.0845
2017-10,41.2333,22.2583
2017-11,43.6205,25.3046
2017-12,44.2167,26.2059
2018-01,55.8333,32.449
2018-02,47.3748,26.7739
2018-03,42.2856,23.0189
2018-04,49.8095,22.8575
2018-05,53.3418,25.2441
2018-06,54.0124,25.5573
2018-07,57.6406,29.3514
2018-08,68.0681,32.7978
2018-09,70.1882,32.8363
2018-10,54.9338,23.2702
2018-11,58.3188,25.0563
2018-12,46.2485,13.5319
2019-01,48.6789,22.1943
2019-02,62.2556,25.7013
2019-03,69.8188,27.5721
2019-04,77.3414,32.1369
2019-05,72.8582,23.323
2019-06,84.4435,31.3236
2019-07,87.5961,32.644
2019-08,89.2544,29.9311
2019-09,78.5882,31.9602
2019-10,84.2674,34.2575
2019-11,88.9209,38.4965
2019-12,90.9239,41.933
2020-01,100.5747,41.1927
2020-02,81.9469,29.1327
2020-03,65.5082,15.0941
2020-04,82.5881,29.6087
2020-05,98.4247,35.3017
2020-06,94.8673,37.2398
2020-07,90.6553,44.6817
2020-08,111.0536,54.038
2020-09,97.5805,47.5315
2020-10,78.2723,43.1102
2020-11,105.2618,57.9789
2020-12,111.9214,63.0361
2021-01,85.9029,60.507
2021-02,103.2484,64.0387
2021-03,101.2361,70.5941
2021-04,120.4645,78.6176
2021-05,113.3671,78.7807
2021-06,117.9836,81.7862
2021-07,128.1082,85.165
2021-08,111.0143,89.5209
2021-09,103.8498,79.652
2021-10,92.5691,91.2215
2021-11,75.4963,88.7203
2021-12,95.1929,96.1753
2022-01,102.5198,84.8382
2022-02,92.6844,78.356
2022-03,96.6554,84.1718
2022-04,87.9207,67.1269
2022-05,82.6975,69.9248
2022-06,62.7702,50.6444
2022-07,74.5903,63.8565
2022-08,63.1002,56.4409
2022-09,45.1774,41.6257
2022-10,68.6518,52.5015
2022-11,76.328,60.3073
2022-12,68.0637,50.5328
2023-01,85.421,59.4277
2023-02,76.6672,54.8564
2023-03,80.2972,60.006
2023-04,85.264,61.9344
2023-05,75.4961,62.0896
2023-06,87.7218,71.9711
2023-07,87.0686,76.904
2023-08,92.7989,73.3179
2023-09,79.6769,64.4308
2023-10,82.8668,60.2637
2023-11,99.2137,74.3036
2023-12,101.1382,81.5558
2024-01,110.1173,83.6948
2024-02,116.6849,92.4418
2024-03,112.9135,97.8859
2024-04,103.9771,89.1612
2024-05,106.3236,97.7957
2024-06,97.8594,103.9456
2024-07,99.3883,105.3805
2024-08,106.9414,105.1825
2024-09,104.9683,108.7418
2024-10,115.0932,105.866
2024-11,133.1949,111.6911
2024-12,132.7822,104.7706
2025-01,145.4097,105.8612
2025-02,153.2909,102.4101
2025-03,150.3601,92.6645
2025-04,121.6935,73.1455
