Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,125.9245834350586,124.66016579007884,126.19361610822767,124.4583938508388,125.9245834350586,415300,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,125.9245834350586,0.0,PSA,0.2584,Buy,0.0,0,157.08819580078125
2015-01-05,126.51642608642578,125.64882021907444,127.05448108955284,125.21164603917,126.51642608642578,481900,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,126.51642608642578,0.03,PSA,0.2652,Buy,0.0,0,154.3283233642578
2015-01-06,128.6753692626953,127.64633354352883,128.9981981625549,127.24279998434076,128.6753692626953,642800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,128.6753692626953,0.1563,PSA,0.2681,Buy,0.0,0,152.8108367919922
2015-01-07,131.31182861328125,128.99819924273186,131.50686829580678,128.23819615253916,131.31182861328125,734100,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,131.31182861328125,0.359,PSA,0.2577,Buy,0.0,0,154.72023010253906
2015-01-08,133.100830078125,131.70190158970516,133.54472617711787,130.95535279141515,133.100830078125,893900,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,129.1058,0.0,0.0,0.0,0.0,133.100830078125,0.554,PSA,0.2489,Buy,0.0,0,157.43846130371094
2015-01-09,133.50436401367188,133.4371033020984,133.68595972488532,131.5741026895285,133.50436401367188,611900,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,130.6218,0.0,0.0,0.0,0.0,133.50436401367188,0.6629,PSA,0.2497,Buy,0.0,0,156.1126708984375
2015-01-12,133.2689971923828,133.51785368128552,134.02900033239598,133.12103179764492,133.2689971923828,403500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,131.9723,0.0,0.0,0.0,0.0,133.50436401367188,0.6791,PSA,0.2572,Buy,0.0,0,154.95372009277344
2015-01-13,133.786865234375,133.67253021362228,134.78226032169826,133.30261675674842,133.786865234375,766700,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,132.9946,0.0,0.0,0.0,0.0,133.786865234375,0.6722,PSA,0.2619,Buy,0.0,0,154.54510498046875
2015-01-14,133.71963500976562,133.1546715253372,134.16352096264538,132.50228140154078,133.71963500976562,608400,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,133.4761,0.0,0.0,0.0,0.0,133.786865234375,0.6212,PSA,0.2638,Buy,0.0,0,153.63626098632812
2015-01-15,134.13662719726562,134.0290141241016,135.27998787762786,133.5380435887935,134.13662719726562,720600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,133.6833,0.0,0.0,0.0,0.0,134.13662719726562,0.5675,PSA,0.2646,Buy,0.0,0,152.20213317871094
2015-01-16,136.0265350341797,134.39220384087952,136.29555745086,133.5447637294966,136.0265350341797,609500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,134.1877,0.0,0.0,0.0,0.0,136.0265350341797,0.585,PSA,0.2599,Buy,0.0,0,154.08653259277344
2015-01-20,136.24847412109375,136.77307498265432,137.05555158022182,135.7373274582402,136.24847412109375,555200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,134.7836,0.0,0.0,0.0,0.0,136.24847412109375,0.5633,PSA,0.2536,Buy,0.0,0,154.47006225585938
2015-01-21,135.19253540039062,135.67006194345882,135.91890816675763,134.63430419301932,135.19253540039062,558100,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,135.0648,0.0,0.0,0.0,0.0,136.24847412109375,0.4558,PSA,0.2505,Buy,0.0,0,155.27890014648438
2015-01-22,138.02407836914062,135.49523238243322,138.1787657686806,135.21947769354324,138.02407836914062,765700,2000.0,0,2000.0,0.0,0,0.0,2000,,90.83096769011095,135.9257,0.0,0.0,0.0,0.0,138.02407836914062,0.4859,PSA,0.2388,Buy,-0.47296559143065187,12,157.6551971435547
2015-01-23,136.36282348632812,137.25733793725095,138.65627713596538,135.97273378319687,136.36282348632812,532600,1990.4546023559571,0,81.3750735473634,1909.0795288085938,14,-0.47726988220214706,2000,cash_4%_Buy 100% of cash (14 shares - Very Safe - MRI:0.24),81.6736048701234,136.3709,0.0,0.0,0.0,0.0,138.02407836914062,0.384,PSA,0.236,Buy,-0.9932597808837706,12,156.7880401611328
2015-01-26,137.46578979492188,136.34932756508792,137.54649444585866,135.54897223481592,137.46578979492188,516000,2005.8961306762696,0,81.3750735473634,1924.5210571289062,14,0.2948065338134853,2000,,82.22496659967891,136.6587,0.0,0.0,0.0,0.0,138.02407836914062,0.3363,PSA,0.2303,Buy,-0.8081401519775211,12,157.09657287597656
2015-01-27,137.6540985107422,136.96135626859763,138.64277147041332,136.58472090539794,137.6540985107422,443000,2008.532452697754,0,81.3750735473634,1927.1573791503906,14,0.4266226348877078,2000,,79.89260749410712,136.9399,0.0,0.0,0.0,0.0,138.02407836914062,0.2805,PSA,0.2401,Buy,-2.043836563110335,12,155.03707885742188
2015-01-28,136.3695831298828,138.21241907878482,139.16746230028056,136.31577657708087,136.3695831298828,468000,1990.5492373657228,0,81.3750735473634,1909.1741638183594,14,-0.47253813171386216,2000,,68.50438625383664,137.1753,0.0,0.0,0.0,0.0,138.02407836914062,0.1527,PSA,0.2524,Buy,-3.269535415649394,12,152.99424743652344
2015-01-29,137.33132934570312,136.30230361601082,137.4792947687679,135.58265267087324,137.33132934570312,333300,2004.0136843872071,0,81.3750735473634,1922.6386108398438,14,0.20068421936034753,2000,,66.47504706307403,137.0367,0.0,0.0,0.0,0.0,138.02407836914062,0.0924,PSA,0.2448,Buy,-2.3790202789306436,12,154.4784393310547
2015-01-30,135.07823181152344,136.78655619556187,137.11610715986748,135.01098132980027,135.07823181152344,1259800,1972.4703189086915,0,81.3750735473634,1891.0952453613281,14,-1.376484054565419,2000,,55.3574192556488,136.7798,133.985,0.0,0.0,0.0,138.02407836914062,-0.0741,PSA,0.2527,Buy,-3.5196666412353306,12,152.57736206054688
2015-02-02,135.6902618408203,135.19255904463157,135.9458403392075,133.04708099715606,135.6902618408203,628600,2981.0387393188475,0,1081.3750735473634,1899.6636657714844,14,-0.6320420227050816,3000,"Monthly invest 33.3% of total investment ($1,000.00)",58.035878872343574,136.4247,134.4732,0.0,0.0,0.0,138.02407836914062,-0.1629,PSA,0.2443,Buy,-1.6460599060058478,12,154.3283233642578
2015-02-03,136.55111694335938,135.7709376759024,136.57129310867757,134.55359447648976,136.55111694335938,663200,2993.0907107543944,0,1081.3750735473634,1911.7156372070312,14,-0.23030964152018774,3000,,58.96999405822935,136.2041,134.975,0.0,0.0,0.0,138.02407836914062,-0.1864,PSA,0.2386,Buy,-0.9021329040527215,18,156.57958984375
2015-02-04,136.30227661132812,135.89873276245785,136.7327185942681,134.85625303833163,136.30227661132812,679600,2989.606946105957,0,1081.3750735473634,1908.2318725585938,14,-0.34643512980143676,3000,,58.283041434782355,136.1906,135.3563,0.0,0.0,0.0,138.02407836914062,-0.2197,PSA,0.2456,Buy,-1.2223019714355354,18,156.0459747314453
