Date,Open,High,Low,Close,Adj Close,Volume,RSI_14,bb_upper_ta,bb_middle_ta,bb_lower_ta,AROOND_25,AROONU_25,AROONOSC_25,MFI_14,SMA_5,SMA_10,SMA_20,SMA_60,SMA_120,SMA_240,STOCHk_20_10_3,STOCHd_20_10_3,STOCHk_14_3_3,STOCHd_14_3_3,ppo,ppo_signal,ppo_histogram,Stock,Sector
2019-01-02,114.790001,115.43,112.75,114.879997,105.469978,4247100,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,LLY,Healthcare
2019-01-03,114.720001,114.739998,111.099998,111.309998,102.192375,4203300,,,,,,,,,,,,,,,,,,,-0.24847085624976933,-0.04969417124995387,-0.19877668499981546,LLY,Healthcare
2019-01-04,112.209999,114.839996,111.739998,114.660004,105.267998,5795200,,,,,,,,,,,,,,,,,,,-0.20714481777999358,-0.08118430055596182,-0.12596051722403176,LLY,Healthcare
2019-01-07,112.370003,116.440002,112.050003,115.279999,105.837189,7749600,,,,,,,,,,,,,,,,,,,-0.12920640193816113,-0.09078872083240168,-0.03841768110575945,LLY,Healthcare
2019-01-08,115.690002,116.419998,114.519997,116.339996,106.810356,3428900,,,,,,,,,114.49399880000001,,,,,,,,,,0.00699387183070325,-0.0712322022997807,0.07822607413048395,LLY,Healthcare
2019-01-09,116.370003,118.220001,116.220001,117.209999,107.6091,5820100,,,,,,,,,114.9599992,,,,,,,,,,0.1737025270551026,-0.02224525642880404,0.19594778348390665,LLY,Healthcare
2019-01-10,117.089996,117.220001,114.970001,115.940002,106.44313,4282300,,,,,,,,,115.886,,,,,,,,,,0.2140917827788161,0.02502215141271999,0.1890696313660961,LLY,Healthcare
2019-01-11,115.269997,116.209999,115.099998,116.18,106.663452,2648800,,,,,,,,,116.18999920000002,,,,,,,,,,0.2598324148578922,0.07198420410175443,0.18784821075613778,LLY,Healthcare
2019-01-14,115.199997,115.25,114.330002,114.68,105.286346,4404600,,,,,,,,,116.0699994,,,,,,,,,,0.18894923332982852,0.09537720994736926,0.09357202338245926,LLY,Healthcare
2019-01-15,113.910004,118.220001,113.400002,117.089996,107.498932,5097700,,,,,,,,,116.2199994,115.35699910000001,,,,,,,,,0.29785755039361705,0.1358732780366188,0.16198427235699825,LLY,Healthcare
2019-01-16,116.989998,118.07,116.480003,116.800003,107.232689,2920600,,,,,,,,,116.1380002,115.54899970000001,,,,,,,,,0.3595462173850878,0.18060786590631261,0.17893835147877518,LLY,Healthcare
2019-01-17,116.809998,119.199997,116.550003,119.160004,109.399391,4401900,,,,,,,,,116.78200059999999,116.3340003,,,,,,,,,0.5658317059984399,0.2576526339247381,0.3081790720737018,LLY,Healthcare
2019-01-18,115.580002,116.900002,115.019997,116.589996,107.039902,8887000,,,,,,,,,116.86399980000002,116.52699950000002,,,,,,,,,0.5440688053118082,0.31493586820215214,0.2291329371096561,LLY,Healthcare
2019-01-22,115.690002,117.110001,115.690002,117.089996,107.498932,4377500,55.36147440709949,,,,,,,,117.345999,116.70799920000002,,,,,,,,,0.5550681252921608,0.36296231962015385,0.1921058056720069,LLY,Healthcare
