Date,rate_ACHR_5D,rate_VOO_20D
2020-12,0.0,1.7296
2021-01,-0.9974,-0.6503
2021-02,13.7195,-2.2772
2021-03,5.3146,-0.1078
2021-04,1.8332,6.3386
2021-05,1.4701,3.0485
2021-06,1.5353,5.4294
2021-07,1.0178,8.2027
2021-08,1.6046,11.7209
2021-09,-6.5526,4.3464
2021-10,-13.7181,11.4171
2021-11,-15.2429,9.2791
2021-12,-16.6878,12.2583
2022-01,-22.7618,3.6384
2022-02,-20.2074,-3.5766
2022-03,23.7398,0.4142
2022-04,15.2686,-7.476
2022-05,-8.2988,-6.203
2022-06,-28.2165,-19.5873
2022-07,-11.2787,-9.4477
2022-08,-15.4452,-11.2355
2022-09,-18.1379,-13.7882
2022-10,-14.1875,-8.0364
2022-11,-24.7098,-1.4458
2022-12,-37.2315,-7.4118
2023-01,-4.6419,-1.6128
2023-02,-7.7721,-5.1082
2023-03,-12.8003,-1.5429
2023-04,-30.1931,0.1744
2023-05,3.3116,0.4226
2023-06,-0.228,8.672
2023-07,12.0926,12.8235
2023-08,-6.0155,8.5892
2023-09,-11.6521,1.4215
2023-10,-21.3888,-1.9037
2023-11,-6.4634,9.734
2023-12,-3.0839,15.7994
2024-01,-6.9415,12.3032
2024-02,-10.7566,19.3583
2024-03,-17.8876,23.7912
2024-04,-24.2845,18.104
2024-05,-36.0606,22.4499
2024-06,-32.2959,27.4121
2024-07,-13.3768,26.5245
2024-08,-23.3856,29.4777
2024-09,-26.8447,28.5914
2024-10,-23.3624,26.4694
2024-11,133.9911,35.2355
2024-12,96.6188,30.0933
2025-01,94.5009,30.9133
2025-02,91.4158,29.6634
2025-03,60.7743,24.5304
2025-04,85.4251,20.4629
2025-05,138.0455,29.6116
2025-06,113.9945,37.4175
2025-07,107.9936,40.6843
2025-08,102.3446,43.6236
2025-09,113.4086,49.1893
2025-10,152.455,52.8052
2025-11,140.8521,48.2736
2025-12,122.6356,47.5287
2026-01,158.7657,48.9158
