Date,rate_AEP_5D,rate_VOO_20D
2015-01,-2.427,-3.5197
2015-02,-6.4373,1.8044
2015-03,-6.0216,-0.4337
2015-04,-3.9169,0.3137
2015-05,-3.4635,1.1276
2015-06,-8.6633,-1.1499
2015-07,-1.7025,0.7758
2015-08,-4.4061,-5.2144
2015-09,-0.4,-6.8385
2015-10,-0.66,1.456
2015-11,-0.8207,1.6267
2015-12,3.1023,-0.222
2016-01,7.6007,-4.5787
2016-02,9.3143,-4.4957
2016-03,16.609,2.1419
2016-04,10.5027,2.3064
2016-05,12.8259,3.8577
2016-06,21.3943,3.9516
2016-07,18.942,7.5258
2016-08,11.1924,7.2904
2016-09,9.8189,6.9152
2016-10,10.5001,4.7071
2016-11,1.257,8.3327
2016-12,7.9442,10.2273
2017-01,9.5095,11.6751
2017-02,15.1689,15.4735
2017-03,14.9287,15.0273
2017-04,15.5697,15.6585
2017-05,22.6286,16.7221
2017-06,17.9395,16.8703
2017-07,19.1455,18.6815
2017-08,24.7681,18.4357
2017-09,18.3257,20.2701
2017-10,24.7133,22.4385
2017-11,30.4611,25.4799
2017-12,23.0042,26.382
2018-01,14.6831,32.6335
2018-02,10.0721,24.401
2018-03,14.8443,20.8199
2018-04,16.7984,19.9601
2018-05,14.0807,22.3447
2018-06,15.9624,22.6955
2018-07,18.7541,26.4604
2018-08,20.3198,29.8718
2018-09,18.4,29.9572
2018-10,22.0664,22.7067
2018-11,30.0193,23.8107
2018-12,26.5211,12.3859
2019-01,32.2725,21.0019
2019-02,36.1574,24.492
2019-03,39.7443,26.3604
2019-04,41.9496,30.8943
2019-05,43.2633,22.1898
2019-06,45.5282,30.1362
2019-07,44.3126,31.4649
2019-08,50.0472,28.7871
2019-09,53.299,30.8192
2019-10,53.5107,33.1174
2019-11,48.8693,37.3445
2019-12,53.2018,40.7675
2020-01,68.0065,40.0464
2020-02,43.9751,28.1097
2020-03,45.1372,14.1258
2020-04,50.5616,28.8488
2020-05,55.0538,34.5177
2020-06,44.0617,36.4534
2020-07,56.3919,43.8611
2020-08,42.4546,53.1728
2020-09,47.0092,46.7108
2020-10,60.9953,42.3217
2020-11,52.4806,57.1162
2020-12,48.8861,62.1532
2021-01,44.0472,59.6449
2021-02,33.9322,63.1645
2021-03,50.9644,69.6919
2021-04,57.3961,77.68
2021-05,53.1907,77.8489
2021-06,50.0375,80.8455
2021-07,55.6295,84.2132
2021-08,58.7981,88.5531
2021-09,43.3881,78.7406
2021-10,48.9653,90.2577
2021-11,43.2923,87.7749
2021-12,56.6813,95.1983
2022-01,56.546,83.9233
2022-02,57.3875,74.9471
2022-03,72.4975,79.8863
2022-04,73.06,68.9809
2022-05,73.1484,72.0347
2022-06,64.6371,51.9659
2022-07,68.386,65.2912
2022-08,74.0445,61.4331
2022-09,59.2651,55.0186
2022-10,60.8583,61.1847
2022-11,78.0452,69.3799
2022-12,72.922,60.7615
2023-01,67.3989,68.1643
2023-02,52.7538,63.5066
2023-03,53.9471,67.5341
2023-04,55.8189,69.5109
2023-05,41.0113,69.6316
2023-06,42.3962,79.9299
2023-07,42.8809,85.0404
2023-08,36.7542,79.5624
2023-09,30.4241,70.329
2023-10,32.0743,65.9818
2023-11,40.3265,80.4767
2023-12,42.8791,87.9484
2024-01,39.6206,84.9593
2024-02,52.558,93.7564
2024-03,48.3264,99.2291
2024-04,43.2963,92.0909
2024-05,49.6326,97.5079
2024-06,47.539,103.6455
2024-07,63.1699,101.9435
2024-08,64.1621,106.6686
2024-09,64.6378,104.1626
2024-10,59.2301,101.367
2024-11,56.968,106.0673
2024-12,45.0785,99.3439
2025-01,54.2789,100.1367
2025-02,67.4016,96.2248
2025-03,62.3461,89.8214
2025-04,54.8791,71.0184
