Date,rate_ALGN_5D,rate_VOO_20D
2016-01,2.805,-3.28
2016-02,0.9918,-2.376
2016-03,10.0409,4.071
2016-04,7.2184,3.4463
2016-05,14.957,4.5141
2016-06,15.187,4.1644
2016-07,24.921,7.3333
2016-08,27.168,6.6525
2016-09,25.4838,6.013
2016-10,13.2696,3.6115
2016-11,21.5667,7.182
2016-12,23.8814,8.8567
2017-01,16.4932,10.0774
2017-02,28.8233,13.6125
2017-03,41.6014,12.8284
2017-04,63.0735,13.2286
2017-05,72.0677,14.0432
2017-06,73.9179,13.9758
2017-07,89.5925,15.5728
2017-08,95.7684,15.1519
2017-09,101.6917,16.7674
2017-10,152.7104,18.6971
2017-11,168.8626,21.4906
2017-12,123.526,22.1742
2018-01,157.7697,28.0253
2018-02,152.5193,22.3109
2018-03,136.6159,18.5822
2018-04,130.8428,18.439
2018-05,200.6245,20.6342
2018-06,203.1478,20.8295
2018-07,209.3762,24.4195
2018-08,228.2816,27.64
2018-09,225.4979,27.5571
2018-10,80.6047,18.148
2018-11,85.234,19.8158
2018-12,66.6658,8.7803
2019-01,95.999,17.0692
2019-02,101.3472,20.3898
2019-03,118.169,22.1512
2019-04,145.6923,26.4471
2019-05,112.2878,17.8766
2019-06,101.8576,25.6026
2019-07,52.5632,26.8029
2019-08,32.7583,24.165
2019-09,30.5418,26.0707
2019-10,80.8949,28.2682
2019-11,96.8735,32.2632
2019-12,96.1096,35.5066
2020-01,78.9222,34.7146
2020-02,50.8076,23.2206
2020-03,19.4031,7.5857
2020-04,47.0851,21.2139
2020-05,67.1752,26.5664
2020-06,85.3056,28.3643
2020-07,96.7285,35.3077
2020-08,97.1565,44.0007
2020-09,115.3422,37.8818
2020-10,177.5212,33.7409
2020-11,209.8815,47.6567
2020-12,240.0605,52.3191
2021-01,230.5666,49.9619
2021-02,252.7489,53.2489
2021-03,233.0969,59.3139
2021-04,262.2409,66.7128
2021-05,255.025,66.7978
2021-06,263.5925,69.5264
2021-07,309.4646,72.593
2021-08,312.6356,76.58
2021-09,283.1356,67.3306
2021-10,255.791,78.0118
2021-11,244.9665,75.6346
2021-12,267.0859,82.5203
2022-01,174.0509,71.9304
2022-02,180.7136,65.8784
2022-03,137.4559,71.2418
2022-04,56.8909,55.3862
2022-05,49.5134,55.0693
2022-06,27.0639,41.677
2022-07,50.2618,54.0588
2022-08,29.8959,47.0803
2022-09,10.1513,33.1115
2022-10,3.2285,43.3799
2022-11,4.4452,50.707
2022-12,11.8751,41.5455
2023-01,42.7168,49.9054
2023-02,63.0273,45.6128
2023-03,75.194,50.431
2023-04,69.7731,52.2262
2023-05,46.9464,52.3734
2023-06,82.965,61.6123
2023-07,94.5336,66.208
2023-08,89.562,62.8182
2023-09,55.7075,54.4786
2023-10,-5.9842,50.5707
2023-11,8.8731,63.7242
2023-12,39.2191,70.5007
2024-01,35.4679,72.5028
2024-02,52.7409,80.6678
2024-03,64.9966,85.7322
2024-04,41.6527,77.499
2024-05,28.6994,85.5862
2024-06,20.5869,91.319
2024-07,15.6615,92.6342
2024-08,18.1707,96.3435
2024-09,26.5183,99.6776
2024-10,1.9354,96.8805
2024-11,15.6165,107.4927
2024-12,3.4941,101.7132
2025-01,8.6947,106.1747
2025-02,-7.1802,102.6383
2025-03,-20.9614,90.4787
2025-04,-13.6156,88.1311
2025-05,-9.7244,99.0692
2025-06,-5.4618,108.4087
2025-07,-35.3881,112.1972
2025-08,-28.6777,115.6241
2025-09,-36.7868,122.2463
2025-10,-30.129,126.4867
2025-11,-25.1813,125.9202
2025-12,-20.4387,125.0582
2026-01,-13.8882,126.4133
