Date,rate_AMD_5D,rate_VOO_20D
2015-01,-3.6145,0.0
2015-02,14.1443,0.0
2015-03,8.2109,0.0
2015-04,-5.8055,0.0
2015-05,-6.2767,0.0
2015-06,-0.446,0.0
2015-07,-6.0096,0.0
2015-08,-15.7118,0.0
2015-09,-18.8071,-2.3535
2015-10,-3.259,5.1504
2015-11,0.2793,3.2215
2015-12,22.1384,2.6389
2016-01,1.4563,2.4536
2016-02,-1.0538,3.426
2016-03,31.543,9.6095
2016-04,32.4796,9.3703
2016-05,54.1109,8.9957
2016-06,40.3163,8.5525
2016-07,67.2373,9.2931
2016-08,77.1225,8.8882
2016-09,62.6516,8.4476
2016-10,67.2834,7.616
2016-11,82.5921,8.2074
2016-12,128.4541,8.3838
2017-01,104.7254,8.4837
2017-02,178.5409,9.0695
2017-03,173.732,8.7753
2017-04,139.7113,8.7055
2017-05,97.7065,8.7223
2017-06,117.0482,8.5764
2017-07,132.3639,8.7378
2017-08,118.3108,8.533
2017-09,110.6495,8.6911
2017-10,78.7168,8.9031
2017-11,74.8181,9.2574
2017-12,63.1538,9.2605
2018-01,115.5836,10.0984
2018-02,75.8266,9.0972
2018-03,56.6029,7.6819
2018-04,67.3471,7.3245
2018-05,109.0806,9.2745
2018-06,125.7012,9.7223
2018-07,153.193,12.5725
2018-08,242.948,15.1034
2018-09,314.143,15.2829
2018-10,220.4657,10.0489
2018-11,225.5407,11.0456
2018-12,180.546,1.1349
2019-01,260.3528,8.9917
2019-02,242.4285,12.2607
2019-03,266.1203,11.0618
2019-04,290.8778,11.8408
2019-05,256.0426,10.0536
2019-06,286.7139,11.4447
2019-07,272.3154,11.5842
2019-08,247.5091,10.9959
2019-09,216.4627,11.2541
2019-10,258.2984,11.5575
2019-11,308.3851,12.1897
2019-12,372.2974,12.679
2020-01,376.0962,12.4658
2020-02,337.9001,10.7706
2020-03,326.8499,7.6696
2020-04,384.1382,21.4404
2020-05,368.7685,26.8573
2020-06,342.2077,26.4275
2020-07,519.8857,30.2963
2020-08,565.8141,37.922
2020-09,536.4254,31.2145
2020-10,503.0492,25.6416
2020-11,578.4827,32.8927
2020-12,568.6512,35.7292
2021-01,503.0607,34.1724
2021-02,463.324,35.0658
2021-03,424.4733,36.3436
2021-04,439.5334,37.9237
2021-05,425.0229,37.3964
2021-06,509.4724,37.5082
2021-07,533.5808,37.6774
2021-08,537.6156,37.9909
2021-09,515.4431,36.2774
2021-10,594.1302,37.613
2021-11,787.4041,36.9696
2021-12,709.4354,37.722
2022-01,610.852,35.8734
2022-02,622.4777,29.5272
2022-03,479.5061,33.5379
2022-04,425.3362,27.1342
2022-05,478.3481,28.8387
2022-06,375.6288,14.7684
2022-07,466.0359,24.9682
2022-08,403.9907,23.2124
2022-09,273.3331,20.7282
2022-10,251.1806,25.3467
2022-11,350.5055,31.9504
2022-12,295.8899,26.7104
2023-01,336.4484,31.3579
2023-02,357.7397,27.8325
2023-03,431.2368,31.3614
2023-04,405.7253,33.0995
2023-05,529.0792,33.3991
2023-06,531.9783,41.4615
2023-07,499.9789,45.5209
2023-08,445.6524,41.4457
2023-09,405.2757,39.5727
2023-10,383.6569,33.8928
2023-11,442.8039,45.7059
2023-12,503.753,51.8572
2024-01,515.9383,48.2939
2024-02,543.7976,48.0462
2024-03,505.7786,47.7403
2024-04,467.5969,47.1643
2024-05,494.3639,46.9337
2024-06,467.6203,46.6609
2024-07,421.463,46.3037
2024-08,434.96,46.6003
2024-09,452.0886,46.9549
2024-10,412.9422,45.1407
2024-11,393.5019,53.2076
2024-12,339.8409,48.5181
2025-01,319.5411,48.773
2025-02,259.0707,46.0613
2025-03,267.2395,41.2781
2025-04,240.6895,40.7044
2025-05,285.3084,49.1439
2025-06,355.4477,56.3673
2025-07,406.1452,59.4728
2025-08,363.5608,62.2627
2025-09,353.6398,66.4088
