Date,rate_BAC_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return,sma60_ta,sma240_ta,is_uptrend,Wave_Stage,Elliott_Factor
2015-01-02,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,
2015-03-03,-6.2,4.16,-10.36,81.29,-2.04,0.0,0.0,,,,,
2015-04-29,-6.46,3.8,-10.26,81.47,2.73,0.0,0.0,,,,,
2015-06-25,1.74,3.4,-1.66,97.0,9.79,0.0,0.0,,,,,
2015-08-21,-5.75,-2.77,-2.98,88.33,-9.07,3.94,0.0,,,,,
2015-10-19,-5.36,0.19,-5.55,84.0,-1.3,3.94,0.0,,,,,
2015-12-15,2.1,0.99,1.11,95.23,0.34,3.94,0.095,,,,,
2016-02-12,-29.77,-8.03,-21.74,56.7,-25.51,3.94,0.0,,,,,
2016-04-12,-21.66,1.51,-23.17,54.29,-6.26,3.94,0.0,,,,,
2016-06-08,-14.59,4.64,-19.23,60.93,-1.77,3.94,0.0,,,,,
2016-08-04,-13.96,6.55,-20.51,58.78,9.29,3.94,0.0,,,,,
2016-09-30,-6.97,6.55,-13.52,70.56,-2.58,3.94,0.0,,,,,
2016-11-28,20.73,8.53,12.2,95.99,11.72,15.02,0.12,,,,,
2017-01-26,38.86,12.65,26.21,100.0,3.68,26.21,0.0,,,,,
2017-03-24,36.31,14.65,21.66,86.79,-9.11,33.38,0.8820000000000001,,,,,
2017-05-22,35.24,17.16,18.08,82.76,-5.43,33.38,1.1500000000000001,,,,,
2017-07-19,40.62,20.55,20.07,85.0,1.97,33.38,1.002,,,,,
2017-09-14,41.05,21.78,19.27,84.1,-1.6,33.38,1.062,,,,,
2017-11-09,53.32,25.33,27.99,90.45,1.09,36.79,0.702,,,,,
2018-01-09,74.15,32.87,41.28,98.93,-0.31,42.33,0.09000000000000001,,,,,
2018-03-08,84.03,32.18,51.85,98.7,-0.89,53.26,0.13799999999999998,,,,,
2018-05-04,66.48,27.87,38.61,86.44,-4.79,53.35,1.4460000000000002,,,,,
2018-07-02,59.8,30.25,29.55,78.11,-4.73,53.35,2.336,,,,,
2018-08-28,76.16,38.61,37.55,85.47,-2.04,53.35,1.55,,,,,
2018-10-24,46.7,26.38,20.32,69.62,-9.73,53.35,3.2420000000000004,,,,,
2018-12-21,30.27,14.29,15.98,65.63,-9.49,53.35,3.668,,,,,
2019-02-21,62.55,31.47,31.08,79.52,-4.49,53.35,2.186,,,,,
2019-04-18,65.82,36.81,29.01,77.61,6.93,53.35,2.39,,,,,
2019-06-17,53.48,36.1,17.38,66.92,-4.01,53.35,3.53,,,,,
2019-08-13,51.58,37.04,14.54,64.3,-3.41,53.35,3.8100000000000005,,,,,
2019-10-09,51.85,35.98,15.87,65.53,-4.06,53.35,3.6780000000000004,,,,,
2019-12-05,79.16,45.14,34.02,82.22,-0.82,53.35,1.8980000000000001,,,,,
2020-02-04,80.99,52.49,28.5,77.14,-8.64,53.35,2.44,,,,,
2020-04-01,6.16,13.74,-7.58,43.96,-14.16,53.35,0.0,,,,,
2020-05-29,29.35,40.47,-11.12,40.7,-5.46,53.35,0.0,,,,,
2020-07-27,29.1,48.57,-19.47,33.02,-4.18,53.35,0.0,,,,,
2020-09-22,27.62,51.8,-24.18,28.69,-3.71,53.35,0.0,,,,,
2020-11-17,46.47,64.37,-17.9,34.46,9.54,53.35,0.0,,,,,
2021-01-15,74.74,70.52,4.22,54.81,18.56,53.35,4.822,,,,,
2021-03-16,98.27,78.86,19.41,68.78,14.77,53.35,3.3320000000000003,,,,,
2021-05-12,115.61,82.17,33.44,81.69,8.6,53.35,1.954,,,,,
2021-07-09,108.36,94.62,13.74,63.57,-12.92,53.35,3.8880000000000003,,,,,
2021-09-03,112.39,101.38,11.01,61.06,-0.1,53.35,4.154,,,,,
2021-11-01,146.01,103.4,42.61,90.12,8.39,53.35,1.054,,,,,
2021-12-29,128.76,110.49,18.27,67.73,-8.19,53.35,3.444,,,,,
2022-02-25,129.3,91.86,37.44,84.96,-5.27,53.87,1.62,,,,,
2022-04-25,88.86,86.8,2.06,52.57,-20.25,53.87,7.665,,,,,
2022-06-22,64.3,63.12,1.18,51.77,-6.77,53.87,5.196000000000001,,,,,
2022-08-18,82.1,84.98,-2.88,48.05,0.52,53.87,0.0,,,,,
2022-10-14,58.48,53.85,4.63,54.92,0.58,53.87,4.856000000000001,,,,,
2022-12-12,62.88,70.93,-8.05,43.32,-26.15,53.87,0.0,,,,,
2023-02-09,76.99,73.66,3.33,53.73,1.53,53.87,4.986000000000001,,,,,
2023-04-10,37.96,73.97,-36.01,17.72,-19.58,53.87,0.0,,,,,
2023-06-06,43.92,81.01,-37.09,16.73,1.17,53.87,0.0,,,,,
2023-08-03,54.15,88.91,-34.76,18.87,10.65,53.87,0.0,,,,,
2023-09-29,33.51,79.47,-45.96,8.61,2.66,53.87,0.0,,,,,
2023-11-27,41.98,90.05,-48.07,6.68,-0.43,53.87,0.0,,,,,
2024-01-25,56.87,103.14,-46.27,8.33,-6.29,53.87,0.0,,,,,
2024-03-22,70.97,115.96,-44.99,9.5,6.58,53.87,0.0,,,,,
2024-05-20,77.36,118.46,-41.1,13.06,-7.41,53.87,0.0,,,,,
2024-07-18,93.28,126.6,-33.32,20.18,9.69,53.87,0.0,,,,,
2024-09-13,75.21,129.28,-54.07,1.19,-4.51,53.87,0.0,,,,,
2024-09-24,78.0,133.37,-55.37,0.0,-6.08,53.87,0.0,40.11,35.69,True,wave_4,0.3
