Date,rate_CAT_5D,rate_VOO_20D
2015-01,-7.4895,-3.5197
2015-02,-3.1573,1.8044
2015-03,-5.8936,-0.4336
2015-04,4.2517,0.3137
2015-05,1.5079,1.1276
2015-06,0.2445,-1.1499
2015-07,-6.2163,0.7758
2015-08,-11.6097,-5.2144
2015-09,-23.2391,-6.8385
2015-10,-11.792,1.456
2015-11,-11.4151,1.6267
2015-12,-16.2256,-1.5469
2016-01,-20.6341,-5.7531
2016-02,-12.2807,-5.5897
2016-03,-0.1559,1.0514
2016-04,2.1467,1.2766
2016-05,-4.4327,2.8694
2016-06,0.1494,3.0125
2016-07,10.2362,6.6033
2016-08,8.6989,6.4107
2016-09,17.1865,6.0754
2016-10,10.4462,3.9171
2016-11,25.5211,7.5494
2016-12,20.7907,9.4609
2017-01,24.6555,10.9259
2017-02,25.0382,14.726
2017-03,19.2459,14.3056
2017-04,31.813,14.9549
2017-05,34.7919,16.033
2017-06,36.2158,16.1995
2017-07,44.2413,18.0191
2017-08,47.3458,17.7916
2017-09,54.8817,19.633
2017-10,67.7816,21.8061
2017-11,72.4009,24.8473
2017-12,90.2563,25.7591
2018-01,94.9707,31.9951
2018-02,81.1441,23.8183
2018-03,59.822,20.2635
2018-04,55.595,19.4213
2018-05,62.2309,21.8063
2018-06,43.5323,22.1657
2018-07,51.8925,25.9246
2018-08,45.6275,29.3314
2018-09,58.8312,29.4255
2018-10,42.6339,22.2068
2018-11,53.5994,23.3167
2018-12,38.483,11.9432
2019-01,45.2493,20.5081
2019-02,48.8863,23.9911
2019-03,45.9413,25.8605
2019-04,50.1115,30.3858
2019-05,28.4659,21.7197
2019-06,45.4037,29.6454
2019-07,40.781,30.9765
2019-08,26.7849,28.3144
2019-09,34.1033,30.3463
2019-10,46.7633,32.6432
2019-11,53.2271,36.8628
2019-12,55.431,40.2808
2020-01,38.3924,39.5678
2020-02,30.2336,27.6738
2020-03,12.9023,13.7984
2020-04,14.3436,28.826
2020-05,17.8699,34.4952
2020-06,23.8193,36.4312
2020-07,30.5343,43.8394
2020-08,39.2014,53.1513
2020-09,45.2548,46.6896
2020-10,49.2823,42.3008
2020-11,55.0398,52.4801
2020-12,61.701,57.4142
2021-01,62.3695,54.5505
2021-02,90.5852,53.2933
2021-03,103.3881,59.5158
2021-04,99.6829,67.1172
2021-05,109.5611,63.1968
2021-06,87.9222,66.0542
2021-07,78.4399,69.2541
2021-08,81.0082,73.3421
2021-09,63.9616,64.4041
2021-10,74.3471,75.0902
2021-11,66.6241,72.8856
2021-12,71.1011,74.9008
2022-01,72.6091,64.8949
2022-02,67.1962,56.9857
2022-03,91.7644,61.5357
2022-04,72.8211,52.0569
2022-05,76.222,54.9383
2022-06,60.511,36.9451
2022-07,81.2521,49.0697
2022-08,68.7953,45.7103
2022-09,60.7803,40.1986
2022-10,99.8012,45.66
2022-11,113.6816,53.1736
2022-12,110.9868,45.6598
2023-01,121.417,52.3474
2023-02,113.6111,48.2542
2023-03,93.954,51.8023
2023-04,85.5488,53.6828
2023-05,73.7025,53.8785
2023-06,106.7465,63.3156
2023-07,122.7575,68.0452
2023-08,130.8355,63.1617
2023-09,126.8569,54.8585
2023-10,101.2565,50.9761
2023-11,112.3613,64.2515
2023-12,149.1553,71.1452
2024-01,143.7883,68.502
2024-02,160.0217,76.5944
2024-03,183.4837,81.6554
2024-04,173.3686,75.2278
2024-05,161.8264,80.2557
2024-06,160.3776,85.9352
2024-07,170.2818,84.4488
2024-08,164.7698,88.839
2024-09,179.4693,85.7349
2024-10,172.5556,83.2676
2024-11,160.5191,87.6881
2024-12,140.768,81.6347
2025-01,141.539,82.4328
2025-02,129.7686,78.9337
2025-03,116.502,73.1644
2025-04,91.812,66.2701
