Date,rate_CI_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2019-01-07,-0.25,-0.25,0.0,100.0,0.0,0.0,0.0
2019-02-05,-2.12,5.22,-7.34,86.29,-13.71,1.82,0.25
2019-03-06,-13.34,6.73,-20.07,67.24,-19.05,1.82,0.6
2019-04-03,-16.29,10.06,-26.35,57.84,-9.4,1.82,0.77
2019-05-02,-16.56,11.78,-28.34,54.86,-2.98,1.82,0.82
2019-05-31,-21.91,5.68,-27.59,55.98,1.12,1.82,0.8
2019-06-28,-16.71,12.39,-29.1,53.72,-2.26,1.82,0.84
2019-07-29,-8.82,15.47,-24.29,60.92,7.2,1.82,0.71
2019-08-26,-18.93,10.2,-29.13,53.67,-7.25,1.82,0.84
2019-09-24,-16.11,13.61,-29.72,52.79,-0.88,1.82,0.86
2019-10-22,-9.3,14.19,-23.49,62.12,9.33,1.82,0.69
2019-11-19,6.46,18.94,-12.48,78.6,16.48,1.82,0.39
2019-12-18,5.44,21.71,-16.27,72.92,-5.68,1.82,0.49
2020-01-17,12.95,26.23,-13.28,77.4,4.48,1.82,0.41
2020-02-18,17.9,27.81,-9.91,82.44,5.04,1.82,0.32
2020-03-17,-17.56,-3.82,-13.74,76.71,-5.73,1.82,0.42
2020-04-15,-2.88,5.44,-8.32,84.82,8.11,1.82,0.28
2020-05-13,-3.72,6.82,-10.54,81.5,-3.32,1.82,0.34
2020-06-11,1.82,13.92,-12.1,79.16,-2.34,1.82,0.38
2020-07-10,-6.68,20.13,-26.81,57.15,-22.01,1.82,0.78
2020-08-07,-5.22,26.3,-31.52,50.1,-7.05,1.82,0.91
2020-09-04,-4.95,29.08,-34.03,46.34,-3.76,1.82,0.98
2020-10-05,-8.26,27.74,-36.0,43.39,-2.95,1.82,1.03
2020-11-02,-6.81,23.96,-30.77,51.22,7.83,1.82,0.89
2020-12-01,10.43,37.08,-26.65,57.39,6.17,1.82,0.78
2020-12-30,8.58,39.34,-30.76,51.23,-6.16,1.82,0.89
2021-01-29,15.4,38.35,-22.95,62.92,11.69,1.82,0.67
2021-03-01,14.04,44.93,-30.89,51.04,-11.88,1.82,0.89
2021-03-29,31.29,47.22,-15.93,73.43,22.39,1.82,0.48
2021-04-27,32.58,54.87,-22.29,63.91,-9.52,1.82,0.66
2021-05-25,37.14,54.75,-17.61,70.92,7.01,1.82,0.53
2021-06-23,22.82,56.44,-33.62,46.95,-23.97,1.82,0.97
2021-07-22,22.27,60.21,-37.94,40.49,-6.46,1.82,1.08
2021-08-19,8.44,61.35,-52.91,18.08,-22.41,1.82,1.49
2021-09-17,8.06,61.92,-53.86,16.66,-1.42,1.82,1.52
2021-10-15,8.3,62.6,-54.3,16.0,-0.66,1.82,1.53
2021-11-12,14.25,69.85,-55.6,14.05,-1.95,1.82,1.56
2021-12-13,12.86,69.14,-56.28,13.04,-1.01,1.82,1.58
2022-01-11,25.77,69.7,-43.93,31.52,18.48,1.82,1.25
2022-02-09,21.58,64.84,-43.26,32.53,1.01,1.82,1.23
2022-03-10,19.88,52.94,-33.06,47.79,15.26,1.82,0.95
2022-04-07,33.06,60.83,-27.77,55.71,7.92,1.82,0.81
2022-05-06,38.96,47.1,-8.14,85.09,29.38,1.82,0.27
2022-06-06,34.24,46.91,-12.67,78.31,-6.78,1.82,0.39
2022-07-06,40.6,36.53,4.07,100.0,21.69,4.07,0.0
2022-08-03,40.64,47.32,-6.68,78.54,-21.46,9.25,1.99
2022-08-31,46.69,40.41,6.28,96.0,17.46,9.25,0.37
2022-09-29,44.87,28.67,16.2,100.0,4.0,16.2,0.0
2022-10-27,63.06,34.55,28.51,100.0,0.0,28.51,0.0
2022-11-25,66.37,42.2,24.17,88.76,-11.24,35.46,3.99
2022-12-23,71.24,35.05,36.19,99.78,11.02,36.41,0.08
2023-01-25,60.22,40.92,19.3,82.55,-17.23,37.12,6.48
2023-02-23,50.19,40.73,9.46,72.91,-9.64,37.12,10.06
2023-03-23,30.54,38.36,-7.82,55.99,-16.92,37.12,16.34
2023-04-21,28.06,44.15,-16.09,47.89,-8.1,37.12,19.34
2023-05-19,29.4,46.12,-16.72,47.27,-0.62,37.12,19.57
2023-06-20,36.74,52.92,-16.18,47.8,0.53,37.12,19.38
2023-07-19,47.88,58.17,-10.29,53.57,5.77,37.12,17.23
2023-08-16,45.7,52.44,-6.74,57.05,3.48,37.12,15.94
2023-09-14,42.6,55.81,-13.21,50.71,-6.34,37.12,18.3
2023-10-12,48.58,49.72,-1.14,62.53,11.82,37.12,13.91
2023-11-09,44.8,49.46,-4.66,59.08,-3.45,37.12,15.19
2023-12-08,29.54,58.18,-28.64,35.6,-23.48,37.12,23.91
2024-01-09,56.2,62.32,-6.12,57.65,22.05,37.12,15.72
2024-02-07,64.63,70.33,-5.7,58.06,0.41,37.12,15.57
2024-03-07,70.27,75.62,-5.35,58.41,0.35,37.12,15.44
2024-04-05,79.54,76.34,3.2,66.78,8.37,37.12,12.33
2024-05-03,68.74,73.5,-4.76,58.99,-7.79,37.12,15.22
2024-06-03,68.32,78.61,-10.29,53.57,-5.42,37.12,17.23
2024-07-02,60.29,85.22,-24.93,39.23,-14.34,37.12,22.56
2024-07-31,71.46,85.73,-14.27,49.67,10.44,37.12,18.68
2024-08-28,75.6,87.86,-12.26,51.64,1.97,37.12,17.95
2024-08-30,77.5,89.66,-12.16,51.74,1.69,37.12,17.91
