Date,rate_CL_5D,rate_VOO_20D
2015-01,-3.1272,0.0
2015-02,0.8679,0.0
2015-03,-2.7695,0.0
2015-04,-4.6107,0.0
2015-05,-4.9597,0.0
2015-06,-6.2341,0.0
2015-07,-1.3688,0.0
2015-08,-8.8666,0.0
2015-09,-7.0229,-2.3535
2015-10,-1.7648,5.1504
2015-11,-3.4942,3.2215
2015-12,-2.0558,2.6389
2016-01,-1.068,2.4536
2016-02,-3.6306,3.426
2016-03,3.6967,9.6095
2016-04,4.3677,9.3703
2016-05,2.6421,8.9957
2016-06,5.1339,8.5525
2016-07,7.1838,9.2931
2016-08,6.7187,8.8882
2016-09,4.7783,8.4476
2016-10,1.2201,7.616
2016-11,-7.5175,8.2074
2016-12,-6.9786,8.3838
2017-01,-7.4308,8.4837
2017-02,4.7496,9.0695
2017-03,4.8396,8.7753
2017-04,3.6382,8.7055
2017-05,9.3375,8.7223
2017-06,5.8255,8.5764
2017-07,3.4722,8.7378
2017-08,2.572,8.533
2017-09,4.2264,8.6911
2017-10,1.2384,8.9031
2017-11,3.9222,9.2574
2017-12,8.0678,9.2605
2018-01,6.6773,10.0984
2018-02,-0.2298,9.0972
2018-03,3.6686,7.6819
2018-04,-3.442,7.3245
2018-05,-4.0662,9.2745
2018-06,-1.3525,9.7223
2018-07,2.6699,12.5725
2018-08,1.7062,15.1034
2018-09,2.4589,15.2829
2018-10,-7.8405,10.0489
2018-11,-3.8811,11.0456
2018-12,-8.8195,1.1349
2019-01,-2.1273,8.9917
2019-02,-0.3073,12.2607
2019-03,3.6818,11.0618
2019-04,10.718,11.8408
2019-05,5.885,10.0536
2019-06,4.2842,11.4447
2019-07,-1.0156,11.5842
2019-08,0.3397,10.9959
2019-09,-2.986,11.2541
2019-10,-8.5674,11.5575
2019-11,-9.4295,12.1897
2019-12,-7.9122,12.679
2020-01,-0.5638,12.4658
2020-02,-1.9892,10.7706
2020-03,-2.48,7.6696
2020-04,3.2987,21.4404
2020-05,3.2388,26.8573
2020-06,2.3646,26.4275
2020-07,7.2283,30.2963
2020-08,9.9854,37.922
2020-09,4.9995,31.2145
2020-10,5.2528,25.6416
2020-11,9.419,32.8927
2020-12,8.0923,35.7292
2021-01,5.2983,34.1724
2021-02,-0.039,35.0658
2021-03,4.7587,36.3436
2021-04,5.9105,37.9237
2021-05,8.8895,37.3964
2021-06,6.2636,37.5082
2021-07,3.4542,37.6774
2021-08,0.659,37.9909
2021-09,-2.4418,36.2774
2021-10,-1.0453,37.613
2021-11,-2.554,36.9696
2021-12,7.6641,37.722
2022-01,4.3734,35.8734
2022-02,2.2432,29.5272
2022-03,2.5486,33.5379
2022-04,4.3907,27.1342
2022-05,4.0251,28.8387
2022-06,2.257,14.7684
2022-07,-1.4696,24.9682
2022-08,-2.1713,23.2124
2022-09,-11.9965,20.7282
2022-10,-6.8032,25.3467
2022-11,-2.1379,31.9504
2022-12,-0.4711,26.7104
2023-01,-3.4822,31.3579
2023-02,-4.6076,27.8325
2023-03,-2.1562,31.3614
2023-04,4.5537,33.0995
2023-05,1.8965,33.3991
2023-06,2.5997,41.4615
2023-07,2.1628,45.5209
2023-08,-1.0601,41.4457
2023-09,-4.4014,39.5727
2023-10,1.6777,33.8928
2023-11,6.5978,45.7059
2023-12,5.2796,51.8572
2024-01,11.7406,48.2939
2024-02,14.6885,48.0462
2024-03,19.2238,47.7403
2024-04,19.393,47.1643
2024-05,19.3783,46.9337
2024-06,22.531,46.6609
2024-07,25.6376,46.3037
2024-08,34.6269,46.6003
2024-09,32.1634,46.9549
2024-10,22.4467,45.1407
2024-11,25.9694,53.2076
2024-12,18.3102,48.5181
2025-01,13.3416,48.773
2025-02,19.0622,46.0613
2025-03,18.701,41.2781
2025-04,9.7925,40.7044
2025-05,10.5987,49.1439
2025-06,5.8716,56.3673
2025-07,-3.1509,59.4728
2025-08,-3.8578,62.2627
2025-09,-8.9617,66.4088
