Date,rate_CMCSA_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Volatility_Adjustment,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Mean_Relative_Divergence_240,Percentile_90_Relative_Divergence_240,Difference_Percentile_vs_Mean,Rolling_Divergence_480
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
2015-03-03,7.09,4.16,2.93,100.0,98.48,2.93,,0.0,,,,,,,
2015-04-29,4.16,3.8,0.36,42.87,14.36,5.45,,0.006233517777777779,,,,,,,
2015-06-25,8.59,3.4,5.19,97.15,49.72,5.45,,0.00025155371900826396,,,,,,,
2015-08-21,1.09,-2.77,3.86,51.96,-30.95,10.83,,0.011271795279503106,,,,,,,
2015-10-19,9.56,0.19,9.37,89.94,21.09,10.83,,0.0030596914427860706,,,,,,,
2015-12-15,2.61,0.99,1.62,36.53,-42.66,10.83,,0.023044350497925314,,,,,,,
2016-02-12,0.89,-8.03,8.92,70.39,22.15,14.22,,0.010788577366548043,,,,,,,
2016-04-12,9.53,1.51,8.02,65.36,14.69,14.22,,0.01404884012461059,,,,,,,
2016-06-08,12.0,4.64,7.36,61.68,-5.58,14.22,,0.01691843922437673,,,,,,,
2016-08-04,18.71,6.55,12.16,88.49,-10.45,14.22,,0.005853193790523695,,,,,,,
2016-09-30,17.09,6.55,10.54,79.44,6.81,14.22,,0.011452199727891157,,,,,,,
2016-11-28,20.34,8.53,11.81,86.54,40.9,14.22,1.3889886860008775,0.007869388999999997,,,,,,,
2017-01-26,32.61,12.65,19.96,100.0,7.96,19.96,1.3706691932215367,0.0,,,,,,,
2017-03-24,30.8,14.65,16.15,80.64,-1.95,20.91,1.3407889037030305,0.015823775,,,,,,,
2017-05-22,37.63,17.16,20.47,96.06,13.42,21.46,1.28903913083161,0.0037823014999999976,,,,,,,
2017-07-19,36.5,20.55,15.95,63.57,-16.74,27.2,1.2731789087385799,0.039212948416666664,,,,,,,
2017-09-14,29.9,21.78,8.12,38.21,-46.31,27.2,1.2648515118560522,0.07295583918750001,,,,,,,
