Date,rate_DOGE-USD_5D,rate_VOO_20D
2017-11,13.0494,3.1364
2017-12,363.7176,4.0592
2018-01,142.9123,10.2299
2018-02,86.536,1.9861
2018-03,-16.7815,-1.5176
2018-04,52.9244,-2.4264
2018-05,-0.2288,-0.0464
2018-06,-27.9132,0.3273
2018-07,-12.6527,4.05
2018-08,47.2299,7.459
2018-09,76.0152,7.5723
2018-10,42.8163,-2.7793
2018-11,-9.9196,-1.8036
2018-12,-1.9888,-12.6714
2019-01,-18.9401,-4.3496
2019-02,-15.7743,-0.9228
2019-03,-10.5005,0.9333
2019-04,6.2666,5.3688
2019-05,44.4495,-0.5823
2019-06,26.4029,3.4923
2019-07,10.3803,4.834
2019-08,-6.8062,1.8666
2019-09,-17.7576,3.8253
2019-10,-8.0232,3.9797
2019-11,-18.3382,8.0403
2019-12,-27.8443,11.3491
2020-01,-13.6795,10.3059
2020-02,-8.6429,3.6433
2020-03,-13.5286,-0.5753
2020-04,17.0644,14.5975
2020-05,16.3721,20.4541
2020-06,13.6697,19.7543
2020-07,20.7062,24.3655
2020-08,16.0502,33.7547
2020-09,3.5865,25.6173
2020-10,1.3753,20.0905
2020-11,39.4788,29.0912
2020-12,63.8132,33.9367
2021-01,522.0213,31.0675
2021-02,934.2533,28.0306
2021-03,925.579,29.7757
2021-04,5654.6877,37.0044
2021-05,7276.8692,32.6871
2021-06,4746.0518,35.4283
2021-07,3786.5661,38.5064
2021-08,4987.5209,42.4275
2021-09,4120.676,34.1018
2021-10,5178.9397,42.4562
2021-11,3851.3795,39.919
2021-12,3392.1805,42.3861
2022-01,2752.7603,32.6188
2022-02,2480.6301,23.9299
2022-03,2590.5517,28.2805
2022-04,2439.2979,20.2218
2022-05,2301.1419,21.7812
2022-06,1719.3218,6.2278
2022-07,1585.8008,17.4322
2022-08,1390.2282,11.3341
2022-09,1374.7041,-1.011
2022-10,2892.0052,8.3218
2022-11,2146.4981,15.0897
2022-12,1784.7144,9.643
2023-01,2356.6233,14.6332
2023-02,2092.838,11.1296
2023-03,2106.5213,14.7314
2023-04,2226.2003,16.5147
2023-05,2078.7194,16.7958
2023-06,1893.2364,25.3042
2023-07,2201.4986,29.6108
2023-08,1893.8611,25.0815
2023-09,1816.785,17.7447
2023-10,1923.8908,14.3691
2023-11,2340.897,26.3325
2023-12,2484.5742,32.609
2024-01,2146.4988,34.5561
2024-02,3200.8415,42.0883
2024-03,6021.0579,46.8325
2024-04,4469.6076,40.967
2024-05,4574.3996,45.5528
2024-06,3507.4546,50.87
2024-07,3398.9844,49.5511
2024-08,3121.2182,52.5215
2024-09,3271.5289,50.9203
2024-10,4114.7271,48.7059
2024-11,8263.4598,57.9799
2024-12,7531.5134,53.1738
2025-01,7330.1751,57.1996
2025-02,4414.4698,53.8071
2025-03,3563.0975,47.5675
2025-04,3646.1919,46.2491
2025-05,4041.7816,56.1456
2025-06,3638.5766,64.6057
2025-07,4807.0095,68.15
2025-08,4442.2201,71.3234
2025-09,4712.5372,77.3879
2025-10,3635.407,81.3204
2025-11,3092.3077,77.6718
