Date,rate_ED_5D,rate_VOO_20D
2016-01,1.469,0.7475
2016-02,1.7876,0.5732
2016-03,6.7967,6.1122
2016-04,3.4627,5.1669
2016-05,-0.4419,5.01
2016-06,5.4787,3.7643
2016-07,3.0184,5.7707
2016-08,1.5737,5.2042
2016-09,0.6046,4.314
2016-10,-0.3443,3.1133
2016-11,-6.9807,5.5589
2016-12,-4.4888,6.7166
2017-01,-3.8571,7.5179
2017-02,-2.1353,9.6627
2017-03,-1.7499,9.1439
2017-04,-1.0276,9.2546
2017-05,0.5462,9.5761
2017-06,-0.141,9.4332
2017-07,0.4781,10.0836
2017-08,1.8463,9.7575
2017-09,-0.7762,10.3465
2017-10,1.3589,11.0407
2017-11,2.4872,12.0547
2017-12,1.1771,12.1849
2018-01,-0.1746,14.2981
2018-02,-3.8557,10.7423
2018-03,0.1586,7.7377
2018-04,2.9558,7.1663
2018-05,-1.7529,9.4342
2018-06,-3.857,9.9109
2018-07,-4.0921,13.185
2018-08,-3.7601,16.0378
2018-09,-4.4155,16.1493
2018-10,-6.4725,10.1359
2018-11,-0.0938,10.9525
2018-12,-1.1562,0.9755
2019-01,-0.56,8.6536
2019-02,3.5739,11.8003
2019-03,5.1955,10.9644
2019-04,4.8941,11.9994
2019-05,4.7655,9.7929
2019-06,6.1756,13.2837
2019-07,2.7625,14.5748
2019-08,8.2573,12.0445
2019-09,14.7717,13.9283
2019-10,11.2557,13.8242
2019-11,10.4475,15.2406
2019-12,10.6726,16.3477
2020-01,10.8828,16.0
2020-02,8.9735,8.5928
2020-03,-14.2378,2.2428
2020-04,-11.9824,15.3065
2020-05,-11.4859,20.5007
2020-06,-15.6321,20.6291
2020-07,-10.8592,25.1907
2020-08,-14.8872,33.3535
2020-09,-8.4871,26.8002
2020-10,-6.5576,22.3781
2020-11,-8.909,31.0342
2020-12,-10.35,35.3489
2021-01,-11.7162,32.969
2021-02,-17.0217,31.3421
2021-03,-5.3012,33.5115
2021-04,-3.5425,39.9579
2021-05,-4.3811,36.6678
2021-06,-6.3288,39.0487
2021-07,-5.4396,41.822
2021-08,-2.8935,45.3402
2021-09,-3.5917,37.9657
2021-10,-1.4543,45.0363
2021-11,2.4668,42.8984
2021-12,12.4855,45.8776
2022-01,9.6786,37.2576
2022-02,5.5316,30.0426
2022-03,16.3188,34.0335
2022-04,16.0991,26.1433
2022-05,21.8879,27.4163
2022-06,15.877,14.032
2022-07,20.7079,24.1716
2022-08,19.6274,22.3837
2022-09,16.3958,19.8311
2022-10,19.2986,25.5829
2022-11,33.8494,32.1735
2022-12,29.2381,26.2075
2023-01,24.5216,32.0065
2023-02,16.6174,28.5111
2023-03,21.4573,32.0763
2023-04,24.7485,33.7937
2023-05,20.9933,34.0419
2023-06,16.5283,42.2913
2023-07,22.0487,46.4427
2023-08,14.4419,42.2085
2023-09,10.3806,35.0408
2023-10,10.8379,31.7156
2023-11,14.6292,43.3533
2023-12,13.4512,49.4187
2024-01,9.1208,45.9225
2024-02,4.3665,52.9775
2024-03,6.5661,57.4105
2024-04,10.7061,51.7233
2024-05,12.7428,56.0692
2024-06,11.4038,61.0314
2024-07,19.4414,60.1437
2024-08,23.7837,63.097
2024-09,23.4734,62.2106
2024-10,19.0348,60.0887
2024-11,19.5084,68.8548
2024-12,10.6299,63.7125
2025-01,11.6034,64.5325
2025-02,14.3114,63.2827
2025-03,24.1976,58.1497
2025-04,21.4447,54.0822
2025-05,17.2542,63.2308
2025-06,13.117,71.0368
2025-07,16.542,74.3035
2025-08,12.2971,77.2429
2025-09,13.0158,82.8085
2025-10,9.5861,86.4244
2025-11,11.7734,81.8929
2025-12,10.2921,81.1479
2026-01,15.1351,82.5351
