Date,rate_EL_5D,rate_VOO_20D
2016-01,0.0,-3.28
2016-02,6.6041,-2.376
2016-03,7.2183,4.071
2016-04,6.6752,3.4463
2016-05,0.8978,4.5141
2016-06,-0.3822,4.1644
2016-07,1.5157,7.3333
2016-08,-2.4758,6.6525
2016-09,-2.9504,6.013
2016-10,-4.2086,3.6115
2016-11,-13.7815,7.182
2016-12,-13.8298,8.8567
2017-01,-8.5198,10.0774
2017-02,-5.5433,13.6125
2017-03,-3.0806,12.8284
2017-04,-0.1323,13.2286
2017-05,8.2354,14.0432
2017-06,9.793,13.9758
2017-07,12.6431,15.5728
2017-08,21.3652,15.1519
2017-09,21.1749,16.7674
2017-10,24.5328,18.6971
2017-11,37.6997,21.4906
2017-12,38.658,22.1742
2018-01,47.0494,28.0253
2018-02,49.2144,22.3109
2018-03,59.1773,18.5822
2018-04,55.2313,18.439
2018-05,55.0365,20.6342
2018-06,46.1837,20.8295
2018-07,36.7426,24.4195
2018-08,41.092,27.64
2018-09,46.3094,27.5571
2018-10,36.9595,18.148
2018-11,41.2523,19.8158
2018-12,27.448,8.7803
2019-01,33.6339,17.0692
2019-02,52.9582,20.3898
2019-03,59.7201,22.1512
2019-04,64.0248,26.4471
2019-05,52.5425,17.8766
2019-06,71.7727,25.6026
2019-07,70.9317,26.8029
2019-08,82.2222,24.165
2019-09,83.103,26.0707
2019-10,69.5508,28.2682
2019-11,76.592,32.2632
2019-12,84.6813,35.5066
2020-01,74.5187,34.7146
2020-02,63.0064,23.2206
2020-03,40.1687,7.5857
2020-04,54.2835,21.2139
2020-05,71.4573,26.5664
2020-06,62.3643,28.3643
2020-07,68.6334,35.3077
2020-08,88.1069,44.0007
2020-09,83.4635,37.8818
2020-10,83.0097,33.7409
2020-11,102.9978,47.6567
2020-12,118.1443,52.3191
2021-01,93.9653,49.9619
2021-02,132.5448,53.2489
2021-03,134.1195,59.3139
2021-04,150.0253,66.7128
2021-05,142.2413,66.7978
2021-06,148.8692,69.5264
2021-07,158.5651,72.593
2021-08,161.4924,76.58
2021-09,128.0394,67.3306
2021-10,144.3065,78.0118
2021-11,148.2562,75.6346
2021-12,174.223,82.5203
2022-01,128.7404,71.9304
2022-02,115.9962,65.8784
2022-03,97.0085,71.2418
2022-04,89.6569,55.3862
2022-05,82.1079,55.0693
2022-06,80.9867,41.677
2022-07,92.8478,54.0588
2022-08,78.8574,47.0803
2022-09,50.9209,33.1115
2022-10,39.5143,43.3799
2022-11,63.8344,50.707
2022-12,71.5382,41.5455
2023-01,91.5538,49.9054
2023-02,67.4719,45.6128
2023-03,68.9226,50.431
2023-04,68.2304,52.2262
2023-05,25.3386,52.3734
2023-06,33.4208,61.6123
2023-07,21.9114,66.208
2023-08,8.9782,62.8182
2023-09,-1.9772,54.4786
2023-10,-12.5803,50.5707
2023-11,-12.5429,63.7242
2023-12,0.2561,70.5007
2024-01,-9.5153,72.5028
2024-02,2.3881,80.6678
2024-03,6.1825,85.7322
2024-04,1.007,77.499
2024-05,-14.4777,85.5862
2024-06,-26.1022,91.319
2024-07,-30.5506,92.6342
2024-08,-35.3109,96.3435
2024-09,-29.6899,99.6776
2024-10,-51.1312,96.8805
2024-11,-48.0435,107.4927
2024-12,-45.5475,101.7132
2025-01,-39.4169,106.1747
2025-02,-47.1733,102.6383
2025-03,-51.056,90.4787
2025-04,-55.1044,88.1311
2025-05,-48.9962,99.0692
2025-06,-37.8639,108.4087
2025-07,-27.8676,112.1972
2025-08,-28.831,115.6241
2025-09,-31.3583,122.2463
2025-10,-24.339,126.4867
2025-11,-25.863,125.9202
2025-12,-17.2254,125.0582
2026-01,-6.9815,126.4133
