Date,rate_ETH-USD_5D,rate_VOO_20D
2017-11,16.1397,3.1372
2017-12,80.8207,4.0394
2018-01,128.2106,10.2909
2018-02,56.3591,2.0584
2018-03,-1.337,-1.5227
2018-04,65.0073,-2.3826
2018-05,36.0304,0.0021
2018-06,-0.2188,0.3529
2018-07,-1.5025,4.1178
2018-08,-31.4672,7.5292
2018-09,-44.3754,7.6146
2018-10,-47.4561,0.364
2018-11,-57.0349,1.468
2018-12,-32.8381,-9.9568
2019-01,-44.7143,-1.3408
2019-02,-26.9709,2.1494
2019-03,-22.5473,4.0177
2019-04,-10.5962,8.5516
2019-05,47.8643,-0.1528
2019-06,68.675,7.7935
2019-07,17.9802,9.1223
2019-08,-9.4493,6.4444
2019-09,-3.4099,8.4766
2019-10,-1.1521,10.7748
2019-11,-16.4491,15.0018
2019-12,-29.5943,18.4248
2020-01,-0.7879,17.7038
2020-02,24.3429,5.7671
2020-03,3.2608,-8.2168
2020-04,59.1282,6.5061
2020-05,67.0469,12.1751
2020-06,68.8855,14.1107
2020-07,154.3427,21.5185
2020-08,214.0973,30.8302
2020-09,154.887,24.3681
2020-10,165.8434,19.9791
2020-11,299.7558,34.7735
2020-12,370.3233,39.8105
2021-01,712.2399,37.3023
2021-02,650.0915,40.8219
2021-03,873.2038,47.3493
2021-04,1276.3432,55.3374
2021-05,1076.3057,55.5063
2021-06,982.2628,58.5028
2021-07,1050.4235,61.8706
2021-08,1468.2635,66.2105
2021-09,1245.0508,56.3979
2021-10,1838.8305,67.915
2021-11,1895.2488,65.4323
2021-12,1458.0833,72.8557
2022-01,1017.6096,61.5807
2022-02,1048.5099,52.6044
2022-03,1099.931,57.5437
2022-04,1000.368,46.6382
2022-05,796.4346,49.6921
2022-06,385.7177,29.6233
2022-07,674.9818,42.9486
2022-08,603.1055,39.0904
2022-09,507.3537,32.676
2022-10,610.1539,38.8421
2022-11,515.6475,47.0372
2022-12,448.8869,38.4189
2023-01,608.8534,45.8217
2023-02,574.4066,41.164
2023-03,632.5286,45.1915
2023-04,650.9686,47.1683
2023-05,634.2472,47.289
2023-06,647.8227,57.5873
2023-07,575.175,62.6978
2023-08,483.9285,57.2198
2023-09,485.0265,47.9864
2023-10,507.1518,43.6392
2023-11,558.2846,58.1341
2023-12,579.1534,65.6058
2024-01,539.5266,62.6167
2024-02,800.1621,71.4138
2024-03,895.8132,76.8865
2024-04,674.554,69.7483
2024-05,855.71,75.1653
2024-06,810.8877,81.3029
2024-07,795.6459,79.6009
2024-08,691.8904,84.3259
2024-09,707.5615,81.8199
2024-10,576.365,79.0244
2024-11,762.6723,83.7247
2024-12,741.0625,77.0012
2025-01,590.2399,77.7941
2025-02,390.4119,73.8822
2025-03,371.832,67.4788
2025-04,365.5599,48.6758
