Date,rate_EXPE_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,66.1,0.0
2019-01-31,1.56,1.9,-0.34,65.76,-0.34
2019-03-01,4.27,4.45,-0.18,65.92,0.16
2019-03-29,0.2,4.9,-4.7,61.44,-4.48
2019-04-29,7.33,7.58,-0.25,65.85,4.41
2019-05-28,-1.76,4.33,-6.09,60.06,-5.79
2019-06-25,7.18,7.2,-0.02,66.08,6.02
2019-07-24,12.43,9.37,3.06,69.14,3.06
2019-08-21,7.92,7.24,0.68,66.78,-2.36
2019-09-19,10.26,9.32,0.94,67.03,0.25
2019-10-17,12.86,8.87,3.99,70.06,3.03
2019-11-14,-15.03,11.34,-26.37,39.93,-30.13
2019-12-13,-3.86,13.19,-17.05,49.18,9.25
2020-01-14,-5.39,15.64,-21.03,45.23,-3.95
2020-02-12,-5.02,18.03,-23.05,43.23,-2.0
2020-03-12,-37.7,-3.7,-34.0,32.36,-10.87
2020-04-09,-39.74,3.89,-43.63,22.8,-9.56
2020-05-08,-34.4,7.3,-41.7,24.72,1.92
2020-06-08,-15.12,14.68,-29.8,36.53,11.81
2020-07-07,-22.09,12.36,-34.45,31.91,-4.62
2020-08-04,-26.23,16.26,-42.49,23.94,-7.97
2020-09-01,-11.01,21.66,-32.67,33.68,9.74
2020-09-30,-16.91,17.41,-34.32,32.04,-1.64
2020-10-28,-16.8,15.44,-32.24,34.11,2.07
2020-11-25,7.65,24.05,-16.4,49.83,15.72
2020-12-24,10.6,25.6,-15.0,51.22,1.39
2021-01-26,14.14,29.15,-15.01,51.21,-0.01
2021-02-24,38.54,31.06,7.48,73.52,22.31
2021-03-24,41.16,30.35,10.81,76.83,3.31
2021-04-22,48.58,35.95,12.63,78.63,1.8
2021-05-20,43.5,36.67,6.83,72.88,-5.75
2021-06-18,38.66,36.95,1.71,67.8,-5.08
2021-07-19,29.85,38.99,-9.14,57.03,-10.77
2021-08-16,24.0,44.26,-20.26,46.0,-11.03
2021-09-14,29.04,43.6,-14.56,51.65,5.65
2021-10-12,43.82,41.09,2.73,68.81,17.16
2021-11-09,58.21,49.14,9.07,75.1,6.29
2021-12-08,46.04,49.66,-3.62,62.51,-12.59
2022-01-06,50.08,49.24,0.84,66.93,4.42
2022-02-04,56.11,44.67,11.44,77.45,10.52
2022-03-07,34.04,37.68,-3.64,62.49,-14.96
2022-04-04,65.46,46.58,18.88,84.84,22.35
2022-05-03,28.81,36.93,-8.12,58.04,-26.8
2022-06-01,10.03,35.31,-25.28,41.01,-17.03
2022-06-30,-14.46,27.61,-42.07,24.35,-16.66
2022-07-29,-5.71,35.9,-41.61,24.81,0.46
2022-08-26,-7.77,34.27,-42.04,24.38,-0.43
2022-09-26,-18.47,24.87,-43.34,23.09,-1.29
2022-10-24,-13.66,27.92,-41.58,24.84,1.75
2022-11-21,-12.71,31.72,-44.43,22.01,-2.83
2022-12-20,-21.65,28.33,-49.98,16.5,-5.51
2023-01-20,-1.62,31.98,-33.6,32.76,16.26
2023-02-17,-3.44,34.71,-38.15,28.24,-4.52
2023-03-20,-14.67,31.83,-46.5,19.96,-8.28
2023-04-18,-13.91,36.36,-50.27,16.22,-3.74
2023-05-16,-16.12,35.42,-51.54,14.95,-1.27
2023-06-14,-3.46,41.83,-45.29,21.16,6.21
2023-07-14,4.06,44.74,-40.68,25.73,4.57
2023-08-11,-1.43,43.86,-45.29,21.16,-4.57
2023-09-11,-3.81,44.56,-48.37,18.1,-3.06
2023-10-09,-10.69,40.69,-51.38,15.11,-2.99
2023-11-06,-1.39,41.47,-42.86,23.57,8.46
2023-12-05,19.52,46.52,-27.0,39.31,15.74
2024-01-04,24.53,49.07,-24.54,41.75,2.44
2024-02-02,29.39,55.53,-26.14,40.16,-1.59
2024-03-04,17.28,59.84,-42.56,23.87,-16.29
2024-04-02,14.29,61.42,-47.13,19.33,-4.54
2024-04-30,16.58,57.39,-40.81,25.6,6.27
2024-05-29,-2.41,63.18,-65.59,1.01,-24.59
2024-06-27,8.81,68.42,-59.61,6.95,5.94
2024-07-26,9.75,67.5,-57.75,8.79,1.84
2024-08-09,12.98,64.77,-51.79,14.71,5.08
