Date,rate_FDX_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2019-01-02 00:00:00,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2019-01-31 00:00:00,0.71,4.1,-3.39,91.15,-8.85,0.25,0.02
2019-03-01 00:00:00,2.14,7.96,-5.82,85.25,-5.9,0.25,0.04
2019-03-29 00:00:00,1.6,8.67,-7.07,82.21,-3.04,0.25,0.04
2019-04-29 00:00:00,3.63,12.87,-9.24,76.94,-5.27,0.25,0.06
2019-05-28 00:00:00,-7.36,7.55,-14.91,63.16,-13.78,0.25,0.09
2019-06-25 00:00:00,-8.32,12.07,-20.39,49.84,-13.32,0.25,0.13
2019-07-24 00:00:00,-0.51,15.42,-15.93,60.68,10.84,0.25,0.1
2019-08-21 00:00:00,-7.46,11.9,-19.36,52.35,-8.33,0.25,0.12
2019-09-19 00:00:00,-9.7,15.09,-24.79,39.15,-13.2,0.25,0.15
2019-10-17 00:00:00,-10.38,14.27,-24.65,39.49,0.34,0.25,0.15
2019-11-14 00:00:00,-8.05,18.05,-26.1,35.97,-3.52,0.25,0.16
2019-12-13 00:00:00,-4.54,20.82,-25.36,37.76,1.79,0.25,0.16
2020-01-14 00:00:00,-5.92,24.49,-30.41,25.49,-12.27,0.25,0.19
2020-02-12 00:00:00,-7.33,28.07,-35.4,13.37,-12.12,0.25,0.22
2020-03-12 00:00:00,-33.83,-6.46,-27.37,32.88,19.51,0.25,0.17
2020-04-09 00:00:00,-20.68,5.62,-26.3,35.48,2.6,0.25,0.16
2020-05-08 00:00:00,-21.64,10.95,-32.59,20.19,-15.29,0.25,0.2
2020-06-08 00:00:00,-6.59,22.49,-29.08,28.72,8.53,0.25,0.18
2020-07-07 00:00:00,-1.83,18.67,-20.5,49.57,20.85,0.25,0.13
2020-08-04 00:00:00,4.48,24.62,-20.14,50.45,0.88,0.25,0.12
2020-09-01 00:00:00,32.97,32.85,0.12,99.68,49.23,0.25,0.0
2020-09-30 00:00:00,46.52,26.15,20.37,96.85,-2.83,22.36,0.7
2020-10-28 00:00:00,50.93,22.83,28.1,89.63,-7.22,36.08,3.74
2020-11-25 00:00:00,65.65,36.12,29.53,91.49,1.86,36.08,3.07
2020-12-24 00:00:00,55.52,38.25,17.27,75.57,-15.92,36.08,8.81
2021-01-26 00:00:00,45.56,43.47,2.09,55.85,-19.72,36.08,15.93
2021-02-24 00:00:00,50.96,46.11,4.85,59.43,3.58,36.08,14.64
2021-03-24 00:00:00,55.24,44.65,10.59,66.89,7.46,36.08,11.95
2021-04-22 00:00:00,59.53,52.96,6.57,61.67,-5.22,36.08,13.83
2021-05-20 00:00:00,76.44,53.64,22.8,82.75,21.08,36.08,6.22
2021-06-18 00:00:00,64.1,53.64,10.46,66.72,-16.03,36.08,12.01
2021-07-19 00:00:00,69.04,56.34,12.7,69.63,2.91,36.08,10.96
2021-08-16 00:00:00,62.2,63.94,-1.74,50.87,-18.76,36.08,17.73
2021-09-14 00:00:00,48.44,62.45,-14.01,34.93,-15.94,36.08,23.48
2021-10-12 00:00:00,30.82,58.18,-27.36,17.59,-17.34,36.08,29.73
2021-11-09 00:00:00,45.46,69.91,-24.45,21.37,3.78,36.08,28.37
2021-12-08 00:00:00,43.0,70.2,-27.2,17.8,-3.57,36.08,29.66
2022-01-06 00:00:00,52.59,69.04,-16.45,31.76,13.96,36.08,24.62
2022-02-04 00:00:00,42.67,61.69,-19.02,28.42,-3.34,36.08,25.83
2022-03-07 00:00:00,20.3,50.78,-30.48,13.54,-14.88,36.08,31.19
2022-04-04 00:00:00,29.09,63.68,-34.59,8.2,-5.34,36.08,33.12
2022-05-03 00:00:00,19.44,48.9,-29.46,14.86,6.66,36.08,30.72
2022-06-01 00:00:00,29.44,46.15,-16.71,31.42,16.56,36.08,24.74
2022-06-30 00:00:00,33.62,34.67,-1.05,51.77,20.35,36.08,17.4
2022-07-29 00:00:00,36.94,46.76,-9.82,40.37,-11.4,36.08,21.51
2022-08-26 00:00:00,29.18,44.02,-14.84,33.85,-6.52,36.08,23.87
2022-09-26 00:00:00,-9.96,29.81,-39.77,1.47,-32.38,36.08,35.55
2022-10-24 00:00:00,-3.79,34.11,-37.9,3.9,2.43,36.08,34.67
2022-11-21 00:00:00,6.02,39.48,-33.46,9.66,5.76,36.08,32.59
2022-12-20 00:00:00,1.19,34.2,-33.01,10.25,0.59,36.08,32.38
2023-01-20 00:00:00,12.91,39.33,-26.42,18.81,8.56,36.08,29.29
2023-02-17 00:00:00,25.09,43.04,-17.95,29.81,11.0,36.08,25.32
2023-03-20 00:00:00,28.18,38.55,-10.37,39.66,9.85,36.08,21.77
2023-04-18 00:00:00,34.92,44.89,-9.97,40.18,0.52,36.08,21.58
2023-05-16 00:00:00,30.79,43.23,-12.44,36.97,-3.21,36.08,22.74
2023-06-14 00:00:00,35.16,52.24,-17.08,30.94,-6.03,36.08,24.92
2023-07-14 00:00:00,49.61,56.11,-6.5,44.69,13.75,36.08,19.96
2023-08-11 00:00:00,53.93,54.47,-0.54,52.43,7.74,36.08,17.16
