Date,rate_GOOGL_5D,rate_VOO_20D
2016-01,1.8581,0.7475
2016-02,-7.5481,0.3631
2016-03,-0.6823,6.1635
2016-04,-7.8997,4.8532
2016-05,-1.8281,5.5092
2016-06,-7.5472,4.9516
2016-07,4.8211,8.0529
2016-08,4.1107,7.2728
2016-09,4.8101,6.525
2016-10,4.9709,4.0384
2016-11,-0.4947,7.3996
2016-12,1.606,9.0221
2017-01,4.7106,10.0556
2017-02,7.3473,13.4646
2017-03,7.139,12.6934
2017-04,16.282,13.0265
2017-05,22.7354,13.8264
2017-06,14.7855,13.7461
2017-07,15.5362,15.2839
2017-08,15.9706,14.8547
2017-09,17.4682,16.4705
2017-10,23.8187,18.391
2017-11,23.1393,21.1572
2017-12,24.1339,21.8357
2018-01,38.0904,27.5767
2018-02,24.4585,19.4887
2018-03,16.9701,15.9328
2018-04,13.8552,14.9578
2018-05,22.3225,17.1859
2018-06,24.7054,17.444
2018-07,34.5335,20.9505
2018-08,33.9121,24.1299
2018-09,30.3356,24.1209
2018-10,13.5025,14.1084
2018-11,15.751,15.0224
2018-12,7.9663,4.4886
2019-01,16.047,12.5608
2019-02,15.7,15.8612
2019-03,20.3959,17.612
2019-04,22.0237,21.8639
2019-05,11.9472,16.0646
2019-06,9.9034,19.9808
2019-07,23.3162,21.2252
2019-08,17.4716,18.3328
2019-09,18.0833,20.1882
2019-10,18.4077,20.3259
2019-11,22.2345,24.2116
2019-12,25.0087,27.349
2020-01,32.6193,26.2815
2020-02,23.0761,19.8213
2020-03,18.7135,15.7478
2020-04,37.4672,30.3559
2020-05,45.605,35.9447
2020-06,41.6776,35.2146
2020-07,40.8839,39.5903
2020-08,48.9051,48.5304
2020-09,36.7988,40.6583
2020-10,49.5719,35.284
2020-11,59.1291,43.8758
2020-12,58.1123,48.4488
2021-01,60.5467,45.6177
2021-02,78.146,42.6536
2021-03,77.9719,44.2697
2021-04,95.4428,51.1309
2021-05,87.4997,46.9645
2021-06,92.8765,49.5312
2021-07,111.2666,52.4159
2021-08,116.3417,56.1018
2021-09,105.0663,48.0813
2021-10,117.3801,56.0144
2021-11,109.7799,53.5374
2021-12,99.4675,55.8343
2022-01,82.7119,46.4571
2022-02,70.5876,38.1483
2022-03,75.0003,42.2675
2022-04,58.9589,34.5494
2022-05,56.1417,36.0289
2022-06,40.7219,21.1749
2022-07,49.6167,31.8752
2022-08,38.6436,26.0562
2022-09,22.2759,14.2993
2022-10,20.3997,23.2183
2022-11,20.9534,29.7022
2022-12,9.3729,24.5108
2023-01,21.1171,29.2932
2023-02,14.0345,25.9536
2023-03,26.1459,29.4041
2023-04,27.0889,31.1074
2023-05,38.3526,31.3785
2023-06,36.9574,39.5074
2023-07,46.2228,43.6112
2023-08,42.8179,39.288
2023-09,36.5188,32.2789
2023-10,24.5595,29.0551
2023-11,26.903,40.4823
2023-12,33.4265,46.4584
2024-01,33.4809,48.2956
2024-02,33.7975,55.4714
2024-03,43.5485,59.9707
2024-04,44.0561,54.3559
2024-05,52.0619,58.7198
2024-06,60.1239,63.7565
2024-07,53.4691,62.4775
2024-08,48.2357,65.2821
2024-09,46.327,63.7333
2024-10,50.5084,61.5953
2024-11,46.8273,70.4058
2024-12,57.9782,65.7986
2025-01,69.628,69.6123
2025-02,41.0744,66.3646
2025-03,27.9618,60.3871
2025-04,31.1324,59.1236
2025-05,41.493,68.5307
2025-06,38.1513,76.5585
2025-07,48.2609,79.9077
2025-08,63.9795,82.9229
2025-09,86.7459,88.6543
2025-10,107.8978,92.3724
2025-11,135.6963,92.0168
2025-12,129.4804,91.3981
2026-01,145.0062,92.8862
