Date,rate_INTC_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,84.09,0.0
2019-01-31,-1.25,1.9,-3.15,81.99,-2.1
2019-03-01,9.21,4.45,4.76,87.25,5.26
2019-03-29,9.94,4.9,5.04,87.44,0.19
2019-04-29,5.23,7.58,-2.35,82.52,-4.92
2019-05-28,-8.68,4.33,-13.01,75.44,-7.08
2019-06-25,-2.28,7.2,-9.48,77.78,2.34
2019-07-24,9.55,9.37,0.18,84.21,6.43
2019-08-21,-1.7,7.24,-8.94,78.14,-6.07
2019-09-19,6.92,9.32,-2.4,82.49,4.35
2019-10-17,7.49,8.87,-1.38,83.17,0.68
2019-11-14,19.09,11.34,7.75,89.24,6.07
2019-12-13,19.05,13.19,5.86,87.98,-1.26
2020-01-14,22.25,15.64,6.61,88.48,0.5
2020-02-12,37.91,18.03,19.88,97.31,8.83
2020-03-12,-4.84,-3.7,-1.14,83.33,-13.98
2020-04-09,17.78,3.89,13.89,93.32,9.99
2020-05-08,22.72,7.3,15.42,94.34,1.02
2020-06-08,30.52,14.68,15.84,94.62,0.28
2020-07-07,20.06,12.36,7.7,89.21,-5.41
2020-08-04,2.16,16.26,-14.1,74.71,-14.5
2020-09-01,5.4,21.66,-16.26,73.27,-1.44
2020-09-30,7.33,17.41,-10.08,77.38,4.11
2020-10-28,-7.35,15.44,-22.79,68.93,-8.45
2020-11-25,-1.89,24.05,-25.94,66.84,-2.09
2020-12-24,-1.85,25.6,-27.45,65.83,-1.01
2021-01-26,14.02,29.15,-15.13,74.03,8.2
2021-02-24,29.58,31.06,-1.48,83.1,9.07
2021-03-24,27.34,30.35,-3.01,82.09,-1.01
2021-04-22,28.37,35.95,-7.58,79.05,-3.04
2021-05-20,15.46,36.67,-21.21,69.98,-9.07
2021-06-18,14.92,36.95,-22.03,69.44,-0.54
2021-07-19,12.91,38.99,-26.08,66.74,-2.7
2021-08-16,10.63,44.26,-33.63,61.72,-5.02
2021-09-14,12.67,43.6,-30.93,63.52,1.8
2021-10-12,8.09,41.09,-33.0,62.14,-1.38
2021-11-09,6.2,49.14,-42.94,55.53,-6.61
2021-12-08,7.27,49.66,-42.39,55.9,0.37
2022-01-06,11.68,49.24,-37.56,59.11,3.21
2022-02-04,-0.02,44.67,-44.69,54.37,-4.74
2022-03-07,-0.66,37.68,-38.34,58.59,4.22
2022-04-04,2.3,46.58,-44.28,54.64,-3.95
2022-05-03,-5.77,36.93,-42.7,55.69,1.05
2022-06-01,-7.63,35.31,-42.94,55.53,-0.16
2022-06-30,-20.69,27.61,-48.3,51.97,-3.56
2022-07-29,-22.84,35.9,-58.74,45.03,-6.94
2022-08-26,-28.59,34.27,-62.86,42.29,-2.74
2022-09-26,-41.05,24.87,-65.92,40.25,-2.04
2022-10-24,-40.64,27.92,-68.56,38.5,-1.75
2022-11-21,-37.21,31.72,-68.93,38.25,-0.25
2022-12-20,-42.08,28.33,-70.41,37.27,-0.98
2023-01-20,-36.66,31.98,-68.64,38.44,1.17
2023-02-17,-39.8,34.71,-74.51,34.54,-3.9
2023-03-20,-36.78,31.83,-68.61,38.46,3.92
2023-04-18,-31.73,36.36,-68.09,38.81,0.35
2023-05-16,-37.16,35.42,-72.58,35.82,-2.99
2023-06-14,-23.93,41.83,-65.76,40.36,4.54
2023-07-14,-28.99,44.74,-73.73,35.06,-5.3
2023-08-11,-25.37,43.86,-69.23,38.05,2.99
2023-09-11,-17.67,44.56,-62.23,42.71,4.66
2023-10-09,-22.93,40.69,-63.62,41.78,-0.93
2023-11-06,-19.0,41.47,-60.47,43.88,2.1
2023-12-05,-10.74,46.52,-57.26,46.01,2.13
2024-01-04,-0.45,49.07,-49.52,51.16,5.15
2024-02-02,-9.33,55.53,-64.86,40.96,-10.2
2024-03-04,-3.07,59.84,-62.91,42.25,1.29
2024-04-02,-6.54,61.42,-67.96,38.89,-3.36
2024-04-30,-34.56,57.39,-91.95,22.94,-15.95
2024-05-29,-35.27,63.18,-98.45,18.62,-4.32
2024-06-27,-34.31,68.42,-102.73,15.77,-2.85
2024-07-26,-32.73,67.5,-100.23,17.44,1.67
2024-08-22,-56.21,70.24,-126.45,0.0,-18.05
