Date,rate_IONQ_5D,rate_VOO_20D
2021-01-04,-0.25,0.0
2021-03-03,5.67,5.29
2021-04-29,-5.06,24.65
2021-06-25,-7.32,27.4
2021-08-23,-11.01,36.37
2021-10-19,-2.12,37.46
2021-12-15,59.01,45.91
2022-02-11,49.4,30.55
2022-04-11,-4.44,29.75
2022-06-08,-41.53,14.65
2022-08-05,-38.35,15.51
2022-10-03,-45.34,-7.24
2022-11-29,-47.36,6.19
2023-01-27,-49.0,11.2
2023-03-27,-43.28,6.45
2023-05-23,4.15,14.04
2023-07-21,33.46,32.12
2023-09-18,46.84,27.66
2023-11-13,8.91,24.95
2024-01-11,8.71,41.98
2024-03-11,-4.93,57.33
2024-05-07,-16.76,59.54
2024-07-05,-24.75,76.68
2024-08-30,-24.55,80.15
2024-10-28,30.11,87.56
2024-11-12,61.91,94.32
