Date,rate_ISRG_5D,rate_VOO_20D
2015-01,0.0,-3.5177
2015-02,0.0,1.8034
2015-03,0.0,-0.4386
2015-04,0.0,0.3124
2015-05,0.0,1.1978
2015-06,0.0,-1.0769
2015-07,0.0,0.8299
2015-08,0.0,-5.1327
2015-09,0.0,-6.8019
2015-10,0.0,1.4676
2015-11,0.0,1.6362
2015-12,0.0,-2.0181
2016-01,0.0,-6.207
2016-02,0.0,-6.0172
2016-03,0.0,0.5909
2016-04,0.0,0.7779
2016-05,0.0,2.385
2016-06,0.0,2.5472
2016-07,0.0,6.1314
2016-08,0.0,5.9606
2016-09,0.0,5.6856
2016-10,0.0,3.5422
2016-11,0.0,7.191
2016-12,0.0,9.1197
2017-01,0.0,10.5734
2017-02,0.0,14.3713
2017-03,0.0,13.9618
2017-04,0.0,14.6092
2017-05,0.0,15.6969
2017-06,0.0,15.8718
2017-07,0.0,17.6968
2017-08,0.0,17.4806
2017-09,0.0,19.3207
2017-10,0.0,21.5
2017-11,1.9937,24.5613
2017-12,-6.6917,25.4765
2018-01,10.3471,31.6693
2018-02,5.0717,23.5121
2018-03,1.5172,19.9608
2018-04,8.0777,19.1283
2018-05,12.4529,21.5215
2018-06,16.6458,21.8868
2018-07,23.3634,25.6292
2018-08,35.2078,29.0401
2018-09,37.8055,29.1388
2018-10,27.9349,21.9599
2018-11,23.611,23.0749
2018-12,11.1009,11.7886
2019-01,20.826,20.319
2019-02,25.8553,23.797
2019-03,30.556,25.6541
2019-04,16.3009,30.1743
2019-05,5.6664,21.5217
2019-06,19.0519,29.4331
2019-07,17.5453,30.7622
2019-08,15.4238,28.1093
2019-09,21.6589,30.1391
2019-10,24.2366,32.4242
2019-11,32.7463,36.6374
2019-12,31.8264,40.0509
2020-01,24.3168,39.3266
2020-02,18.122,27.427
2020-03,16.0257,9.0272
2020-04,20.7661,23.4789
2020-05,36.755,28.9861
2020-06,30.3357,30.8845
2020-07,49.9988,38.0281
2020-08,59.1303,47.038
2020-09,53.6531,40.8786
2020-10,45.9739,36.721
2020-11,49.0137,46.5833
2020-12,67.064,51.3733
2021-01,52.7752,48.6611
2021-02,45.917,47.5026
2021-03,45.505,53.5248
2021-04,69.5589,60.8732
2021-05,64.2083,57.1735
2021-06,78.3704,59.9749
2021-07,91.1263,63.1028
2021-08,101.8697,67.0966
2021-09,89.2884,58.5355
2021-10,105.0837,68.8974
2021-11,83.0508,66.8215
2021-12,101.6443,68.7995
2022-01,58.6164,59.2087
2022-02,61.31,51.592
2022-03,60.2967,56.0141
2022-04,19.9628,46.8756
2022-05,21.0606,49.6983
2022-06,6.5794,32.3555
2022-07,22.0934,44.1085
2022-08,8.9229,40.8953
2022-09,0.4267,35.6007
2022-10,25.4359,40.8885
2022-11,35.3479,48.1758
2022-12,34.1251,41.6071
2023-01,30.4572,48.1304
2023-02,19.4528,44.1745
2023-03,30.3455,47.6365
2023-04,53.3292,49.4957
2023-05,53.798,49.7167
2023-06,63.3928,58.9131
2023-07,53.7476,63.5217
2023-08,53.6521,58.7923
2023-09,43.1679,50.7282
2023-10,31.3432,46.9601
2023-11,48.5923,59.9071
2023-12,60.7669,66.6479
2024-01,66.2324,64.3668
2024-02,67.4588,72.2876
2024-03,68.4766,77.2485
2024-04,58.7602,70.9998
2024-05,68.801,75.925
2024-06,86.0314,81.4895
2024-07,76.5966,80.0272
2024-08,89.6375,84.3283
2024-09,84.1882,83.3967
2024-10,80.3096,80.9709
2024-11,93.2106,90.8436
2024-12,88.5785,84.6806
2025-01,99.0793,85.4813
2025-02,90.5586,81.9164
2025-03,75.6306,76.0329
2025-04,69.2613,75.2606
2025-05,77.1032,85.6064
2025-06,76.8044,94.4397
2025-07,62.4909,98.1206
2025-08,62.2047,94.1457
