Date,rate_JOBY_5D,rate_VOO_20D
2020-11,0.0,3.0387
2020-12,4.545,7.7011
2021-01,8.9845,5.3439
2021-02,1.1278,8.6308
2021-03,-13.0769,14.6959
2021-04,-13.2048,22.0948
2021-05,-11.0138,22.1798
2021-06,-9.427,24.9084
2021-07,-8.4566,27.9749
2021-08,17.6997,31.962
2021-09,-8.0003,22.7126
2021-10,-20.1375,33.3937
2021-11,-26.2436,31.0166
2021-12,-29.8506,37.9023
2022-01,-59.0914,27.3124
2022-02,-44.7047,21.2604
2022-03,-25.4096,26.6237
2022-04,-39.7596,10.7682
2022-05,-29.9803,10.4513
2022-06,-40.5085,-2.9411
2022-07,-30.7156,9.4407
2022-08,-32.3474,2.4623
2022-09,-43.6218,-11.5065
2022-10,-35.1999,-1.2381
2022-11,-43.3569,6.089
2022-12,-52.5694,-3.0726
2023-01,-34.9757,5.2874
2023-02,-29.5644,0.9948
2023-03,-33.8554,5.813
2023-04,-32.7468,7.6082
2023-05,-11.4296,7.7553
2023-06,62.2077,16.9943
2023-07,39.8486,21.59
2023-08,15.479,18.2002
2023-09,-0.374,9.8606
2023-10,-18.5053,5.9527
2023-11,-7.3371,19.1062
2023-12,3.3151,25.8827
2024-01,-15.0916,27.8848
2024-02,-12.3276,36.0498
2024-03,-16.0446,41.1142
2024-04,-20.4554,32.881
2024-05,-22.9158,40.9682
2024-06,-18.742,46.701
2024-07,-4.1249,48.0162
2024-08,-19.586,51.7254
2024-09,-18.6603,55.0596
2024-10,-21.9235,52.2625
2024-11,46.3329,62.8746
2024-12,32.2631,57.0952
2025-01,33.7351,61.5567
2025-02,12.8188,58.0203
2025-03,-3.0554,45.8606
2025-04,1.5321,43.5131
2025-05,25.9781,54.4512
2025-06,69.4222,63.7907
2025-07,165.808,67.5791
2025-08,123.2846,71.0061
2025-09,152.4014,77.6283
2025-10,168.419,81.8687
2025-11,121.1573,81.3021
2025-12,100.6177,80.4402
2026-01,109.8824,81.7953
