Date,rate_MKC_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2019-01-07 00:00:00,-0.25,-0.25,0.0,100.0,0.0,0.0,0.0
2019-02-05 00:00:00,-7.26,5.22,-12.48,86.03,-13.97,0.41,0.06
2019-03-06 00:00:00,1.38,6.73,-5.35,93.76,7.73,0.41,0.03
2019-04-03 00:00:00,12.21,10.06,2.15,98.87,5.11,3.22,0.04
2019-05-02 00:00:00,13.28,11.78,1.5,97.43,-1.44,3.96,0.1
2019-05-31 00:00:00,15.65,5.68,9.97,100.0,2.57,9.97,0.0
2019-06-28 00:00:00,14.74,12.39,2.35,91.63,-8.37,10.96,0.92
2019-07-29 00:00:00,20.09,15.47,4.62,93.84,2.21,10.96,0.68
2019-08-26 00:00:00,19.28,10.2,9.08,93.74,-0.1,15.82,0.99
2019-09-24 00:00:00,17.79,13.61,4.18,89.19,-4.55,15.82,1.71
2019-10-22 00:00:00,18.08,14.19,3.89,88.92,-0.27,15.82,1.75
2019-11-19 00:00:00,21.92,18.94,2.98,88.08,-0.84,15.82,1.89
2019-12-18 00:00:00,22.8,21.71,1.09,86.32,-1.76,15.82,2.16
2020-01-17 00:00:00,23.47,26.23,-2.76,82.75,-3.57,15.82,2.73
2020-02-18 00:00:00,20.54,27.81,-7.27,78.56,-4.19,15.82,3.39
2020-03-17 00:00:00,1.32,-3.82,5.14,90.08,11.52,15.82,1.57
2020-04-15 00:00:00,11.39,5.44,5.95,90.84,0.76,15.82,1.45
2020-05-13 00:00:00,22.9,6.82,16.08,100.0,9.16,16.08,0.0
2020-06-11 00:00:00,22.18,13.92,8.26,88.56,-11.44,21.2,2.43
2020-07-10 00:00:00,35.04,20.13,14.91,94.44,5.88,21.2,1.18
2020-08-07 00:00:00,46.01,26.3,19.71,98.68,4.24,21.2,0.28
2020-09-04 00:00:00,45.83,29.08,16.75,96.07,-2.61,21.2,0.83
2020-10-05 00:00:00,40.61,27.74,12.87,92.63,-3.44,21.2,1.56
2020-11-02 00:00:00,33.2,23.96,9.24,89.42,-3.21,21.2,2.24
2020-12-01 00:00:00,34.42,37.08,-2.66,78.9,-10.52,21.2,4.47
2020-12-30 00:00:00,35.75,39.34,-3.59,78.08,-0.82,21.2,4.65
2021-01-29 00:00:00,28.28,38.35,-10.07,72.35,-5.73,21.2,5.86
2021-03-01 00:00:00,20.76,44.93,-24.17,59.88,-12.47,21.2,8.51
2021-03-29 00:00:00,28.72,47.22,-18.5,64.9,5.02,21.2,7.44
2021-04-27 00:00:00,28.13,54.87,-26.74,57.61,-7.29,21.2,8.99
2021-05-25 00:00:00,28.51,54.75,-26.24,58.05,0.44,21.2,8.89
2021-06-23 00:00:00,22.35,56.44,-34.09,51.11,-6.94,21.2,10.36
2021-07-22 00:00:00,20.2,60.21,-40.01,45.87,-5.24,21.2,11.48
2021-08-19 00:00:00,23.94,61.35,-37.41,48.17,2.3,21.2,10.99
2021-09-17 00:00:00,22.05,61.92,-39.87,46.0,-2.17,21.2,11.45
2021-10-15 00:00:00,12.55,62.6,-50.05,37.0,-9.0,21.2,13.36
2021-11-12 00:00:00,15.45,69.85,-54.4,33.15,-3.85,21.2,14.17
2021-12-13 00:00:00,31.21,69.14,-37.93,47.71,14.56,21.2,11.09
2022-01-11 00:00:00,33.98,69.7,-35.72,49.67,1.96,21.2,10.67
2022-02-09 00:00:00,43.63,64.84,-21.21,62.5,12.83,21.2,7.95
2022-03-10 00:00:00,37.24,52.94,-15.7,67.37,4.87,21.2,6.92
2022-04-07 00:00:00,44.0,60.83,-16.83,66.37,-1.0,21.2,7.13
2022-05-06 00:00:00,36.12,47.1,-10.98,71.54,5.17,21.2,6.03
2022-06-06 00:00:00,25.04,46.91,-21.87,61.92,-9.62,21.2,8.07
2022-07-06 00:00:00,16.16,36.53,-20.37,63.24,1.32,21.2,7.79
2022-08-03 00:00:00,22.93,47.32,-24.39,59.69,-3.55,21.2,8.55
2022-08-31 00:00:00,16.9,40.41,-23.51,60.47,0.78,21.2,8.38
2022-09-29 00:00:00,2.12,28.67,-26.55,57.78,-2.69,21.2,8.95
2022-10-27 00:00:00,7.81,34.55,-26.74,57.61,-0.17,21.2,8.99
2022-11-25 00:00:00,17.86,42.2,-24.34,59.73,2.12,21.2,8.54
2022-12-23 00:00:00,16.78,35.05,-18.27,65.1,5.37,21.2,7.4
2023-01-25 00:00:00,8.02,40.92,-32.9,52.16,-12.94,21.2,10.14
2023-02-23 00:00:00,4.42,40.73,-36.31,49.15,-3.01,21.2,10.78
2023-03-23 00:00:00,-1.4,38.36,-39.76,46.1,-3.05,21.2,11.43
2023-04-21 00:00:00,18.52,44.15,-25.63,58.59,12.49,21.2,8.78
2023-05-19 00:00:00,22.85,46.12,-23.27,60.68,2.09,21.2,8.34
2023-06-20 00:00:00,28.25,52.92,-24.67,59.44,-1.24,21.2,8.6
2023-07-19 00:00:00,18.62,58.17,-39.55,46.28,-13.16,21.2,11.39
2023-08-16 00:00:00,18.13,52.44,-34.31,50.92,4.64,21.2,10.4
2023-09-14 00:00:00,10.6,55.81,-45.21,41.28,-9.64,21.2,12.45
2023-10-12 00:00:00,-18.02,49.72,-67.74,21.35,-19.93,21.2,16.67
2023-11-09 00:00:00,-11.09,49.46,-60.55,27.71,6.36,21.2,15.33
2023-12-08 00:00:00,-7.54,58.18,-65.72,23.14,-4.57,21.2,16.29
2024-01-09 00:00:00,-6.77,62.32,-69.09,20.16,-2.98,21.2,16.93
2024-02-07 00:00:00,-9.51,70.33,-79.84,10.66,-9.5,21.2,18.94
2024-03-07 00:00:00,-5.65,75.62,-81.27,9.39,-1.27,21.2,19.21
