Date,rate_NKE_5D,rate_VOO_20D
2015-01,0.0,-3.5177
2015-02,0.0,1.8034
2015-03,0.0,-0.4386
2015-04,0.0,0.3124
2015-05,0.0,1.1978
2015-06,0.0,-1.0769
2015-07,0.0,0.8299
2015-08,0.0,-5.1327
2015-09,0.0,-6.8019
2015-10,0.0,1.4676
2015-11,0.0,1.6362
2015-12,0.0,-2.0181
2016-01,0.0,-6.207
2016-02,0.0,-6.0172
2016-03,0.0,0.5909
2016-04,0.0,0.7779
2016-05,0.0,2.385
2016-06,0.0,2.5472
2016-07,0.0,6.1314
2016-08,0.0,5.9606
2016-09,0.0,5.6856
2016-10,0.0,3.5422
2016-11,0.0,7.191
2016-12,0.0,9.1197
2017-01,0.0,10.5734
2017-02,0.0,14.3713
2017-03,0.0,13.9618
2017-04,0.0,14.6092
2017-05,0.0,15.6969
2017-06,0.0,15.8718
2017-07,0.0,17.6968
2017-08,0.0,17.4806
2017-09,0.0,19.3207
2017-10,0.0,21.5
2017-11,7.1055,24.5613
2017-12,11.0464,25.4765
2018-01,20.6031,31.6693
2018-02,11.8272,23.5121
2018-03,9.7473,19.9608
2018-04,12.694,19.1283
2018-05,17.9921,21.5215
2018-06,30.7679,21.8868
2018-07,25.5763,25.6292
2018-08,33.8618,29.0401
2018-09,37.1539,29.1388
2018-10,25.0127,21.9599
2018-11,20.6955,23.0749
2018-12,14.1996,11.7886
2019-01,25.8008,20.319
2019-02,31.1823,23.797
2019-03,28.6326,25.6541
2019-04,33.4746,30.1743
2019-05,17.2466,21.5217
2019-06,26.9518,29.4331
2019-07,29.5612,30.7622
2019-08,27.1246,28.1093
2019-09,40.7584,30.1391
2019-10,33.5716,32.4242
2019-11,39.1516,36.6374
2019-12,50.0771,40.0509
2020-01,41.8692,39.3266
2020-02,31.3107,27.427
2020-03,21.2098,9.0272
2020-04,27.4366,23.4789
2020-05,43.913,28.9861
2020-06,39.5461,30.8845
2020-07,37.6161,38.0281
2020-08,57.3897,47.038
2020-09,75.615,40.8786
2020-10,66.9403,36.721
2020-11,80.416,46.5833
2020-12,88.6772,51.3733
2021-01,76.9901,48.6611
2021-02,77.6254,47.5026
2021-03,68.8766,53.5248
2021-04,67.5959,60.8732
2021-05,71.888,57.1735
2021-06,93.5611,59.9749
2021-07,108.5639,63.1028
2021-08,104.0957,67.0966
2021-09,79.0098,58.5355
2021-10,104.9281,68.8974
2021-11,106.0524,66.8215
2021-12,100.8847,68.7995
2022-01,77.4431,59.2087
2022-02,62.8145,51.592
2022-03,59.1715,56.0141
2022-04,39.1314,46.8756
2022-05,41.016,49.6983
2022-06,24.8118,32.3555
2022-07,34.5556,44.1085
2022-08,26.8905,40.8953
2022-09,10.9926,35.6007
2022-10,18.3524,40.8885
2022-11,39.8223,48.1758
2022-12,42.2686,41.6071
2023-01,53.4918,48.1304
2023-02,48.9417,44.1745
2023-03,51.3763,47.6365
2023-04,55.8857,49.4957
2023-05,39.284,49.7167
2023-06,44.8385,58.9131
2023-07,44.4397,63.5217
2023-08,34.9032,58.7923
2023-09,31.2693,50.7282
2023-10,40.8544,46.9601
2023-11,50.6919,59.9071
2023-12,47.4759,66.6479
2024-01,41.6602,64.3668
2024-02,44.6176,72.2876
2024-03,30.2113,77.2485
2024-04,28.6213,70.9998
2024-05,32.2623,75.925
2024-06,5.0791,81.4895
2024-07,4.3277,80.0272
2024-08,16.0766,84.3283
2024-09,17.657,83.3967
2024-10,6.9573,80.9709
2024-11,9.0424,90.8436
2024-12,5.1959,84.6806
2025-01,6.8756,85.4813
2025-02,0.8483,81.9164
2025-03,-8.4631,76.0329
2025-04,-11.8325,75.2606
2025-05,-5.1983,85.6064
2025-06,-1.7055,94.4397
2025-07,-3.3019,98.1206
2025-08,-3.3055,94.1457
