Date,rate_NOC_5D,rate_VOO_20D
2016-01,0.0,0.7475
2016-02,1.7656,0.5732
2016-03,0.378,6.1122
2016-04,3.3247,5.1669
2016-05,4.8908,5.01
2016-06,5.2028,3.7643
2016-07,2.5371,5.7707
2016-08,1.3216,5.2042
2016-09,1.8565,4.314
2016-10,8.3236,3.1133
2016-11,17.0978,5.5589
2016-12,13.1484,6.7166
2017-01,11.8342,7.5179
2017-02,12.8463,9.6627
2017-03,11.2606,9.1439
2017-04,12.7133,9.2546
2017-05,17.1637,9.5761
2017-06,15.704,9.4332
2017-07,17.1658,10.0836
2017-08,19.8384,9.7575
2017-09,24.9996,10.3465
2017-10,26.0969,11.0407
2017-11,26.3213,12.0547
2017-12,25.3235,12.1849
2018-01,27.8408,14.2981
2018-02,32.5054,10.7423
2018-03,28.1601,7.7377
2018-04,16.5733,7.1663
2018-05,17.7984,9.4342
2018-06,10.9498,9.9109
2018-07,7.0422,13.185
2018-08,6.7342,16.0378
2018-09,8.7018,16.1493
2018-10,-0.4178,10.1359
2018-11,-6.7517,10.9525
2018-12,-14.8827,0.9755
2019-01,-9.9982,8.6536
2019-02,-6.3797,11.8003
2019-03,-8.8915,10.9644
2019-04,-7.1885,11.9994
2019-05,-4.6216,9.7929
2019-06,-1.8159,13.2837
2019-07,-1.856,14.5748
2019-08,3.1213,12.0445
2019-09,2.8268,13.9283
2019-10,-1.6764,13.8242
2019-11,-1.5881,15.2406
2019-12,-2.2243,16.3477
2020-01,0.3906,16.0
2020-02,-2.839,8.5928
2020-03,-8.5959,2.2428
2020-04,-0.0567,15.3065
2020-05,-1.0761,20.5007
2020-06,-7.6173,20.6291
2020-07,-2.09,25.1907
2020-08,3.6179,33.3535
2020-09,-0.6739,26.8002
2020-10,-7.5431,22.3781
2020-11,-4.2696,31.0342
2020-12,-3.433,35.3489
2021-01,-9.0396,32.969
2021-02,-6.9386,31.3421
2021-03,3.243,33.5115
2021-04,8.344,39.9579
2021-05,9.3938,36.6678
2021-06,9.1059,39.0487
2021-07,8.3202,41.822
2021-08,10.0013,45.3402
2021-09,6.0702,37.9657
2021-10,5.0381,45.0363
2021-11,0.643,42.8984
2021-12,11.366,45.8776
2022-01,6.3001,37.2576
2022-02,23.6953,30.0426
2022-03,20.5864,34.0335
2022-04,15.8447,26.1433
2022-05,19.0909,27.4163
2022-06,17.4261,14.032
2022-07,13.2115,24.1716
2022-08,13.1011,22.3837
2022-09,10.0407,19.8311
2022-10,24.6169,25.5829
2022-11,15.3072,32.1735
2022-12,17.6889,26.2075
2023-01,5.5838,32.0065
2023-02,8.7994,28.5111
2023-03,6.2029,32.0763
2023-04,5.1931,33.7937
2023-05,1.8559,34.0419
2023-06,6.5274,42.2913
2023-07,1.7726,46.4427
2023-08,-0.005,42.2085
2023-09,1.6292,35.0408
2023-10,8.0886,31.7156
2023-11,7.9372,43.3533
2023-12,4.0664,49.4187
2024-01,-1.9463,45.9225
2024-02,0.2931,52.9775
2024-03,4.1029,57.4105
2024-04,2.3064,51.7233
2024-05,-4.4718,56.0692
2024-06,-7.4963,61.0314
2024-07,2.7568,60.1437
2024-08,10.9366,63.097
2024-09,10.9667,62.2106
2024-10,7.5834,60.0887
2024-11,1.0121,68.8548
2024-12,-0.5082,63.7125
2025-01,0.9675,64.5325
2025-02,-1.1523,63.2827
2025-03,9.6725,58.1497
2025-04,0.9905,54.0822
2025-05,0.0243,63.2308
2025-06,1.8059,71.0368
2025-07,17.308,74.3035
2025-08,18.0503,77.2429
2025-09,18.4377,82.8085
2025-10,17.6219,86.4244
2025-11,17.1951,81.8929
2025-12,16.5205,81.1479
2026-01,35.8395,82.5351
