Date,rate_PANW_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Rolling_Divergence_480,is_uptrend,Wave_Stage,Elliott_Factor,EMA_Max_Divergence,Normalized_Max_Divergence
2015-01-02 00:00:00,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,
2015-03-03 00:00:00,19.45,4.16,15.29,100.0,7.41,15.29,0.0,,,,,,,,,
2015-04-29 00:00:00,21.81,3.8,18.01,96.02,-1.95,20.36,0.03,,,,,,,,,
2015-06-25 00:00:00,42.68,3.4,39.28,95.79,-4.21,42.71,0.06,,,,,,,,,
2015-08-21 00:00:00,26.14,-2.77,28.91,72.75,-27.25,54.24,1.16,,,,,,,,,
2015-10-19 00:00:00,32.64,0.19,32.45,76.56,-18.9,54.24,1.16,,,,,,,,,
2015-12-15 00:00:00,45.94,0.99,44.95,90.01,22.73,54.24,0.26,,,,,,,,,
2016-02-12 00:00:00,-7.29,-8.03,0.74,42.45,-31.74,54.24,1.51,,,,,,,,,
2016-04-12 00:00:00,-3.62,1.51,-5.13,36.14,-9.29,54.24,0.0,,,,,,,,,
2016-06-08 00:00:00,-4.51,4.64,-9.15,31.82,-3.64,54.24,0.0,,,,,,,,,
2016-08-04 00:00:00,-6.73,6.55,-13.28,27.37,1.14,54.24,0.0,,,,,,,,,
2016-09-30 00:00:00,5.94,6.55,-0.61,41.0,9.67,54.24,0.0,,,,,,,,,
2016-11-28 00:00:00,-6.97,8.53,-15.5,24.99,-13.43,54.24,0.0,,,,,,,,,
2017-01-26 00:00:00,-1.56,12.65,-14.21,26.37,9.68,54.24,0.0,,,,,,,,,
2017-03-24 00:00:00,-20.4,14.65,-35.05,3.96,-23.09,54.24,0.0,,,,,,,,,
2017-05-22 00:00:00,-17.03,17.16,-34.19,4.88,3.5,54.24,0.0,,,,,,,,,
2017-07-19 00:00:00,-3.47,20.55,-24.02,15.82,3.9,54.24,0.0,,,,,,,,,
2017-09-14 00:00:00,-2.4,21.78,-24.18,15.65,4.39,54.24,0.0,,,,,,,,,
2017-11-09 00:00:00,-4.41,25.33,-29.74,9.67,-7.38,54.24,0.0,,,,,,,,,
2018-01-09 00:00:00,3.24,32.87,-29.63,9.79,0.67,54.24,0.0,,,,,,,,,
2018-03-08 00:00:00,23.49,32.18,-8.69,32.31,16.39,54.24,0.0,,,,,,,,,
2018-05-04 00:00:00,27.58,27.87,-0.29,41.35,-2.32,54.24,0.0,,,,,,,,,
2018-07-02 00:00:00,35.2,30.25,4.95,46.98,2.32,54.24,-3.93,,,,,,,,,
2018-08-28 00:00:00,46.34,38.61,7.73,49.97,14.72,54.24,-3.54,,,,,,,,,
2018-10-24 00:00:00,20.82,26.38,-5.56,35.68,-12.35,54.24,0.0,,,,,,,,,
2018-12-21 00:00:00,13.44,14.29,-0.85,40.74,16.47,54.24,0.0,,,,,,,,,
2019-02-21 00:00:00,43.29,31.47,11.82,54.37,5.27,54.24,-0.16,,,,,,,,,
