Date,rate_PDD_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2018-07,-0.049704208374024,-0.964686670843129,0.9,64.3,-24.5
2018-08,-8.515795996109631,2.655897634238329,-11.2,40.8,-24.5
2018-09,24.72014834646079,2.7664620170187604,22.0,70.2,-24.5
2018-10,-17.395175308636258,-7.167575350514639,-10.2,16.2,-24.5
2018-11,7.779816054217026,-5.28959134481126,13.1,55.3,-24.5
2018-12,4.7783085002899295,-17.083895116211597,21.9,70.0,-24.5
2019-01,35.95617235267865,-8.17343491174438,44.1,89.4,-24.5
2019-02,37.282549042754695,-4.563854622748508,41.8,86.2,-24.5
2019-03,12.041170472897988,-2.5912434474969714,14.6,48.2,-24.5
2019-04,-0.0018440650462969,2.126807965485817,-2.1,24.9,-24.5
2019-05,-12.829189993858323,-7.005293876037829,-5.8,19.7,-24.5
2019-06,-6.74975831612673,1.367073901014514,-8.1,16.5,-24.5
2019-07,0.99814498519899,2.7590207084357274,-1.8,25.3,-24.5
2019-08,48.38616406321525,-0.0042260827903817,48.4,94.9,-24.5
2019-09,43.917970961380014,2.100332759396345,41.8,76.6,-24.5
2019-10,80.32274788119243,4.539901644657007,75.8,92.8,-24.5
2019-11,55.91183436001674,8.939200759629031,47.0,64.9,-24.5
2019-12,61.872764713321416,12.546928517397667,49.3,67.1,-24.5
2020-01,48.51863892282289,11.819770260971277,36.7,54.9,-24.5
2020-02,49.14806505193712,-0.5389880447947704,49.7,67.5,-24.5
2020-03,48.49096096214171,-17.503719812568193,66.0,83.3,-24.5
2020-04,93.38762888970972,-2.881813056978878,96.3,82.7,-24.5
2020-05,168.56415507533336,2.893686134265465,165.7,94.3,-24.5
2020-06,238.31300633848412,4.888861351503749,233.4,96.8,-24.5
2020-07,254.4060648483549,12.47973963883542,241.9,95.9,-24.5
2020-08,236.38777491339047,22.002086569575237,214.4,85.4,-24.5
2020-09,175.15931183554673,15.461565288562866,159.7,65.5,-24.5
2020-10,228.2830937714075,11.04924931824698,217.2,86.5,-24.5
2020-11,397.0836257750927,26.223030084671706,370.9,89.4,-24.5
2020-12,523.3252010370493,31.4178782282117,491.9,98.9,-24.5
2021-01,469.4858115804021,28.962082439295145,440.5,86.3,-24.5
2021-02,476.469294044154,32.650676809921016,443.8,82.1,-24.5
2021-03,342.23282340118493,39.39458703634112,302.8,57.1,-24.5
2021-04,334.4065856691057,47.613474791320506,286.8,54.3,-24.5
2021-05,298.1647011896981,47.871664031064135,250.3,47.8,-24.5
2021-06,298.1722033985179,51.00923052147369,247.2,47.3,-24.5
2021-07,182.7923267160172,54.527418869424544,128.3,26.2,-24.5
2021-08,204.6197676844001,59.04991251961092,145.6,29.3,-24.5
2021-09,172.2832295645305,49.08945410390526,123.2,25.3,-24.5
2021-10,163.71743610780717,60.96388470330836,102.8,21.7,-24.5
2021-11,94.82062167158315,58.51499589400356,36.3,9.9,-24.5
2021-12,69.411279533698,66.22715520588935,3.2,4.1,-24.5
2022-01,72.7168078502979,54.74675266517711,18.0,7.1,-24.5
2022-02,48.57890412537258,48.23211570890445,0.3,4.0,-24.5
2022-03,14.38131752249978,54.24132667003247,-39.9,4.3,-24.5
2022-04,22.38573537485941,36.94002381836015,-14.6,8.5,-24.5
2022-05,42.48356406804135,36.64800317650796,5.8,11.8,-24.5
2022-06,73.9212108476902,21.93654247035044,52.0,19.4,-24.5
2022-07,36.90416528456093,35.61374311284593,1.3,11.1,-24.5
2022-08,98.23330905771256,27.972402698336232,70.3,22.4,-24.5
2022-09,72.56764598343022,12.55271979568549,60.0,20.7,-24.5
2022-10,50.16450260350014,23.896179263759954,26.3,15.2,-24.5
2022-11,123.42594631464516,32.00913562857466,91.4,25.8,-24.5
2022-12,120.135461725384,21.93543919264598,98.2,26.9,-24.5
2023-01,162.0861732734387,31.15088168146749,130.9,32.3,-24.5
2023-02,132.4558434750239,26.426459703954613,106.0,28.2,-24.5
2023-03,99.34423663919364,31.785980338617144,67.6,21.9,-24.5
2023-04,77.72312038160774,33.80084724075423,43.9,18.0,-24.5
2023-05,69.30532315151933,33.99221306658354,35.3,16.6,-24.5
2023-06,78.0562840715681,44.2385054682747,33.8,16.4,-24.5
2023-07,129.781451477212,49.36646589641921,80.4,24.0,-24.5
2023-08,151.20417896276055,45.67545174179282,105.5,28.1,-24.5
2023-09,146.79521247048575,36.5075640154256,110.3,28.9,-24.5
2023-10,153.1514985618591,32.21754562384756,120.9,30.6,-24.5
2023-11,264.90203033691404,46.77814088802773,218.1,46.5,-24.5
2023-12,258.6616747910349,54.3038328170935,204.4,44.3,-24.5
2024-01,208.1289658810504,56.5741010977384,151.6,35.7,-24.5
2024-02,199.86330517617256,65.66075889889103,134.2,32.8,-24.5
2024-03,177.55504844095736,71.33106325714215,106.2,28.2,-24.5
2024-04,196.43514785971644,62.29256802822554,134.1,32.8,-24.5
2024-05,251.66245595084297,71.29980834410532,180.4,40.4,-24.5
2024-06,209.47912757840973,77.71583151847275,131.8,32.4,-24.5
2024-07,197.56989545031627,79.25119600271435,118.3,30.2,-24.5
2024-08,120.1645973291397,83.43491808240833,36.7,16.9,-24.5
2024-09,206.7631893648933,87.22268959692283,119.5,30.4,-24.5
2024-10,172.18681333435413,84.19700254382391,88.0,25.3,-24.5
2024-11,116.39137221307864,96.03925625201605,20.4,14.2,-24.5
2024-12,119.24501290264998,95.7301357581207,23.5,14.7,-24.5
