Date,rate_QCOM_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence
2019-01-02,0.0,0.0,0.0,4.85,0.0
2019-01-16,-2.04,0.28,-2.32,3.86,0.0
2019-01-31,-9.12,1.9,-11.02,0.14,-4.71
2019-02-14,-5.75,2.99,-8.74,1.11,-2.75
2019-03-01,-1.31,4.45,-5.76,2.39,2.25
2019-03-15,2.75,4.98,-2.23,3.9,2.79
2019-03-29,3.47,4.9,-1.43,4.24,1.85
2019-04-12,3.34,6.7,-3.36,3.41,-0.49
2019-04-29,54.54,7.58,46.96,24.95,20.71
2019-05-13,48.87,4.51,44.36,23.84,20.43
2019-05-28,17.57,4.33,13.24,10.52,-14.43
2019-06-11,27.49,6.41,21.08,13.87,-9.97
2019-06-25,29.7,7.2,22.5,14.48,3.96
2019-07-10,32.76,8.71,24.05,15.14,1.27
2019-07-24,35.31,9.37,25.94,15.95,1.47
2019-08-07,24.38,6.17,18.21,12.65,-2.49
2019-08-21,36.72,7.24,29.48,17.47,1.52
2019-09-05,40.59,8.54,32.05,18.57,5.92
2019-09-19,39.3,9.32,29.98,17.68,0.21
2019-10-03,35.08,6.75,28.33,16.98,-1.59
2019-10-17,40.55,8.87,31.68,18.41,0.73
2019-10-31,43.04,9.84,33.2,19.06,2.08
2019-11-14,60.0,11.34,48.66,25.68,7.27
2019-11-29,48.29,12.47,35.82,20.18,1.12
2019-12-13,55.52,13.19,42.33,22.97,-2.71
2019-12-30,56.54,14.13,42.41,23.0,2.82
2020-01-14,60.14,15.64,44.5,23.9,0.93
2020-01-29,56.2,15.46,40.74,22.29,-0.71
2020-02-12,62.1,18.03,44.07,23.71,-0.19
2020-02-27,35.43,8.5,26.93,16.38,-5.91
2020-03-12,20.36,-3.7,24.06,15.15,-8.56
2020-03-26,23.67,-0.12,23.79,15.03,-1.35
2020-04-09,28.06,3.89,24.17,15.2,0.05
2020-04-24,35.6,5.05,30.55,17.93,2.9
2020-05-08,43.24,7.3,35.94,20.23,5.03
2020-05-22,40.1,8.02,32.08,18.58,0.65
2020-06-08,61.51,14.68,46.83,24.89,4.66
2020-06-22,57.72,12.0,45.72,24.42,5.84
2020-07-07,62.81,12.36,50.45,26.44,1.55
2020-07-21,63.1,15.06,48.04,25.41,0.99
2020-08-04,94.6,16.26,78.34,38.38,11.94
2020-08-18,96.42,18.32,78.1,38.27,12.86
2020-09-01,113.29,21.66,91.63,44.06,5.68
2020-09-16,100.7,18.36,82.34,40.09,1.82
2020-09-30,105.97,17.41,88.56,42.75,-1.31
2020-10-14,126.59,20.52,106.07,50.24,10.15
2020-10-28,112.56,15.44,97.12,46.41,3.66
2020-11-11,156.69,22.6,134.09,62.23,11.99
2020-11-25,150.59,24.05,126.54,59.0,12.59
2020-12-10,170.31,25.03,145.28,67.02,4.79
2020-12-24,158.55,25.6,132.95,61.75,2.75
2021-01-11,170.92,27.93,142.99,66.04,-0.98
2021-01-26,181.8,29.15,152.65,70.18,8.43
2021-02-09,154.02,30.7,123.32,57.63,-8.41
2021-02-24,145.55,31.06,114.49,53.85,-16.33
2021-03-10,123.19,30.52,92.67,44.51,-13.12
2021-03-24,122.03,30.35,91.68,44.09,-9.76
2021-04-08,144.27,35.06,109.21,51.59,7.08
2021-04-22,131.81,35.95,95.86,45.87,1.78
2021-05-06,136.93,37.59,99.34,47.36,-4.23
2021-05-20,131.25,36.67,94.58,45.33,-0.54
2021-06-04,134.13,38.43,95.7,45.81,-1.55
2021-06-18,131.86,36.95,94.91,45.47,0.14
2021-07-02,148.05,41.09,106.96,50.62,4.81
2021-07-19,141.65,38.99,102.66,48.78,3.31
2021-08-02,158.67,42.02,116.65,54.77,4.15
2021-08-16,157.43,44.26,113.17,53.28,4.5
2021-08-30,153.73,45.51,108.22,51.16,-3.61
2021-09-14,145.62,43.6,102.02,48.51,-4.77
2021-09-28,126.62,41.45,85.17,41.3,-9.86
2021-10-12,114.88,41.09,73.79,36.43,-12.08
2021-10-26,130.07,46.4,83.67,40.66,-0.64
2021-11-09,188.88,49.14,139.74,64.65,28.22
2021-11-23,212.88,49.34,163.54,74.84,34.18
2021-12-08,215.74,49.66,166.08,75.92,11.27
2021-12-22,213.62,49.21,164.41,75.21,0.37
2022-01-06,221.35,49.24,172.11,78.5,2.58
2022-01-21,185.82,42.12,143.7,66.35,-8.86
2022-02-04,210.4,44.67,165.73,75.77,-2.73
2022-02-18,190.4,41.23,149.17,68.69,2.34
2022-03-07,160.76,37.68,123.08,57.52,-18.25
2022-03-21,170.04,43.99,126.05,58.79,-9.9
2022-04-04,167.03,46.58,120.45,56.4,-1.12
2022-04-19,145.47,43.76,101.71,48.38,-10.41
2022-05-03,150.89,36.93,113.96,53.62,-2.78
2022-05-17,143.17,34.97,108.2,51.16,2.78
2022-06-01,143.73,35.31,108.42,51.25,-2.37
2022-06-15,128.53,28.03,100.5,47.86,-3.3
2022-06-30,122.97,27.61,95.36,45.66,-5.59
2022-07-15,151.08,29.46,121.62,56.9,9.04
2022-07-29,152.24,35.9,116.34,54.64,8.98
2022-08-12,162.77,39.51,123.26,57.6,0.7
2022-08-26,140.95,34.27,106.68,50.5,-4.14
2022-09-12,131.86,35.66,96.2,46.02,-11.58
2022-09-26,109.45,24.87,84.58,41.05,-9.45
2022-10-10,100.77,23.44,77.33,37.95,-8.07
2022-10-24,103.77,27.92,75.85,37.31,-3.74
2022-11-07,93.14,28.19,64.95,32.65,-5.3
2022-11-21,110.23,31.72,78.51,38.45,1.14
2022-12-06,109.52,31.55,77.97,38.22,5.57
2022-12-20,96.54,28.33,68.21,34.04,-4.41
2023-01-05,91.98,28.07,63.91,32.2,-6.02
2023-01-20,114.79,31.98,82.81,40.29,6.25
2023-02-03,135.28,35.92,99.36,47.37,15.17
2023-02-17,122.94,34.71,88.23,42.61,2.32
2023-03-06,113.97,34.07,79.9,39.04,-8.33
