Date,rate_RIVN_5D,rate_VOO_20D
2021-11,0.0,-0.4543
2021-12,0.0,0.2982
2022-01,-20.9662,-1.5505
2022-02,-11.8233,-7.8967
2022-03,-24.6661,-3.886
2022-04,-42.5422,-10.2896
2022-05,-36.7853,-8.5852
2022-06,-44.7153,-22.6555
2022-07,-29.8498,-12.4556
2022-08,-30.7117,-14.2115
2022-09,-28.1741,-16.6957
2022-10,-28.0197,-12.0772
2022-11,-46.996,-5.4735
2022-12,-54.9033,-10.7135
2023-01,-45.9291,-6.0659
2023-02,-45.9179,-9.5914
2023-03,-39.2026,-6.0625
2023-04,-48.0163,-4.3244
2023-05,-37.8827,-4.0247
2023-06,-38.9827,4.0376
2023-07,-1.8049,8.097
2023-08,-8.5339,4.0219
2023-09,-10.3775,2.1488
2023-10,-31.0051,-3.5311
2023-11,-32.1028,8.2821
2023-12,-3.6817,14.4334
2024-01,-23.1317,10.8701
2024-02,-42.8984,10.6224
2024-03,-43.7486,10.3164
2024-04,-53.1447,9.7405
2024-05,-40.7505,9.5098
2024-06,-37.4887,9.237
2024-07,-20.4546,8.8798
2024-08,-23.8079,9.1764
2024-09,-36.2753,9.5311
2024-10,-37.6728,7.7168
2024-11,-23.3917,15.7838
2024-12,-15.9715,11.0942
2025-01,-20.6461,11.3491
2025-02,-27.1249,8.6374
2025-03,-20.6473,3.8542
2025-04,-19.8495,3.2806
2025-05,-14.2999,11.72
2025-06,-17.7656,18.9434
2025-07,-22.724,22.049
2025-08,-18.7011,24.8389
2025-09,-6.3752,28.9849
