Date,rate_ROST_5D,rate_VOO_20D
2016-01,3.5131,0.7475
2016-02,-0.3682,0.3631
2016-03,4.3819,6.1635
2016-04,1.3455,4.8532
2016-05,-5.1899,5.5092
2016-06,1.5227,4.9516
2016-07,10.4681,8.0529
2016-08,10.2616,7.2728
2016-09,12.4874,6.525
2016-10,8.2751,4.0384
2016-11,16.1128,7.3996
2016-12,11.7206,9.0221
2017-01,11.5423,10.0556
2017-02,14.8817,13.4646
2017-03,9.9512,12.6934
2017-04,8.0801,13.0265
2017-05,5.887,13.8264
2017-06,-4.3971,13.7461
2017-07,-8.2246,15.2839
2017-08,-2.6795,14.8547
2017-09,7.8535,16.4705
2017-10,5.6884,18.391
2017-11,26.2989,21.1572
2017-12,32.1753,21.8357
2018-01,34.1727,27.5767
2018-02,22.6257,19.4887
2018-03,21.4626,15.9328
2018-04,25.2001,14.9578
2018-05,21.3738,17.1859
2018-06,29.768,17.444
2018-07,32.7948,20.9505
2018-08,44.2871,24.1299
2018-09,48.2009,24.1209
2018-10,41.9874,14.1084
2018-11,24.6005,15.0224
2018-12,18.2073,4.4886
2019-01,30.3038,12.5608
2019-02,33.2583,15.8612
2019-03,30.4737,17.612
2019-04,36.0373,21.8639
2019-05,29.7872,16.0646
2019-06,34.217,19.9808
2019-07,42.5504,21.2252
2019-08,37.6139,18.3328
2019-09,41.9646,20.1882
2019-10,40.8133,20.3259
2019-11,48.1659,24.2116
2019-12,47.8498,27.349
2020-01,41.5471,26.2815
2020-02,38.6227,19.8213
2020-03,32.7095,15.7478
2020-04,39.8407,30.3559
2020-05,34.5401,35.9447
2020-06,25.2002,35.2146
2020-07,30.7412,39.5903
2020-08,27.9065,48.5304
2020-09,24.2104,40.6583
2020-10,15.8681,35.284
2020-11,31.5997,43.8758
2020-12,40.9956,48.4488
2021-01,31.7513,45.6177
2021-02,30.7181,42.6536
2021-03,20.4696,44.2697
2021-04,28.3874,51.1309
2021-05,21.5094,46.9645
2021-06,22.5387,49.5312
2021-07,15.2692,52.4159
2021-08,11.0646,56.1018
2021-09,2.251,48.0813
2021-10,5.2392,56.0144
2021-11,2.6366,53.5374
2021-12,0.5461,55.8343
2022-01,-10.0226,46.4571
2022-02,-15.4488,38.1483
2022-03,-20.34,42.2675
2022-04,-12.2318,34.5494
2022-05,-14.6657,36.0289
2022-06,-22.4484,21.1749
2022-07,-10.3547,31.8752
2022-08,-4.7157,26.0562
2022-09,-8.0141,14.2993
2022-10,-3.553,23.2183
2022-11,18.648,29.7022
2022-12,17.5225,24.5108
2023-01,17.7521,29.2932
2023-02,16.0093,25.9536
2023-03,17.1048,29.4041
2023-04,17.4176,31.1074
2023-05,13.8225,31.3785
2023-06,23.395,39.5074
2023-07,25.9013,43.6112
2023-08,33.4668,39.288
2023-09,23.7712,32.2789
2023-10,26.8822,29.0551
2023-11,42.2911,40.4823
2023-12,50.9206,46.4584
2024-01,52.4297,48.2956
2024-02,61.2646,55.4714
2024-03,57.1688,59.9707
2024-04,51.082,54.3559
2024-05,59.3607,58.7198
2024-06,65.4979,63.7565
2024-07,62.8922,62.4775
2024-08,69.0696,65.2821
2024-09,68.7038,63.7333
2024-10,53.9655,61.5953
2024-11,66.2222,70.4058
2024-12,62.1389,65.7986
2025-01,60.7919,69.6123
2025-02,49.412,66.3646
2025-03,36.1338,60.3871
2025-04,47.6899,59.1236
2025-05,48.4163,68.5307
2025-06,45.3551,76.5585
2025-07,51.324,79.9077
2025-08,62.5837,82.9229
2025-09,63.3899,88.6543
2025-10,69.8237,92.3724
2025-11,87.7855,92.0168
2025-12,91.4827,91.3981
2026-01,104.5333,93.9446
