Date,rate_RTX_5D,rate_VOO_20D
2015-01,-5.0183,-2.87
2015-02,1.749,1.8741
2015-03,-1.5782,-1.1961
2015-04,-4.582,-0.5074
2015-05,-0.9009,0.4437
2015-06,-5.2602,-1.6563
2015-07,-13.8718,0.2551
2015-08,-18.6183,-5.4989
2015-09,-19.4555,-7.1869
2015-10,-9.1439,0.8645
2015-11,-10.1089,-1.3205
2015-12,-9.3727,-3.1359
2016-01,-15.28,-7.1768
2016-02,-4.8953,-6.9314
2016-03,-1.1012,-0.3336
2016-04,2.9312,-0.0961
2016-05,-0.0294,1.5411
2016-06,1.9046,1.7445
2016-07,6.8404,5.3334
2016-08,5.9549,5.1994
2016-09,1.0532,4.966
2016-10,1.5478,2.8734
2016-11,7.5972,6.511
2016-12,9.0613,8.4495
2017-01,8.6606,9.9149
2017-02,11.7537,13.704
2017-03,10.9473,13.3173
2017-04,17.1943,13.9747
2017-05,19.4908,15.0733
2017-06,19.6284,15.2615
2017-07,15.5526,17.0881
2017-08,16.839,16.8883
2017-09,12.8629,18.7322
2017-10,16.0062,20.9116
2017-11,17.8151,23.9695
2017-12,23.252,24.8923
2018-01,32.6321,31.063
2018-02,25.6938,22.8192
2018-03,16.9685,19.3155
2018-04,12.0906,18.4066
2018-05,16.7424,20.7867
2018-06,16.5194,21.1604
2018-07,26.0451,24.8831
2018-08,22.3871,28.2921
2018-09,29.2944,28.4054
2018-10,12.874,18.0537
2018-11,8.7248,19.0295
2018-12,-4.868,8.1617
2019-01,5.5402,16.4835
2019-02,12.8479,19.9102
2019-03,12.9676,21.7664
2019-04,21.5439,26.2019
2019-05,11.6499,20.2508
2019-06,9.9796,24.3254
2019-07,12.6333,25.6671
2019-08,8.3322,22.6997
2019-09,13.2128,24.6584
2019-10,16.0054,24.8127
2019-11,20.1208,28.8734
2019-12,20.9096,32.1822
2020-01,20.884,31.139
2020-02,12.1732,24.4763
2020-03,-1.2041,20.2578
2020-04,8.3062,35.4305
2020-05,4.9034,41.2871
2020-06,6.4792,40.5874
2020-07,-3.2349,45.1986
2020-08,4.8298,54.5878
2020-09,-3.746,46.4503
2020-10,-12.0561,40.9236
2020-11,6.9113,49.9243
2020-12,7.6432,54.7698
2021-01,5.4614,51.9006
2021-02,8.1593,48.8637
2021-03,13.3218,50.6088
2021-04,17.8723,57.8375
2021-05,26.0632,53.5202
2021-06,20.9073,56.2614
2021-07,22.9496,59.3395
2021-08,18.509,63.2606
2021-09,19.6157,54.9349
2021-10,23.3685,63.2893
2021-11,12.9005,60.7521
2021-12,16.5477,63.2192
2022-01,19.5398,53.4519
2022-02,21.2427,44.763
2022-03,12.0633,49.1136
2022-04,6.7695,41.0549
2022-05,7.6003,42.6143
2022-06,5.9964,27.0609
2022-07,-0.619,38.2653
2022-08,-3.7547,32.1672
2022-09,-12.0832,19.822
2022-10,1.918,29.1549
2022-11,2.698,35.9228
2022-12,1.1551,30.4761
2023-01,-1.1685,35.4662
2023-02,-2.3734,31.9626
2023-03,-2.5087,35.5645
2023-04,-1.2519,37.3478
2023-05,-3.3626,37.6289
2023-06,-0.6226,46.1373
2023-07,-10.7902,50.4439
2023-08,-11.9984,45.9146
2023-09,-26.2897,38.5778
2023-10,-16.3963,35.2022
2023-11,-15.5619,47.1656
2023-12,-12.6978,53.442
2024-01,-5.353,55.3892
2024-02,-6.3023,62.9214
2024-03,-1.0106,67.6656
2024-04,3.0388,61.8
2024-05,6.0049,66.3859
2024-06,-1.3382,71.7031
2024-07,15.4517,70.3842
2024-08,21.6798,73.3546
2024-09,16.8256,71.7534
2024-10,14.5876,69.539
2024-11,11.644,78.813
2024-12,6.3327,74.0068
2025-01,18.42,78.0327
2025-02,22.5414,74.6402
2025-03,21.8757,68.4006
2025-04,14.6839,67.0822
2025-05,23.3903,76.9787
2025-06,29.2411,85.4388
2025-07,36.0698,88.9831
2025-08,32.9185,92.1565
2025-09,35.8628,98.221
2025-10,34.3778,102.1535
2025-11,31.9198,98.4537
