Date,rate_SBUX_5D,rate_VOO_20D
2016-01,2.767,-3.0703
2016-02,-7.0182,-2.8192
2016-03,-3.7236,3.7874
2016-04,-9.0355,4.0041
2016-05,-9.2239,5.6204
2016-06,-4.2257,5.8076
2016-07,-2.1699,9.3886
2016-08,-4.6154,9.241
2016-09,-7.7693,8.9951
2016-10,-8.881,6.8912
2016-11,0.7887,10.5183
2016-12,-3.4526,12.4473
2017-01,-4.07,13.9039
2017-02,-0.6663,17.688
2017-03,1.9636,17.2838
2017-04,4.7727,17.9428
2017-05,11.0707,19.0348
2017-06,1.2717,19.2167
2017-07,-6.3439,21.0406
2017-08,-4.1633,20.8352
2017-09,-6.0105,22.688
2017-10,-3.9093,24.8695
2017-11,1.9605,27.9218
2017-12,1.1073,28.8396
2018-01,-0.174,35.007
2018-02,0.8631,26.7596
2018-03,2.2428,23.2352
2018-04,1.5171,22.321
2018-05,0.3694,24.7074
2018-06,-13.4955,25.0892
2018-07,-6.8873,28.8082
2018-08,-4.1197,32.2137
2018-09,2.0625,32.3237
2018-10,-0.9603,21.9688
2018-11,12.0781,22.9445
2018-12,10.5916,12.0737
2019-01,16.9765,20.419
2019-02,20.7774,23.8548
2019-03,27.1521,25.7131
2019-04,32.1682,30.165
2019-05,29.2276,24.1927
2019-06,35.2443,28.2711
2019-07,51.7093,29.6111
2019-08,51.4021,26.6405
2019-09,47.6834,28.5946
2019-10,42.0561,28.74
2019-11,43.3534,32.8081
2019-12,46.631,36.1211
2020-01,40.514,35.0659
2020-02,26.4998,28.4008
2020-03,19.8134,24.1798
2020-04,39.5778,39.4032
2020-05,33.1633,45.2526
2020-06,23.8662,44.5358
2020-07,25.4427,49.147
2020-08,38.71,58.5386
2020-09,37.5638,50.3985
2020-10,36.6592,44.8437
2020-11,45.5101,53.8525
2020-12,52.6629,58.6957
2021-01,47.3813,55.8244
2021-02,45.9438,52.7855
2021-03,41.5514,54.5249
2021-04,47.583,61.7591
2021-05,45.2584,57.4398
2021-06,41.9614,60.1791
2021-07,53.4622,63.2583
2021-08,48.335,67.1847
2021-09,39.4541,58.8289
2021-10,31.8057,67.192
2021-11,36.224,64.6605
2021-12,37.1107,67.126
2022-01,14.859,57.3226
2022-02,7.6068,48.6325
2022-03,5.4826,52.9753
2022-04,-8.2615,44.8982
2022-05,-9.6176,46.4579
2022-06,-15.3833,30.9022
2022-07,-6.0315,42.1065
2022-08,-6.2314,36.0076
2022-09,-5.9147,23.6617
2022-10,-8.4381,32.9827
2022-11,3.6458,39.7501
2022-12,2.4796,34.3028
2023-01,7.4013,39.2923
2023-02,2.3878,35.7881
2023-03,4.3867,39.3894
2023-04,14.3795,41.1721
2023-05,2.9772,41.4527
2023-06,2.4127,49.9745
2023-07,4.9734,54.2877
2023-08,-0.7641,49.7552
2023-09,-7.0616,42.4205
2023-10,-6.0213,39.0443
2023-11,1.6692,51.007
2023-12,-1.6787,57.2827
2024-01,-4.6722,59.2255
2024-02,-2.148,66.7686
2024-03,-6.5899,71.5116
2024-04,-9.4877,65.6453
2024-05,-17.1442,70.2329
2024-06,-19.4561,75.5489
2024-07,-19.1704,74.2298
2024-08,-1.1148,77.1996
2024-09,-2.6699,75.6026
2024-10,-2.7083,73.3768
2024-11,2.6434,82.6752
2024-12,-8.5972,77.8684
2025-01,7.9229,81.8936
2025-02,14.1479,78.5003
2025-03,9.8338,72.2548
2025-04,-6.4178,70.9356
2025-05,-1.1594,80.8315
2025-06,7.8705,89.291
2025-07,7.3619,92.8346
2025-08,2.9928,96.0301
2025-09,-3.3533,102.0905
2025-10,-7.5869,106.0321
2025-11,0.2785,105.6908
2025-12,-3.0448,105.0746
