Date,rate_SDGR_5D,rate_VOO_20D
2020-02,8.6895,0.0
2020-03,-4.4967,-0.9938
2020-04,-8.1739,13.3299
2020-05,37.3283,16.2635
2020-06,53.1718,15.8942
2020-07,15.7815,19.8293
2020-08,-2.7302,25.2232
2020-09,-21.9266,18.3599
2020-10,-18.5047,13.4641
2020-11,16.53,20.7896
2020-12,31.1618,23.6633
2021-01,39.0586,20.0563
2021-02,42.7123,18.1491
2021-03,25.8162,22.294
2021-04,23.9075,27.1553
2021-05,12.8987,23.6122
2021-06,20.7079,25.3263
2021-07,7.6245,26.9498
2021-08,-5.608,29.1943
2021-09,-13.5171,22.1403
2021-10,-13.1113,29.5017
2021-11,-37.3387,27.2056
2021-12,-43.1006,28.7264
2022-01,-52.3545,20.9179
2022-02,-39.3463,14.805
2022-03,-46.0644,18.3286
2022-04,-51.769,11.1534
2022-05,-47.8116,13.2366
2022-06,-50.3151,0.4457
2022-07,-39.438,9.5645
2022-08,-47.6777,7.1568
2022-09,-52.0524,3.3491
2022-10,-54.4719,7.5713
2022-11,-66.2253,13.215
2022-12,-65.8022,7.8377
2023-01,-53.3985,12.9054
2023-02,-55.1277,9.8784
2023-03,-52.9693,12.9342
2023-04,-46.6225,14.3788
2023-05,-40.9596,14.5494
2023-06,-10.6555,21.9034
2023-07,-11.2229,25.3586
2023-08,-21.5752,21.6942
2023-09,-39.5176,15.8058
2023-10,-52.8922,12.9323
2023-11,-31.0319,22.8441
2023-12,-26.0327,28.3053
2024-01,-37.6501,26.3215
2024-02,-39.7276,32.2643
2024-03,-36.5918,36.215
2024-04,-41.1741,31.2678
2024-05,-48.9276,34.9512
2024-06,-52.8004,39.3893
2024-07,-46.3317,38.1032
2024-08,-49.2666,41.2381
2024-09,-52.8794,39.1173
2024-10,-53.2054,37.1444
2024-11,-38.8861,40.3521
2024-12,-44.0728,35.7994
2025-01,-36.7112,36.3264
2025-02,-40.5127,33.6426
2025-03,-46.8018,29.5705
2025-04,-41.4767,22.8046
