Date,rate_SEDG_5D,rate_VOO_20D
2015-03,0.0,0.0
2015-04,2.1717,0.0
2015-05,49.1589,0.0
2015-06,38.6329,0.0
2015-07,23.7034,0.0
2015-08,-6.0339,0.0
2015-09,-10.8118,-2.3535
2015-10,-25.062,5.1504
2015-11,-25.5362,3.2215
2015-12,9.9963,2.6389
2016-01,4.9128,2.4536
2016-02,-6.7229,3.426
2016-03,-12.68,9.6095
2016-04,-7.3607,9.3703
2016-05,-16.9223,8.9957
2016-06,-24.6126,8.5525
2016-07,-30.3238,9.2931
2016-08,-32.4333,8.8882
2016-09,-30.0736,8.4476
2016-10,-39.4763,7.616
2016-11,-40.9976,8.2074
2016-12,-42.6935,8.3838
2017-01,-38.9045,8.4837
2017-02,-29.3332,9.0695
2017-03,-23.4505,8.7753
2017-04,-19.8794,8.7055
2017-05,-7.2743,8.7223
2017-06,-0.2881,8.5764
2017-07,14.1185,8.7378
2017-08,31.1429,8.533
2017-09,31.4657,8.6911
2017-10,50.1074,8.9031
2017-11,64.6771,9.2574
2017-12,67.7892,9.2605
2018-01,58.6501,10.0984
2018-02,102.7551,9.0972
2018-03,114.6295,7.6819
2018-04,111.8625,7.3245
2018-05,118.4415,9.2745
2018-06,103.8454,9.7223
2018-07,115.1151,12.5725
2018-08,91.1744,15.1034
2018-09,48.4852,15.2829
2018-10,45.1237,10.0489
2018-11,33.5146,11.0456
2018-12,25.9029,1.1349
2019-01,50.6004,8.9917
2019-02,44.3639,12.2607
2019-03,27.9396,11.0618
2019-04,47.0762,11.8408
2019-05,76.6415,10.0536
2019-06,88.5093,11.4447
2019-07,86.4893,11.5842
2019-08,120.8618,10.9959
2019-09,109.1357,11.2541
2019-10,99.2816,11.5575
2019-11,89.905,12.1897
2019-12,119.466,12.679
2020-01,122.8923,12.4658
2020-02,155.8477,10.7706
2020-03,105.0134,7.6696
2020-04,160.8,21.4404
2020-05,228.4212,26.8573
2020-06,232.0361,26.4275
2020-07,272.8229,30.2963
2020-08,315.114,37.922
2020-09,334.0767,31.2145
2020-10,387.4791,25.6416
2020-11,409.4067,32.8927
2020-12,478.1639,35.7292
2021-01,421.4826,34.1724
2021-02,375.4497,35.0658
2021-03,359.0602,36.3436
2021-04,286.2121,37.9237
2021-05,249.6599,37.3964
2021-06,271.0917,37.5082
2021-07,249.7879,37.6774
2021-08,260.8178,37.9909
2021-09,219.9432,36.2774
2021-10,289.5822,37.613
2021-11,274.5792,36.9696
2021-12,254.6177,37.722
2022-01,195.6801,35.8734
2022-02,293.2202,29.5272
2022-03,283.3245,33.5379
2022-04,254.515,27.1342
2022-05,255.3361,28.8387
2022-06,230.9222,14.7684
2022-07,293.9549,24.9682
2022-08,199.6515,23.2124
2022-09,174.4843,20.7282
2022-10,194.4362,25.3467
2022-11,279.7431,31.9504
2022-12,258.4994,26.7104
2023-01,268.5353,31.3579
2023-02,222.7234,27.8325
2023-03,199.5424,31.3614
2023-04,184.4506,33.0995
2023-05,172.8604,33.3991
2023-06,163.4937,41.4615
2023-07,135.215,45.5209
2023-08,102.6854,41.4457
2023-09,60.6955,39.5727
2023-10,-6.0049,33.8928
2023-11,-1.6469,45.7059
2023-12,15.9364,51.8572
2024-01,-3.2709,48.2939
2024-02,-10.8549,48.0462
2024-03,-18.9092,47.7403
2024-04,-31.6384,47.1643
2024-05,-43.0706,46.9337
2024-06,-70.4132,46.6609
2024-07,-65.6514,46.3037
2024-08,-73.2974,46.6003
2024-09,-74.5098,46.9549
2024-10,-79.28,45.1407
2024-11,-80.7265,53.2076
2024-12,-82.8188,48.5181
2025-01,-82.8539,48.773
2025-02,-77.6495,46.0613
2025-03,-80.9556,41.2781
2025-04,-81.6676,40.7044
2025-05,-72.6288,49.1439
2025-06,-75.7241,56.3673
2025-07,-71.001,59.4728
2025-08,-65.2829,62.2627
2025-09,-63.5449,66.4088
