Date,rate_TMO_5D,rate_VOO_20D
2015-01,-1.43,-1.42
2015-02,2.24,3.81
2015-03,5.51,1.86
2015-04,-1.51,2.71
2015-05,1.51,3.69
2015-06,1.61,1.43
2015-07,8.99,3.45
2015-08,-2.35,-2.99
2015-09,-4.39,-5.11
2015-10,2.35,2.98
2015-11,7.98,3.19
2015-12,10.42,1.25
2016-01,2.52,-3.69
2016-02,0.32,-3.7
2016-03,9.74,2.89
2016-04,11.36,3.11
2016-05,16.63,4.75
2016-06,13.04,4.89
2016-07,20.93,8.53
2016-08,15.22,8.37
2016-09,20.02,8.12
2016-10,10.41,5.95
2016-11,4.95,9.69
2016-12,5.63,11.65
2017-01,13.77,13.25
2017-02,17.29,17.22
2017-03,13.88,16.86
2017-04,22.12,17.61
2017-05,26.98,18.78
2017-06,27.59,19.01
2017-07,27.66,20.96
2017-08,35.35,20.79
2017-09,36.1,22.74
2017-10,38.53,25.03
2017-11,36.91,28.25
2017-12,34.23,29.25
2018-01,57.36,35.75
2018-02,45.42,30.03
2018-03,43.16,26.25
2018-04,44.97,26.17
2018-05,42.67,28.67
2018-06,41.15,29.05
2018-07,58.85,33.05
2018-08,60.81,36.68
2018-09,63.16,36.79
2018-10,55.09,26.85
2018-11,64.56,28.73
2018-12,46.74,16.94
2019-01,60.21,25.85
2019-02,68.19,29.46
2019-03,76.27,31.43
2019-04,77.4,36.15
2019-05,69.54,27.01
2019-06,85.36,35.39
2019-07,74.02,36.78
2019-08,78.73,34.02
2019-09,80.27,36.12
2019-10,85.69,38.56
2019-11,91.72,42.96
2019-12,97.12,46.57
2020-01,88.74,45.84
2020-02,74.12,33.48
2020-03,68.84,16.52
2020-04,98.1,31.14
2020-05,105.3,36.91
2020-06,111.7,38.91
2020-07,140.11,46.5
2020-08,146.92,56.02
2020-09,152.3,49.48
2020-10,168.25,45.07
2020-11,161.6,60.24
2020-12,160.16,65.44
2021-01,182.48,62.98
2021-02,147.59,66.67
2021-03,149.39,73.41
2021-04,155.13,81.63
2021-05,152.96,81.89
2021-06,170.06,85.03
2021-07,186.95,88.55
2021-08,192.73,93.07
2021-09,199.28,83.11
2021-10,229.09,94.98
2021-11,226.49,92.53
2021-12,241.78,100.25
2022-01,195.72,88.77
2022-02,174.85,82.25
2022-03,196.55,88.26
2022-04,175.8,70.96
2022-05,181.26,70.67
2022-06,167.69,55.96
2022-07,192.93,69.63
2022-08,165.29,61.99
2022-09,145.44,46.57
2022-10,147.24,57.92
2022-11,167.9,66.03
2022-12,161.92,55.95
2023-01,169.65,65.17
2023-02,154.69,60.45
2023-03,169.56,65.81
2023-04,158.06,67.82
2023-05,135.23,68.01
2023-06,140.26,78.26
2023-07,151.31,83.39
2023-08,153.81,79.69
2023-09,129.62,70.53
2023-10,100.85,66.24
2023-11,122.85,80.8
2023-12,137.6,88.32
2024-01,140.07,90.59
2024-02,152.67,99.68
2024-03,156.4,105.35
2024-04,149.66,96.31
2024-05,148.11,105.32
2024-06,140.58,111.74
2024-07,165.53,113.27
2024-08,164.95,117.45
2024-09,165.31,121.24
2024-10,133.26,118.22
2024-11,113.12,124.78
