Date,rate_UNP_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return,sma60_ta,sma120_ta,sma240_ta,Rolling_Divergence_480,is_uptrend,Wave_Stage,Elliott_Factor,EMA_Max_Divergence,Normalized_Max_Divergence
2015-01-02 00:00:00,0.0,0.0,0.0,100.0,0.0,0.0,,,,,,,,,,
2015-03-03 00:00:00,3.21,4.16,-0.95,91.48,-6.95,5.33,0.0,,,,,,,,,
2015-04-29 00:00:00,-6.79,3.8,-10.59,78.41,-4.32,5.33,0.0,,,,,,,,,
2015-06-25 00:00:00,-15.31,3.4,-18.71,67.39,-3.3,5.33,0.0,,,,,,,,,
2015-08-21 00:00:00,-24.24,-2.77,-21.47,63.65,-0.08,5.33,0.0,,,,,,,,,
2015-10-19 00:00:00,-18.32,0.19,-18.51,67.67,0.91,5.33,0.0,,,,,,,,,
2015-12-15 00:00:00,-32.29,0.99,-33.28,47.63,-8.82,5.33,0.0,,,,,,,,,
2016-02-12 00:00:00,-32.12,-8.03,-24.09,60.1,5.82,5.33,0.0,,,,,,,,,
2016-04-12 00:00:00,-29.96,1.51,-31.47,50.09,-2.6,5.33,0.0,,,,,,,,,
2016-06-08 00:00:00,-23.01,4.64,-27.65,55.27,0.8,5.33,0.0,,,,,,,,,
2016-08-04 00:00:00,-19.81,6.55,-26.36,57.02,0.61,5.33,0.0,,,,,,,,,
2016-09-30 00:00:00,-15.86,6.55,-22.41,62.38,2.96,5.33,0.0,,,,,,,,,
2016-11-28 00:00:00,-13.03,8.53,-21.56,63.53,8.1,5.33,0.0,,,,,,,,,
2017-01-26 00:00:00,-5.36,12.65,-18.01,68.34,2.95,5.33,0.0,,,,,,,,,
2017-03-24 00:00:00,-10.18,14.65,-24.83,59.09,-1.9,5.33,0.0,,,,,,,,,
2017-05-22 00:00:00,-7.02,17.16,-24.18,59.98,-3.01,5.33,0.0,,,,,,,,,
2017-07-19 00:00:00,-6.94,20.55,-27.49,55.49,-2.19,5.33,0.0,,,,,,,,,
2017-09-14 00:00:00,-4.36,21.78,-26.14,57.32,3.62,5.33,0.0,,,,,,,,,
2017-11-09 00:00:00,0.6,25.33,-24.73,59.23,1.55,5.33,0.0,,,,,,,,,
2018-01-09 00:00:00,19.59,32.87,-13.28,74.76,7.04,5.33,0.0,,,,,,,,,
2018-03-08 00:00:00,12.45,32.18,-19.73,66.01,-0.45,5.33,0.0,,,,,,,,,
