Date,rate_VICI_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2019-01-07 00:00:00,-0.25,-0.25,0.0,100.0,0.0,0.0,0.0
2019-02-05 00:00:00,7.24,5.22,2.02,95.12,-4.88,5.42,0.26
2019-03-06 00:00:00,4.74,6.73,-1.99,89.37,-5.75,5.42,0.58
2019-04-03 00:00:00,9.08,10.06,-0.98,90.82,1.45,5.42,0.5
2019-05-02 00:00:00,13.48,11.78,1.7,94.66,3.84,5.42,0.29
2019-05-31 00:00:00,10.25,5.68,4.57,98.78,4.12,5.42,0.07
2019-06-28 00:00:00,9.45,12.39,-2.94,88.01,-10.77,5.42,0.65
2019-07-29 00:00:00,5.53,15.47,-9.94,77.96,-10.05,5.42,1.19
2019-08-26 00:00:00,7.51,10.2,-2.69,88.36,10.4,5.42,0.63
2019-09-24 00:00:00,13.86,13.61,0.25,92.58,4.22,5.42,0.4
2019-10-22 00:00:00,16.81,14.19,2.62,95.98,3.4,5.42,0.22
2019-11-19 00:00:00,20.97,18.94,2.03,95.14,-0.84,5.42,0.26
2019-12-18 00:00:00,23.49,21.71,1.78,94.78,-0.36,5.42,0.28
2020-01-17 00:00:00,29.37,26.23,3.14,96.73,1.95,5.42,0.18
2020-02-18 00:00:00,37.0,27.81,9.19,98.95,2.22,9.97,0.1
2020-03-17 00:00:00,-36.11,-3.82,-32.29,41.53,-57.42,12.74,7.45
2020-04-15 00:00:00,-20.79,5.44,-26.23,49.4,7.87,12.74,6.45
2020-05-13 00:00:00,-26.66,6.82,-33.48,39.99,-9.41,12.74,7.65
2020-06-11 00:00:00,1.12,13.92,-12.8,66.84,26.85,12.74,4.22
2020-07-10 00:00:00,-1.6,20.13,-21.73,55.25,-11.59,12.74,5.7
2020-08-07 00:00:00,12.7,26.3,-13.6,65.8,10.55,12.74,4.36
2020-09-04 00:00:00,12.57,29.08,-16.51,62.02,-3.78,12.74,4.84
2020-10-05 00:00:00,19.16,27.74,-8.58,72.32,10.3,12.74,3.53
2020-11-02 00:00:00,16.03,23.96,-7.93,73.16,0.84,12.74,3.42
2020-12-01 00:00:00,25.04,37.08,-12.04,67.83,-5.33,12.74,4.1
2020-12-30 00:00:00,25.77,39.34,-13.57,65.84,-1.99,12.74,4.35
2021-01-29 00:00:00,23.68,38.35,-14.67,64.41,-1.43,12.74,4.53
2021-03-01 00:00:00,40.65,44.93,-4.28,77.9,13.49,12.74,2.82
2021-03-29 00:00:00,35.29,47.22,-11.93,67.97,-9.93,12.74,4.08
2021-04-27 00:00:00,51.36,54.87,-3.51,78.9,10.93,12.74,2.69
2021-05-25 00:00:00,51.96,54.75,-2.79,79.84,0.94,12.74,2.57
2021-06-23 00:00:00,51.5,56.44,-4.94,77.04,-2.8,12.74,2.93
2021-07-22 00:00:00,52.31,60.21,-7.9,73.2,-3.84,12.74,3.41
2021-08-19 00:00:00,40.78,61.35,-20.57,56.75,-16.45,12.74,5.51
2021-09-17 00:00:00,41.86,61.92,-20.06,57.41,0.66,12.74,5.43
2021-10-15 00:00:00,43.95,62.6,-18.65,59.24,1.83,12.74,5.19
2021-11-12 00:00:00,37.28,69.85,-32.57,41.17,-18.07,12.74,7.49
2021-12-13 00:00:00,34.47,69.14,-34.67,38.44,-2.73,12.74,7.84
2022-01-11 00:00:00,37.8,69.7,-31.9,42.04,3.6,12.74,7.38
2022-02-09 00:00:00,37.05,64.84,-27.79,47.38,5.34,12.74,6.7
2022-03-10 00:00:00,29.64,52.94,-23.3,53.21,5.83,12.74,5.96
2022-04-07 00:00:00,31.53,60.83,-29.3,45.42,-7.79,12.74,6.95
2022-05-06 00:00:00,36.54,47.1,-10.56,69.75,24.33,12.74,3.85
2022-06-06 00:00:00,52.86,46.91,5.95,91.18,21.43,12.74,1.12
2022-07-06 00:00:00,45.05,36.53,8.52,94.52,3.34,12.74,0.7
2022-08-03 00:00:00,59.57,47.32,12.25,95.89,1.37,15.53,0.64
2022-08-31 00:00:00,54.65,40.41,14.24,97.35,1.46,16.38,0.43
2022-09-29 00:00:00,37.44,28.67,8.77,87.76,-9.59,18.96,2.32
2022-10-27 00:00:00,44.61,34.55,10.06,89.31,1.55,18.96,2.03
2022-11-25 00:00:00,55.31,42.2,13.11,92.97,3.66,18.96,1.33
2022-12-23 00:00:00,51.72,35.05,16.67,95.8,2.83,20.22,0.85
2023-01-25 00:00:00,56.3,40.92,15.38,94.27,-1.53,20.22,1.16
2023-02-23 00:00:00,54.75,40.73,14.02,92.66,-1.61,20.22,1.48
2023-03-23 00:00:00,38.61,38.36,0.25,76.37,-16.29,20.22,4.78
2023-04-21 00:00:00,53.35,44.15,9.2,86.96,10.59,20.22,2.64
2023-05-19 00:00:00,45.06,46.12,-1.06,74.82,-12.14,20.22,5.09
2023-06-20 00:00:00,46.19,52.92,-6.73,68.11,-6.71,20.22,6.45
2023-07-19 00:00:00,46.99,58.17,-11.18,62.84,-5.27,20.22,7.51
2023-08-16 00:00:00,36.03,52.44,-16.41,56.65,-6.19,20.22,8.77
2023-09-14 00:00:00,43.51,55.81,-12.3,61.51,4.86,20.22,7.78
2023-10-12 00:00:00,31.34,49.72,-18.38,54.32,-7.19,20.22,9.24
2023-11-09 00:00:00,27.66,49.46,-21.8,50.27,-4.05,20.22,10.06
2023-12-08 00:00:00,38.31,58.18,-19.87,52.56,2.29,20.22,9.59
2024-01-09 00:00:00,43.19,62.32,-19.13,53.43,0.87,20.22,9.42
2024-02-07 00:00:00,34.14,70.33,-36.19,33.24,-20.19,20.22,13.5
2024-03-07 00:00:00,30.87,75.62,-44.75,23.11,-10.13,20.22,15.55
2024-04-05 00:00:00,32.02,76.34,-44.32,23.62,0.51,20.22,15.44
2024-05-03 00:00:00,29.49,73.5,-44.01,23.99,0.37,20.22,15.37
2024-06-03 00:00:00,29.18,78.61,-49.43,17.57,-6.42,20.22,16.67
2024-07-02 00:00:00,24.54,85.22,-60.68,4.26,-13.31,20.22,19.36
2024-07-31 00:00:00,40.18,85.73,-45.55,22.17,17.91,20.22,15.74
2024-08-28 00:00:00,48.22,87.86,-39.64,29.16,6.99,20.22,14.32
2024-08-30 00:00:00,49.87,89.66,-39.79,28.98,-1.68,20.22,14.36
