Date,rate_VLO_5D,rate_VOO_20D,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,Max_Divergence,Expected_Return
2019-01-02 00:00:00,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2019-01-31 00:00:00,3.32,1.9,1.42,100.0,0.0,1.42,0.0
2019-03-01 00:00:00,-0.73,4.45,-5.18,90.6,-9.4,1.42,0.13
2019-03-29 00:00:00,1.29,4.9,-3.61,92.83,2.23,1.42,0.1
2019-04-29 00:00:00,6.25,7.58,-1.33,96.08,3.25,1.42,0.06
2019-05-28 00:00:00,-8.84,4.33,-13.17,79.22,-16.86,1.42,0.3
2019-06-25 00:00:00,-2.04,7.2,-9.24,84.81,5.59,1.42,0.22
2019-07-24 00:00:00,2.68,9.37,-6.69,88.45,3.64,1.42,0.16
2019-08-21 00:00:00,-5.4,7.24,-12.64,79.97,-8.48,1.42,0.28
2019-09-19 00:00:00,-0.04,9.32,-9.36,84.64,4.67,1.42,0.22
2019-10-17 00:00:00,6.77,8.87,-2.1,94.99,10.35,1.42,0.07
2019-11-14 00:00:00,17.92,11.34,6.58,98.02,3.03,8.1,0.16
2019-12-13 00:00:00,10.63,13.19,-2.56,86.13,-11.89,8.1,1.12
2020-01-14 00:00:00,12.28,15.64,-3.36,85.09,-1.04,8.1,1.21
2020-02-12 00:00:00,1.51,18.03,-16.52,67.98,-17.11,8.1,2.59
2020-03-12 00:00:00,-41.21,-3.7,-37.51,40.67,-27.31,8.1,4.81
2020-04-09 00:00:00,-33.76,3.89,-37.65,40.49,-0.18,8.1,4.82
2020-05-08 00:00:00,-15.25,7.3,-22.55,60.13,19.64,8.1,3.23
2020-06-08 00:00:00,-3.9,14.68,-18.58,65.3,5.17,8.1,2.81
2020-07-07 00:00:00,-30.22,12.36,-42.58,34.08,-31.22,8.1,5.34
2020-08-04 00:00:00,-30.34,16.26,-46.6,28.85,-5.23,8.1,5.76
2020-09-01 00:00:00,-30.98,21.66,-52.64,20.99,-7.86,8.1,6.4
2020-09-30 00:00:00,-41.69,17.41,-59.1,12.59,-8.4,8.1,7.08
2020-10-28 00:00:00,-50.03,15.44,-65.47,4.31,-8.28,8.1,7.75
2020-11-25 00:00:00,-26.35,24.05,-50.4,23.91,19.6,8.1,6.16
2020-12-24 00:00:00,-27.23,25.6,-52.83,20.75,-3.16,8.1,6.42
2021-01-26 00:00:00,-24.34,29.15,-53.49,19.89,-0.86,8.1,6.49
2021-02-24 00:00:00,-0.92,31.06,-31.98,47.87,27.98,8.1,4.22
2021-03-24 00:00:00,-8.39,30.35,-38.74,39.07,-8.8,8.1,4.94
2021-04-22 00:00:00,-12.25,35.95,-48.2,26.77,-12.3,8.1,5.93
2021-05-20 00:00:00,-2.29,36.67,-38.96,38.79,12.02,8.1,4.96
2021-06-18 00:00:00,-3.43,36.95,-40.38,36.94,-1.85,8.1,5.11
2021-07-19 00:00:00,-19.93,38.99,-58.92,12.83,-24.11,8.1,7.06
2021-08-16 00:00:00,-16.86,44.26,-61.12,9.96,-2.87,8.1,7.29
2021-09-14 00:00:00,-16.67,43.6,-60.27,11.07,1.11,8.1,7.2
2021-10-12 00:00:00,-0.04,41.09,-41.13,35.97,24.9,8.1,5.19
2021-11-09 00:00:00,-0.82,49.14,-49.96,24.48,-11.49,8.1,6.12
2021-12-08 00:00:00,-9.63,49.66,-59.29,12.34,-12.14,8.1,7.1
2022-01-06 00:00:00,1.42,49.24,-47.82,27.26,14.92,8.1,5.89
2022-02-04 00:00:00,9.07,44.67,-35.6,43.16,15.9,8.1,4.6
2022-03-07 00:00:00,5.92,37.68,-31.76,48.15,4.99,8.1,4.2
2022-04-04 00:00:00,25.49,46.58,-21.09,62.03,13.88,8.1,3.08
2022-05-03 00:00:00,49.67,36.93,12.74,100.0,37.97,12.74,0.0
2022-06-01 00:00:00,62.71,35.31,27.4,100.0,0.0,27.4,0.0
2022-06-30 00:00:00,31.98,27.61,4.37,66.01,-33.99,42.04,14.29
2022-07-29 00:00:00,37.23,35.9,1.33,63.26,-2.75,42.04,15.45
2022-08-26 00:00:00,50.23,34.27,15.96,76.47,13.21,42.04,9.89
2022-09-26 00:00:00,22.16,24.87,-2.71,59.62,-16.85,42.04,16.98
2022-10-24 00:00:00,58.82,27.92,30.9,89.95,30.33,42.04,4.23
2022-11-21 00:00:00,66.7,31.72,34.98,93.63,3.68,42.04,2.68
2022-12-20 00:00:00,50.23,28.33,21.9,81.83,-11.8,42.04,7.64
2023-01-20 00:00:00,74.62,31.98,42.64,100.0,18.17,42.64,0.0
2023-02-17 00:00:00,59.27,34.71,24.56,79.26,-20.74,48.99,10.16
2023-03-20 00:00:00,58.45,31.83,26.62,81.01,1.75,48.99,9.3
2023-04-18 00:00:00,56.35,36.36,19.99,75.38,-5.63,48.99,12.06
2023-05-16 00:00:00,35.91,35.42,0.49,58.82,-16.56,48.99,20.17
2023-06-14 00:00:00,38.47,41.83,-3.36,55.55,-3.27,48.99,21.78
2023-07-14 00:00:00,40.4,44.74,-4.34,54.72,-0.83,48.99,22.18
2023-08-11 00:00:00,70.33,43.86,26.47,80.88,26.16,48.99,9.37
2023-09-11 00:00:00,75.8,44.56,31.24,84.93,4.05,48.99,7.38
2023-10-09 00:00:00,56.16,40.69,15.47,71.54,-13.39,48.99,13.94
2023-11-06 00:00:00,54.84,41.47,13.37,69.75,-1.79,48.99,14.82
2023-12-05 00:00:00,54.64,46.52,8.12,65.3,-4.45,48.99,17.0
2024-01-04 00:00:00,60.09,49.07,11.02,67.76,2.46,48.99,15.79
2024-02-02 00:00:00,68.91,55.53,13.38,69.76,2.0,48.99,14.81
2024-03-04 00:00:00,76.93,59.84,17.09,72.91,3.15,48.99,13.27
2024-04-02 00:00:00,114.98,61.42,53.56,100.0,27.09,53.56,0.0
2024-04-30 00:00:00,94.68,57.39,37.29,81.8,-18.2,60.89,11.08
2024-05-29 00:00:00,89.79,63.18,26.61,73.56,-8.24,60.89,16.1
2024-06-27 00:00:00,87.85,68.42,19.43,68.03,-5.53,60.89,19.47
2024-07-26 00:00:00,93.8,67.5,26.3,73.32,5.29,60.89,16.25
2024-08-23 00:00:00,78.3,71.75,6.55,58.09,-15.23,60.89,25.52
2024-08-23 00:00:00,78.3,71.75,6.55,58.09,-15.23,60.89,25.52
