Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,21.931930541992188,21.958291639742814,22.10766784175284,21.615605748760157,21.931930541992188,6910200,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,21.931930541992188,0.0,AMAT,0.3244,Hold,0.0,0,157.08824157714844
2015-01-05,21.228984832763672,21.74740802687467,21.879210164573795,21.22019780012305,21.228984832763672,11419800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,21.931930541992188,-0.205,AMAT,0.3298,Hold,0.0,0,154.32835388183594
2015-01-06,20.429380416870117,21.20262074469065,21.351996926604883,20.411806354067295,20.429380416870117,19678300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,21.931930541992188,-0.5585,AMAT,0.3315,Hold,0.0,0,152.81085205078125
2015-01-07,20.622690200805664,20.534823238185894,20.68419942097634,20.288791385367833,20.622690200805664,15710300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,21.931930541992188,-0.6949,AMAT,0.321,Hold,0.0,0,154.72023010253906
2015-01-08,21.281705856323242,20.816004847034307,21.369574508853937,20.79843078133714,21.281705856323242,16696900,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,21.0989,0.0,0.0,0.0,0.0,21.931930541992188,-0.546,AMAT,0.3133,Hold,0.0,0,157.43841552734375
2015-01-09,21.29926872253418,21.176253679247512,21.387137328862195,21.000516466591478,21.29926872253418,8737000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.9724,0.0,0.0,0.0,0.0,21.931930541992188,-0.4144,AMAT,0.3134,Hold,0.0,0,156.1126708984375
2015-01-12,20.789644241333008,21.325641526117103,21.334428559173993,20.666629130446896,20.789644241333008,12581500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.8845,0.0,0.0,0.0,0.0,21.931930541992188,-0.4569,AMAT,0.3198,Hold,0.0,0,154.95370483398438
2015-01-13,20.49967384338379,21.000522873513944,21.334423344237234,20.39423114843044,20.49967384338379,14419300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.8986,0.0,0.0,0.0,0.0,21.931930541992188,-0.5411,AMAT,0.3243,Hold,0.0,0,154.54507446289062
2015-01-14,20.227283477783203,20.218496446488103,20.490887712816825,20.07790729767619,20.227283477783203,21954700,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.8195,0.0,0.0,0.0,0.0,21.931930541992188,-0.6417,AMAT,0.3252,Hold,0.0,0,153.6362762451172
2015-01-15,20.49967384338379,20.710557557335708,20.84235966906131,20.420592241157472,20.49967384338379,26527200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.6631,0.0,0.0,0.0,0.0,21.931930541992188,-0.5811,AMAT,0.3247,Hold,0.0,0,152.20211791992188
2015-01-16,20.622690200805664,20.394232410893515,20.65783832661748,20.10426707676557,20.622690200805664,16733200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.5278,0.0,0.0,0.0,0.0,21.931930541992188,-0.4655,AMAT,0.321,Hold,0.0,0,154.08648681640625
2015-01-20,20.76327896118164,20.719345480698998,20.88629572325177,20.482100663801088,20.76327896118164,13686000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.5225,0.0,0.0,0.0,0.0,21.931930541992188,-0.3145,AMAT,0.3145,Hold,0.0,0,154.47006225585938
2015-01-21,21.36956787109375,20.8687188859829,21.527731061329728,20.77206323062655,21.36956787109375,13106700,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,20.6965,0.0,0.0,0.0,0.0,21.931930541992188,-0.0064,AMAT,0.3123,Hold,0.0,0,155.2788543701172
2015-01-22,21.633174896240234,21.351994945350437,21.641960250871577,20.886294055972233,21.633174896240234,12543500,2000.0,0,2000.0,0.0,0,0.0,2000,,46.92024497416792,20.9777,0.0,0.0,0.0,0.0,21.931930541992188,0.2792,AMAT,0.301,Hold,0.0,0,157.6551971435547
2015-01-23,21.185039520263672,21.545299277660707,21.545299277660707,21.06202280791661,21.185039520263672,13218600,2000.0,0,2000.0,0.0,0,0.0,2000,,42.95179764384355,21.1148,0.0,0.0,0.0,0.0,21.931930541992188,0.3195,AMAT,0.2969,Buy,0.0,0,156.78807067871094
2015-01-26,21.29926872253418,21.185040707475743,21.35198921594928,20.92143488849169,21.29926872253418,7787700,2000.0,0,2000.0,0.0,0,0.0,2000,,50.74615562495115,21.2501,0.0,0.0,0.0,0.0,21.931930541992188,0.3736,AMAT,0.2914,Buy,0.0,0,157.0965576171875
2015-01-27,20.710556030273438,20.96537487998172,21.079602921466865,20.561179867743846,20.710556030273438,13424700,2000.0,0,2000.0,0.0,0,0.0,2000,,53.124977476895,21.2395,0.0,0.0,0.0,0.0,21.931930541992188,0.22,AMAT,0.3014,Hold,0.0,0,155.03704833984375
2015-01-28,20.543607711791992,20.895082251002584,21.264129176409856,20.517248294519565,20.543607711791992,10843000,2000.0,0,2000.0,0.0,0,0.0,2000,,49.11589906126912,21.0743,0.0,0.0,0.0,0.0,21.931930541992188,0.0708,AMAT,0.312,Hold,0.0,0,152.99423217773438
2015-01-29,20.75448226928711,20.534811634953204,20.84234918225752,20.262418841692327,20.75448226928711,8518900,2000.0,0,2000.0,0.0,0,0.0,2000,,43.44956403415686,20.8986,0.0,0.0,0.0,0.0,21.931930541992188,0.0466,AMAT,0.3049,Hold,0.0,0,154.47842407226562
2015-01-30,20.069116592407227,20.552391493482588,20.842356769318712,20.025183119929302,20.069116592407227,13074500,2000.0,0,2000.0,0.0,0,0.0,2000,,36.89136003811329,20.6754,20.8881,0.0,0.0,0.0,21.931930541992188,-0.1712,AMAT,0.3115,Hold,0.0,0,152.57737731933594
2015-02-02,20.086692810058594,20.139413317887737,20.209707886978165,19.585843795794936,20.086692810058594,14152300,3000.0,0,3000.0,0.0,0,0.0,3000,"Monthly invest 33.3% of total investment ($1,000.00)",41.631718314541075,20.4329,20.7958,0.0,0.0,0.0,21.931930541992188,-0.2853,AMAT,0.3031,Hold,0.0,0,154.32835388183594
2015-02-03,20.605117797851562,20.095481705660234,20.62269018478894,20.060333579875714,20.605117797851562,11810800,3000.0,0,3000.0,0.0,0,0.0,3000,,51.190502339744214,20.4118,20.7646,0.0,0.0,0.0,21.931930541992188,-0.1727,AMAT,0.2992,Buy,0.0,0,156.57960510253906
2015-02-04,20.75448226928711,20.61389152143579,20.956578850645357,20.596319144414068,20.75448226928711,14635900,3000.0,0,3000.0,0.0,0,0.0,3000,,56.12235495500445,20.454,20.7809,0.0,0.0,0.0,21.931930541992188,-0.0362,AMAT,0.3067,Hold,0.0,0,156.0459442138672
2015-02-05,21.053239822387695,20.763274555249787,21.132321411239353,20.534818494072216,21.053239822387695,13207000,3000.0,0,3000.0,0.0,0,0.0,3000,,56.38942777208808,20.5137,20.8024,0.0,0.0,0.0,21.931930541992188,0.154,AMAT,0.2993,Buy,0.0,0,157.63021850585938
