Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,7.605643272399902,7.669473676448179,7.766737846248107,7.53269496388034,7.605643272399902,13500000,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,7.605643272399902,0.0,AVGO,0.2584,Buy,0.0,0,157.0882110595703
2015-01-05,7.484061717987059,7.604122810188409,7.661113692783795,7.477222928024157,7.484061717987059,15596000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,7.605643272399902,-0.1021,AVGO,0.2652,Buy,0.0,0,154.3282928466797
2015-01-06,7.31384801864624,7.51901605117075,7.528894141604853,7.232540558406674,7.31384801864624,22194000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,7.605643272399902,-0.3045,AVGO,0.2681,Buy,0.0,0,152.81082153320312
2015-01-07,7.511420726776123,7.374641971913481,7.552454208299178,7.335128141605549,7.511420726776123,30907000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,7.605643272399902,-0.2479,AVGO,0.2577,Buy,0.0,0,154.72018432617188
2015-01-08,7.886798858642578,7.639078397798533,7.925553213243535,7.626160279598214,7.886798858642578,33265000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,7.5604,0.0,0.0,0.0,0.0,7.886798858642578,0.1186,AVGO,0.2489,Buy,0.0,0,157.4384307861328
2015-01-09,7.971144676208496,7.938469653120707,8.039534023473701,7.794852893477823,7.971144676208496,23432000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,7.6335,0.0,0.0,0.0,0.0,7.971144676208496,0.4123,AVGO,0.2497,Buy,0.0,0,156.11268615722656
2015-01-12,7.838925361633301,7.984062491012331,8.027375790954686,7.805490876876312,7.838925361633301,18692000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,7.7044,0.0,0.0,0.0,0.0,7.971144676208496,0.4634,AVGO,0.2572,Buy,0.0,0,154.95367431640625
2015-01-13,7.794850349426269,7.886035874459658,8.159592449559822,7.730260511942853,7.794850349426269,24337000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,7.8006,0.0,0.0,0.0,0.0,7.971144676208496,0.4333,AVGO,0.2619,Buy,0.0,0,154.54510498046875
2015-01-14,7.85640287399292,7.683150389094314,7.864001851538238,7.599563810130977,7.85640287399292,20984000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,7.8696,0.0,0.0,0.0,0.0,7.971144676208496,0.4406,AVGO,0.2638,Buy,0.0,0,153.63629150390625
2015-01-15,7.699109077453613,7.869322289289922,8.019778591055628,7.678591979631697,7.699109077453613,18372000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,7.8321,0.0,0.0,0.0,0.0,7.971144676208496,0.289,AVGO,0.2646,Buy,0.0,0,152.2021484375
2015-01-16,7.88907527923584,7.651233013500919,7.895914066885412,7.622357488155482,7.88907527923584,15375000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,7.8157,0.0,0.0,0.0,0.0,7.971144676208496,0.3323,AVGO,0.2599,Buy,0.0,0,154.0865478515625
2015-01-20,7.968865394592285,7.879199492234846,7.996980740774046,7.794852729011208,7.968865394592285,12840000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,7.8417,0.0,0.0,0.0,0.0,7.971144676208496,0.4029,AVGO,0.2536,Buy,0.0,0,154.47006225585938
2015-01-21,8.007622718811035,7.927834870261192,8.121604531392306,7.91111798221887,8.007622718811035,16451000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,7.8842,0.0,0.0,0.0,0.0,8.007622718811035,0.4517,AVGO,0.2505,Buy,0.0,0,155.27883911132812
2015-01-22,7.993943214416504,8.053213220963558,8.091967578694808,7.714307166996937,7.993943214416504,20639000,1990.087510414124,0,7.5895932388309575,1982.497917175293,248,-0.49562447929379916,2000,cash_0%_Buy 100% of cash (248 shares - Very Safe - MRI:0.24),61.650682681555274,7.9117,0.0,0.0,0.0,0.0,8.007622718811035,0.4405,AVGO,0.2388,Buy,-0.47296563720701235,12,157.65521240234375
2015-01-23,8.129201889038086,7.981025417332172,8.168715711450137,7.921754683714097,8.129201889038086,15088000,2023.6316617202763,0,7.5895932388309575,2016.0420684814453,248,1.1815830860138155,2000,,64.52969850249019,7.9977,0.0,0.0,0.0,0.0,8.129201889038086,0.5123,AVGO,0.236,Buy,-0.9932506713867029,12,156.78807067871094
2015-01-26,8.11020278930664,8.11096225220057,8.13527883369466,7.949867707930775,8.11020278930664,9611000,2018.9198849868778,0,7.5895932388309575,2011.3302917480469,248,0.9459942493438955,2000,,68.42564775382203,8.042,0.0,0.0,0.0,0.0,8.129201889038086,0.5054,AVGO,0.2303,Buy,-0.8081676635741997,12,157.09654235839844
2015-01-27,7.962784767150879,7.984061320210587,8.053210117654634,7.813087983583313,7.962784767150879,15242000,1982.360215492249,0,7.5895932388309575,1974.770622253418,248,-0.8819892253875583,2000,,69.35615134139995,8.0408,0.0,0.0,0.0,0.0,8.129201889038086,0.3455,AVGO,0.2401,Buy,-2.0438366088867066,12,155.03709411621094
2015-01-28,7.978742599487305,8.139837130808225,8.2325423238993,7.968104322400732,7.978742599487305,23302000,1986.3177579116825,0,7.5895932388309575,1978.7281646728516,248,-0.6841121044158793,2000,,65.63272129254335,8.035,0.0,0.0,0.0,0.0,8.129201889038086,0.2297,AVGO,0.2524,Buy,-3.269544616699205,12,152.99424743652344
2015-01-29,8.095004081726074,7.950627155381082,8.100323220201759,7.771295372854255,8.095004081726074,15842000,2015.1506055068974,0,7.5895932388309575,2007.5610122680664,248,0.7575302753448643,2000,,58.42544037715518,8.0552,0.0,0.0,0.0,0.0,8.129201889038086,0.2276,AVGO,0.2448,Buy,-2.379038635253894,12,154.47842407226562
2015-01-30,7.817648410797119,8.000779691828596,8.110202492856457,7.797891506102112,7.817648410797119,16938000,1946.3663991165165,0,7.5895932388309575,1938.7768058776855,248,-2.681680044174173,2000,,44.62768015183119,7.9929,7.8458,0.0,0.0,0.0,8.129201889038086,-0.0201,AVGO,0.2527,Buy,-3.5196758422851415,12,152.57736206054688
2015-02-02,7.782693862915039,7.845764067880275,7.864001322891708,7.53497344382446,7.782693862915039,21581000,2937.697671241761,0,1007.589593238831,1930.1080780029297,248,-2.0767442919413015,3000,"Monthly invest 33.3% of total investment ($1,000.00)",47.88812957112874,7.9274,7.8546,0.0,0.0,0.0,8.129201889038086,-0.2137,AVGO,0.2443,Buy,-1.646078247070304,12,154.3282928466797
