Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,1129.7088623046875,1131.6278235558943,1137.0089328686795,1119.2729105618732,1129.7088623046875,509300,2000.0,0,2000.0,0.0,0,0.0,2000,Monthly invest,0.0,0.0,0.0,0.0,0.0,0.0,1129.7088623046875,0.0,BKNG,0.3244,Hold,0.0,0,157.63284301757812
2015-01-05,1085.709716796875,1126.0586148560828,1126.0586148560828,1078.9437246587115,1085.709716796875,1051300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,1129.7088623046875,-0.2493,BKNG,0.3298,Hold,15.37018975067138,3,154.86337280273438
2015-01-06,1068.2803955078125,1091.4768605842626,1092.0406430105754,1060.901112655634,1068.2803955078125,1081500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,1129.7088623046875,-0.4927,BKNG,0.3315,Hold,14.874500373840341,6,153.34063720703125
2015-01-07,1058.0025634765625,1078.973358246878,1080.259226316441,1047.1215283103995,1058.0025634765625,955000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,1129.7088623046875,-0.679,BKNG,0.321,Hold,31.12775011825562,7,155.2566375732422
2015-01-08,1071.1390380859375,1045.519120403186,1071.455644931126,1035.7954745517395,1071.1390380859375,1045800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,1082.5681,0.0,0.0,0.0,0.0,1129.7088623046875,-0.683,BKNG,0.3133,Hold,40.52715121078492,7,157.9842529296875
2015-01-09,1040.5831298828125,1071.7820668984698,1073.354837413645,1040.266643777609,1040.5831298828125,974400,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,1064.743,0.0,0.0,0.0,0.0,1129.7088623046875,-0.8241,BKNG,0.3134,Hold,39.7289303855896,7,156.6538848876953
2015-01-12,1028.732666015625,1043.2835397020583,1043.2835397020583,1009.9678542863952,1028.732666015625,1078500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,1053.3476,0.0,0.0,0.0,0.0,1129.7088623046875,-0.9352,BKNG,0.3198,Hold,39.031124599456795,7,155.49087524414062
2015-01-13,1026.595947265625,1041.0677289796647,1055.4802223823992,1016.6844147669516,1026.595947265625,871100,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,1045.0107,0.0,0.0,0.0,0.0,1129.7088623046875,-0.9631,BKNG,0.3243,Hold,38.78512240219116,7,155.08087158203125
2015-01-14,1024.4693603515625,1015.0522990232644,1028.4161991803148,1010.95705828175,1024.4693603515625,755700,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,1038.304,0.0,0.0,0.0,0.0,1129.7088623046875,-0.9346,BKNG,0.3252,Hold,38.237939174652105,7,154.1688995361328
2015-01-15,987.4540405273438,1029.8011132381985,1031.225481842981,984.911827538128,987.4540405273438,1451700,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,1021.567,0.0,0.0,0.0,0.0,1129.7088623046875,-1.0801,BKNG,0.3247,Hold,37.37451449203492,7,152.7298583984375
