Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,69.77420806884766,69.69067296105699,70.14632111039039,68.84773778992674,69.77420806884766,3767900,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,69.77420806884766,0.0,CAT,0.2583529110627633,Buy,0.0,0,157.08824157714844
2015-01-05,66.09107971191406,68.61230650212235,68.66546467143554,65.76453501647417,66.09107971191406,11301400,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,69.77420806884766,-0.3382,CAT,0.2652330348023323,Buy,0.0,0,154.328369140625
2015-01-06,65.66582489013672,66.28094177568292,66.58470527496992,64.67859496590569,65.66582489013672,8660600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,69.77420806884766,-0.5733,CAT,0.2681006708886183,Buy,0.0,0,152.810791015625
2015-01-07,66.68343353271484,66.3492988599295,66.93403888265948,65.62785974285924,66.68343353271484,6511100,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,69.77420806884766,-0.5958,CAT,0.2577343790252529,Buy,0.0,0,154.72019958496094
2015-01-08,67.36690521240234,67.72382695754486,67.79976639838608,66.70621991008697,67.36690521240234,7617800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,67.1163,0.0,0.0,0.0,0.0,69.77420806884766,-0.5121,CAT,0.2488844179899525,Buy,0.0,0,157.43841552734375
2015-01-09,66.56192016601562,67.40486107559033,67.50358174476516,66.08349079939907,66.56192016601562,4857100,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,66.4738,0.0,0.0,0.0,0.0,69.77420806884766,-0.5039,CAT,0.2497306033577012,Buy,0.0,0,156.1126708984375
2015-01-12,65.9847412109375,66.62264482224856,66.65301594267882,65.36202895364556,65.9847412109375,4351600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,66.4526,0.0,0.0,0.0,0.0,69.77420806884766,-0.5217,CAT,0.2572209450864074,Buy,0.0,0,154.95372009277344
2015-01-13,65.58987426757812,66.58469390896569,66.75176409474501,64.70136516991592,65.58987426757812,5078100,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,66.4374,0.0,0.0,0.0,0.0,69.77420806884766,-0.5368,CAT,0.2619192351401052,Buy,0.0,0,154.5451202392578
2015-01-14,65.362060546875,64.46596142214283,65.4759725818626,63.995127714637185,65.362060546875,10366700,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,66.1731,0.0,0.0,0.0,0.0,69.77420806884766,-0.5327,CAT,0.2637867456866296,Buy,0.0,0,153.6363067626953
2015-01-15,64.55814361572266,65.86737472195708,65.97456282366187,64.54283353318488,64.55814361572266,6683900,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,65.6113,0.0,0.0,0.0,0.0,69.77420806884766,-0.5706,CAT,0.2645545752936427,Buy,0.0,0,152.20211791992188
2015-01-16,64.2059555053711,64.49689381407062,64.55814582894851,63.58579491834493,64.2059555053711,10424800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,65.1402,0.0,0.0,0.0,0.0,69.77420806884766,-0.5892,CAT,0.2598590565894026,Buy,0.0,0,154.08653259277344
2015-01-20,64.29017639160156,64.63470875741793,64.69596077308289,63.69298384215253,64.29017639160156,5937300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,64.8012,0.0,0.0,0.0,0.0,69.77420806884766,-0.5514,CAT,0.2535716226458196,Buy,0.0,0,154.4700927734375
2015-01-21,65.362060546875,63.99922954165553,65.38502859145332,63.99922954165553,65.362060546875,6613100,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,64.7557,0.0,0.0,0.0,0.0,69.77420806884766,-0.383,CAT,0.2505288467485065,Buy,0.0,0,155.27886962890625
