Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2022-01-19,42.0,38.0,43.0,38.0,42.0,129900,1000.0,0,1000.0,0.0,0,0.0,1000,,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,CEG,0.6,Hold,0.0,0,415.3299865722656
2022-01-20,45.0,40.95000076293945,48.369998931884766,40.95000076293945,45.0,153400,1000.0,0,1000.0,0.0,0,0.0,1000,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.4534,CEG,0.6,Hold,-1.8897471659892346,0,410.760009765625
2022-01-21,45.0,43.0,49.95000076293945,42.95000076293945,45.0,329500,1000.0,0,1000.0,0.0,0,0.0,1000,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.7089,CEG,0.6,Hold,-5.226804248706699,0,402.6900024414063
2022-01-24,42.79999923706055,44.91999816894531,45.0,41.880001068115234,42.79999923706055,110000,1000.0,0,1000.0,0.0,0,0.0,1000,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.4996,CEG,0.6,Hold,-4.532104574667443,0,404.3699951171875
2022-01-25,41.89799880981445,42.5,44.91999816894531,41.33000183105469,41.89799880981445,23500,1000.0,0,1000.0,0.0,0,0.0,1000,,0.0,43.3396,0.0,0.0,0.0,0.0,45.0,0.2038,CEG,0.5,Hold,-6.562457440350514,0,399.4599914550781
2022-01-26,43.220001220703125,45.0099983215332,45.060001373291016,42.25,43.220001220703125,90500,1000.0,0,1000.0,0.0,0,0.0,1000,,0.0,43.5836,0.0,0.0,0.0,0.0,45.0,0.201,CEG,0.5,Hold,-6.934617078626474,0,398.55999755859375
2022-01-27,45.7599983215332,47.2599983215332,49.619998931884766,43.75,45.7599983215332,151600,1000.0,0,1000.0,0.0,0,0.0,1000,,0.0,43.7356,0.0,0.0,0.0,0.0,45.7599983215332,0.5606,CEG,0.5,Hold,-7.769909832928647,0,396.5400085449219
2022-01-28,46.75,44.54999923706055,47.59999847412109,44.150001525878906,46.75,43600,1000.0,0,1000.0,0.0,0,0.0,1000,,0.0,44.0856,0.0,0.0,0.0,0.0,46.75,0.8912,CEG,0.6,Hold,-3.7505579768000388,0,406.260009765625
2022-01-31,48.0,46.0,48.0,46.0,48.0,71300,1000.0,0,1000.0,0.0,0,0.0,1000,,0.0,45.1256,0.0,0.0,0.0,0.0,48.0,1.2179,CEG,0.6,Hold,-0.6781556000580622,0,413.6900024414063
2022-02-01,49.77999877929688,47.5,50.0,47.04999923706055,49.77999877929688,298800,1990.2929002380372,0,48.87294784545884,1941.4199523925784,39,-0.48535498809814115,2000,"cash_2%_Buy 100% of cash (39 shares - DCA Strategy) Monthly invest 50.0% of total investment ($1,000.00)",0.0,46.702,0.0,0.0,0.0,0.0,49.77999877929688,1.5916,CEG,0.6,Hold,-0.5378072436001133,3,416.3900146484375
2022-02-02,53.0099983215332,50.03499984741211,56.22999954223633,49.79999923706055,53.0099983215332,23860900,2116.2628823852538,0,48.87294784545884,2067.389934539795,39,5.813144119262681,2000,,0.0,48.66,0.0,0.0,0.0,0.0,53.0099983215332,2.1613,CEG,0.6,Hold,1.0978206860873883,3,420.3599853515625
2022-02-03,53.619998931884766,52.18999862670898,56.56999969482422,50.29999923706055,53.619998931884766,8425500,2140.0529061889647,0,48.87294784545884,2091.179958343506,39,7.00264530944823,2000,,0.0,50.232,0.0,0.0,0.0,0.0,53.619998931884766,2.4408,CEG,0.6,Hold,-2.9274147875454304,3,410.5899963378906
2022-02-04,50.13999938964844,52.59999847412109,54.33000183105469,50.119998931884766,50.13999938964844,6757800,2004.332924041748,0,48.87294784545884,1955.459976196289,39,0.21664620208738938,2000,,0.0,50.91,0.0,0.0,0.0,0.0,53.619998931884766,1.9783,CEG,0.6,Hold,-2.132257805123558,3,412.5199890136719
