Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,72.6583480834961,72.04522175412875,72.92941197279549,71.54181598144186,72.6583480834961,5898800,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,72.6583480834961,0.0,CVX,0.2584,Buy,0.0,0,157.08822631835938
2015-01-05,69.75408935546875,71.6128197621581,71.76771273172587,69.34103815398224,69.75408935546875,11758100,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,72.6583480834961,-0.2558,CVX,0.2652,Buy,0.0,0,154.32835388183594
2015-01-06,69.72180938720703,69.61854906117071,70.36074711868379,68.72145312866594,69.72180938720703,11591600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,72.6583480834961,-0.4063,CVX,0.2681,Buy,0.0,0,152.8108367919922
2015-01-07,69.6637191772461,70.50918239737425,70.81897319138233,69.38620000151552,69.6637191772461,10353800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,72.6583480834961,-0.484,CVX,0.2577,Buy,0.0,0,154.72018432617188
2015-01-08,71.2578353881836,70.47045522991193,71.2771963881481,70.08967084276668,71.2578353881836,8650800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,70.6112,0.0,0.0,0.0,0.0,72.6583480834961,-0.3631,CVX,0.2489,Buy,0.0,0,157.43841552734375
2015-01-09,69.83797454833984,71.08358321049253,71.13521583121418,69.48946174440535,69.83797454833984,9584500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,70.0471,0.0,0.0,0.0,0.0,72.6583480834961,-0.3918,CVX,0.2497,Buy,0.0,0,156.11265563964844
2015-01-12,68.33419799804688,69.36037526227642,69.36037526227642,68.12767246845986,68.33419799804688,8912300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,69.7631,0.0,0.0,0.0,0.0,72.6583480834961,-0.5208,CVX,0.2572,Buy,0.0,0,154.95367431640625
2015-01-13,67.24994659423828,69.00541628891982,69.48301063970897,66.59810322922428,67.24994659423828,13277700,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,69.2687,0.0,0.0,0.0,0.0,72.6583480834961,-0.6687,CVX,0.2619,Buy,0.0,0,154.54513549804688
2015-01-14,67.05632781982422,66.60454980496351,67.3854795997437,65.72036462363027,67.05632781982422,14116900,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,68.7473,0.0,0.0,0.0,0.0,72.6583480834961,-0.7393,CVX,0.2638,Buy,0.0,0,153.6362762451172
2015-01-15,66.26250457763672,67.38549205218769,67.72754958764719,66.17214994275905,66.26250457763672,9664600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,67.7482,0.0,0.0,0.0,0.0,72.6583480834961,-0.8113,CVX,0.2646,Buy,0.0,0,152.2021942138672
2015-01-16,67.84371185302734,66.13341947066097,67.8566175460903,66.13341947066097,67.84371185302734,12604600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,67.3493,0.0,0.0,0.0,0.0,72.6583480834961,-0.6597,CVX,0.2599,Buy,0.0,0,154.08656311035156
2015-01-20,68.71500396728516,67.48230078597014,68.78599760201841,66.99825596222082,68.71500396728516,10406800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,67.4255,0.0,0.0,0.0,0.0,72.6583480834961,-0.4381,CVX,0.2536,Buy,0.0,0,154.47010803222656
