Date,Close,shares,invested_amount,rate,Close_vs,shares_vs,invested_amount_vs,rate_vs
2015-01-02,14.210000038146973,70.0228622766172,1000,-0.4975124378109285,158.1374053955078,6.29215379582898,1000,-0.4975124378109285
2015-01-05,13.880000114440918,70.0228622766172,1000,-2.8082663587072605,155.35903930664062,6.29215379582898,1000,-2.245703111037744
2015-01-06,12.9399995803833,70.0228622766172,1000,-9.390419152333571,153.83143615722656,6.29215379582898,1000,-3.2068945065483376
2015-01-07,11.399999618530272,70.0228622766172,1000,-20.17393967581661,155.7535400390625,6.29215379582898,1000,-1.997477182941179
2015-01-08,11.729999542236328,70.0228622766172,1000,-17.863185754920277,158.48989868164062,6.29215379582898,1000,-0.2757182409764482
2015-01-09,11.529999732971191,70.0228622766172,1000,-19.26364166487251,157.15528869628906,6.29215379582898,1000,-1.1154753695045543
2015-01-12,10.90999984741211,70.0228622766172,1000,-23.60505832467471,155.98858642578125,6.29215379582898,1000,-1.8495823815023527
2015-01-13,11.029999732971191,70.0228622766172,1000,-22.76478477870337,155.5773162841797,6.29215379582898,1000,-2.1083598797612924
2015-01-14,10.8100004196167,70.0228622766172,1000,-24.305282940700568,154.662353515625,6.29215379582898,1000,-2.684068525481655
2015-01-15,10.270000457763672,70.0228622766172,1000,-28.08651723652188,153.21865844726562,6.29215379582898,1000,-3.592463665921355
2015-01-16,10.779999732971191,70.0228622766172,1000,-24.515356335618797,155.11569213867188,6.29215379582898,1000,-2.398820891701621
2015-01-20,10.600000381469728,70.0228622766172,1000,-25.775763315625532,155.50177001953125,6.29215379582898,1000,-2.1558947513481255
2015-01-21,10.43000030517578,70.0228622766172,1000,-26.966152508560093,156.31593322753906,6.29215379582898,1000,-1.643610739379062
2015-01-22,11.010000228881836,70.0228622766172,1000,-22.904827030748333,158.7081756591797,6.29215379582898,1000,-0.1383750096999961
2015-01-23,11.84000015258789,70.0228622766172,1000,-17.092929996021144,157.83523559570312,6.29215379582898,1000,-0.6876423230935188
2015-01-26,12.109999656677246,70.0228622766172,1000,-15.202316187060763,158.1458282470703,6.29215379582898,1000,-0.4922126500678587
2015-01-27,12.130000114440918,70.0228622766172,1000,-15.062267257115264,156.07252502441406,6.29215379582898,1000,-1.7967669243019486
2015-01-28,12.09000015258789,70.0228622766172,1000,-15.342358439105716,154.0160675048828,6.29215379582898,1000,-3.09072162304991
2015-01-29,12.979999542236328,70.0228622766172,1000,-9.110327970343121,155.5101776123047,6.29215379582898,1000,-2.1506045646698113
2015-01-30,12.390000343322754,70.0228622766172,1000,-13.24167123522709,153.5963897705078,6.29215379582898,1000,-3.354789307987164
2015-02-02,13.170000076293944,145.57524419443814,2000,-4.138701142637012,155.35903930664062,12.696833433799423,2000,-1.3716077744243307
2015-02-03,13.65999984741211,145.57524419443814,2000,-0.5721093258497263,157.62538146972656,12.696833433799423,2000,0.06716067301060775
2015-02-04,13.300000190734863,145.57524419443814,2000,-3.1924612223849183,157.08816528320312,12.696833433799423,2000,-0.27388654890083897
2015-02-05,13.579999923706056,145.57524419443814,2000,-1.1544097473019745,158.68299865722656,12.696833433799423,2000,0.7385801363311543
2015-02-06,13.859999656677246,145.57524419443814,2000,0.8836417277809461,158.2380828857422,12.696833433799423,2000,0.4561290642007862
2015-02-09,14.470000267028809,145.57524419443814,2000,5.323691118315196,157.5162353515625,12.696833433799423,2000,-0.002129831103138713
2015-02-10,14.460000038146973,145.57524419443814,2000,5.2509018302415145,159.19500732421875,12.696833433799423,2000,1.0636245744042299
2015-02-11,14.789999961853027,145.57524419443814,2000,7.652892804124257,159.3041229248047,12.696833433799423,2000,1.1328957046876666
2015-02-12,14.779999732971191,145.57524419443814,2000,7.580103516050577,160.7814483642578,12.696833433799423,2000,2.0707634563002104
2015-02-13,15.149999618530272,145.57524419443814,2000,10.273244700659438,161.48646545410156,12.696833433799423,2000,2.518337684186622
2015-02-17,13.920000076293944,145.57524419443814,2000,1.3203705146544167,161.74668884277344,12.696833433799423,2000,2.683538335263893
2015-02-18,14.06999969482422,145.57524419443814,2000,2.4121820694853113,161.78025817871094,12.696833433799423,2000,2.7048495486079673
2015-02-19,13.579999923706056,145.57524419443814,2000,-1.1544097473019745,161.671142578125,12.696833433799423,2000,2.6355784183245534
2015-02-20,13.300000190734863,145.57524419443814,2000,-3.1924612223849183,162.65318298339844,12.696833433799423,2000,3.259018590875439
2015-02-23,13.510000228881836,145.57524419443814,2000,-1.6639208806805754,162.6112823486328,12.696833433799423,2000,3.232418321855948
2015-02-24,13.770000457763672,145.57524419443814,2000,0.2285589598235788,163.0896453857422,12.696833433799423,2000,3.536103112009164
2015-02-25,13.869999885559082,145.57524419443814,2000,0.9564310158546278,162.91339111328125,12.696833433799423,2000,3.424209555037555
2015-02-26,13.609999656677246,145.57524419443814,2000,-0.9360488246495265,162.72877502441406,12.696833433799423,2000,3.3070075685602434
2015-02-27,13.779999732971191,145.57524419443814,2000,0.30134130632867484,162.16632080078125,12.696833433799423,2000,2.9499381889801044
2015-03-02,13.8100004196167,217.62628296258237,3000,0.18063530109616296,163.23233032226562,18.792591998646454,3000,2.2519528244874585
2015-03-03,13.369999885559082,217.62628296258237,3000,-3.0112207231875194,162.53567504882812,18.792591998646454,3000,1.8155542139069134
2015-03-04,13.609999656677246,217.62628296258237,3000,-1.270212119843624,161.85580444335938,18.792591998646454,3000,1.3896698505586906
2015-03-05,14.329999923706056,217.62628296258237,3000,3.952820608341259,162.03208923339844,18.792591998646454,3000,1.5000981217177316
2015-03-06,15.100000381469728,217.62628296258237,3000,9.538565191761093,159.74058532714844,18.792591998646454,3000,0.06465485593569913
2015-03-09,14.18000030517578,217.62628296258237,3000,2.8646919607896204,160.42051696777344,18.792591998646454,3000,0.4905774529102322
2015-03-10,13.100000381469728,217.62628296258237,3000,-4.969853672411061,157.7848663330078,18.792591998646454,3000,-1.1604461147605736
2015-03-11,12.510000228881836,217.62628296258237,3000,-9.249838344246381,157.41551208496094,18.792591998646454,3000,-1.3918169043109627
2015-03-12,13.270000457763672,217.62628296258237,3000,-3.736637515504192,159.44680786132812,18.792591998646454,3000,-0.11937314584955251
2015-03-13,13.25,217.62628296258237,3000,-3.8817250248594517,158.47312927246094,18.792591998646454,3000,-0.7293046277961821
2015-03-16,13.09000015258789,217.62628296258237,3000,-5.042397427088705,160.6387176513672,18.792591998646454,3000,0.6272626669303312
2015-03-17,13.25,217.62628296258237,3000,-3.8817250248594517,160.0931396484375,18.792591998646454,3000,0.28550183984719596
