Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,52.9372444152832,53.2957176061582,53.43599024132834,52.20470888211474,52.9372444152832,1638100,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,52.9372444152832,0.0,ETN,0.3244,Hold,0.0,0,157.08824157714844
2015-01-05,50.7474479675293,52.29823587888944,52.32161366493441,50.61496393740719,50.7474479675293,3206200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,52.9372444152832,-0.2648,ETN,0.3298,Hold,0.0,0,154.32830810546875
2015-01-06,50.17856979370117,50.7240713631327,50.848760833586304,49.53955112142945,50.17856979370117,3241700,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,52.9372444152832,-0.487,ETN,0.3315,Hold,0.0,0,152.810791015625
2015-01-07,50.32662963867188,50.89550891361802,51.09812630049215,50.14739003768317,50.32662963867188,3120800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,52.9372444152832,-0.5827,ETN,0.321,Hold,0.0,0,154.7202606201172
2015-01-08,52.12679672241211,50.809792468750885,52.150174511089006,50.809792468750885,52.12679672241211,3445900,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,51.2633,0.0,0.0,0.0,0.0,52.9372444152832,-0.3888,ETN,0.3133,Hold,0.0,0,157.43841552734375
2015-01-09,51.47998428344727,52.282653416505305,52.39954830721265,51.31633381466543,51.47998428344727,2810800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,50.9719,0.0,0.0,0.0,0.0,52.9372444152832,-0.3224,ETN,0.3134,Hold,0.0,0,156.1126708984375
2015-01-12,51.02798461914063,51.39424644746795,51.589069225427295,50.60716670528612,51.02798461914063,2848300,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,51.028,0.0,0.0,0.0,0.0,52.9372444152832,-0.315,ETN,0.3198,Hold,0.0,0,154.95370483398438
2015-01-13,51.01240158081055,51.23839674378929,51.89299850233179,50.37338303034379,51.01240158081055,3575900,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,51.1948,0.0,0.0,0.0,0.0,52.9372444152832,-0.2907,ETN,0.3243,Hold,0.0,0,154.5451202392578
2015-01-14,50.06166076660156,49.88242713533269,50.326622843742726,49.33692274716394,50.06166076660156,2394500,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,51.1418,0.0,0.0,0.0,0.0,52.9372444152832,-0.3723,ETN,0.3252,Hold,0.0,0,153.6362762451172
2015-01-15,49.92919158935547,50.287664861229366,50.38897653178368,49.54734053059075,49.92919158935547,3635900,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,50.7022,0.0,0.0,0.0,0.0,52.9372444152832,-0.4144,ETN,0.3247,Hold,0.0,0,152.2021484375
2015-01-16,50.33441925048828,49.60188951455879,50.37338619140302,49.57850875545791,50.33441925048828,3488800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,50.4731,0.0,0.0,0.0,0.0,52.9372444152832,-0.3616,ETN,0.321,Hold,0.0,0,154.0865478515625
2015-01-20,50.49808120727539,50.5682145740212,50.63055930814264,50.06946859209185,50.49808120727539,3265200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,50.3672,0.0,0.0,0.0,0.0,52.9372444152832,-0.2808,ETN,0.3145,Hold,0.0,0,154.47003173828125
2015-01-21,51.29295349121094,50.147394320819785,51.37088143265833,50.05388316929125,51.29295349121094,3276800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,50.4233,0.0,0.0,0.0,0.0,52.9372444152832,-0.1069,ETN,0.3123,Hold,0.0,0,155.2788848876953
2015-01-22,52.7424201965332,51.90078440856534,52.92165975982081,51.5423112275092,52.7424201965332,3463400,1990.2426522636417,0,38.773104991913215,1951.4695472717285,37,-0.4878673868179084,2000,cash_2%_Buy 100% of cash (37 shares - Very Safe - MRI:0.30),48.99758424712437,50.9594,0.0,0.0,0.0,0.0,52.9372444152832,0.198,ETN,0.301,Hold,-0.4729656829833839,12,157.6552276611328
2015-01-23,52.22031784057617,52.78140859407715,52.78140859407715,51.99432262344264,52.22031784057617,2356100,1970.9248650932316,0,38.773104991913215,1932.1517601013184,37,-1.4537567453384193,2000,,46.49932645683512,51.4176,0.0,0.0,0.0,0.0,52.9372444152832,0.3225,ETN,0.2969,Buy,-0.9932598724365138,12,156.78807067871094
2015-01-26,52.072242736816406,51.99431479845175,52.30603249743098,51.48777428080058,52.072242736816406,1950000,1965.4460862541202,0,38.773104991913215,1926.672981262207,37,-1.7276956872939842,2000,,58.07987298792464,51.7652,0.0,0.0,0.0,0.0,52.9372444152832,0.3735,ETN,0.2914,Buy,-0.8081677093505713,12,157.0965576171875
2015-01-27,50.66951751708984,50.96565201509586,51.28515835520881,50.41235590766456,50.66951751708984,3771600,1913.5452531242372,0,38.773104991913215,1874.772148132324,37,-4.322737343788141,2000,,52.71783500691607,51.7995,0.0,0.0,0.0,0.0,52.9372444152832,0.2196,ETN,0.3014,Hold,-2.043882431030264,12,155.0370330810547
2015-01-28,49.57072448730469,50.918895226987054,51.05137927839228,49.50058814514242,49.57072448730469,3197400,1872.8899110221867,0,38.773104991913215,1834.1168060302734,37,-6.35550444889067,2000,,46.21392301742823,51.455,0.0,0.0,0.0,0.0,52.9372444152832,-0.0186,ETN,0.312,Hold,-3.269553817749016,12,152.99424743652344
2015-01-29,50.02270126342773,49.43822992299931,50.14738475686013,48.93948405823036,50.02270126342773,3359600,1889.6130517387392,0,38.773104991913215,1850.839946746826,37,-5.519347413063047,2000,,37.81577426657313,50.9111,0.0,0.0,0.0,0.0,52.9372444152832,-0.1044,ETN,0.3049,Hold,-2.379075302124012,12,154.47837829589844
2015-01-30,49.165489196777344,49.50837630528482,49.952572117145145,49.149903013741486,49.165489196777344,3911500,1857.896205272675,0,38.773104991913215,1819.1231002807617,37,-7.105189736366258,2000,,36.91622542362136,50.3001,50.9208,0.0,0.0,0.0,52.9372444152832,-0.2536,ETN,0.3115,Hold,-3.5196941986083807,12,152.5773468017578
