Date,price,Open,High,Low,Close,Volume,bb_upper_ta,bb_lower_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,aroon_up_ta,aroon_down_ta,ppo_histogram,SMA_20_turn,SMA_60_turn,Recent_low,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,stochk_ta,stochd_ta,stock_ticker,rate_vs
2015-01-02,26.80,26.45,26.85,26.45,26.80,6972006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,0.00,0.00,0.00,False,False,26.80,1010000.00,0,1010000.00,0.00,0.00,0.00,1010000,Monthly invest,0.00,0.00,0.00,EXC,0.00
2015-01-05,26.03,26.60,26.79,25.83,26.03,12329749,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,0.00,0.00,-0.18,False,False,26.03,1007487.57,0,505000.76,502486.81,19301.00,-0.25,1010000,week +buy 50% ,0.00,0.00,0.00,EXC,-0.25
2015-01-06,25.83,26.12,26.48,25.80,25.83,10649452,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,0.00,0.00,-0.33,False,False,25.83,1002376.67,0,252503.83,749872.84,29026.00,-0.75,1010000,week +buy 50% ,0.00,0.00,0.00,EXC,-0.86
2015-01-07,25.87,25.92,26.07,25.73,25.87,10545844,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.80,0.00,0.00,-0.40,False,False,25.83,1002783.84,0,126276.08,876507.77,33881.00,-0.71,1010000,week +buy 50% ,0.00,0.00,0.00,EXC,0.00
2015-01-08,26.07,25.98,26.49,25.87,26.07,7527759,0.00,0.00,26.12,0.00,0.00,0.00,0.00,26.80,0.00,0.00,-0.38,False,False,25.83,1009550.38,0,126276.08,883274.30,33881.00,-0.04,1010000,,0.00,0.00,0.00,EXC,1.54
2015-01-09,26.03,26.33,26.39,25.87,26.03,5958640,0.00,0.00,25.97,0.00,0.00,0.00,0.00,26.80,0.00,0.00,-0.35,False,False,25.83,1008100.37,0,126276.08,881824.29,33881.00,-0.19,1010000,,0.00,0.00,0.00,EXC,0.79
2015-01-12,26.13,26.23,26.33,25.82,26.13,7124684,0.00,0.00,25.99,0.00,0.00,0.00,0.00,26.80,0.00,0.00,-0.28,False,False,25.83,1011169.59,0,63152.82,948016.77,36285.00,0.12,1010000,week +buy 50% ,0.00,0.00,0.00,EXC,0.10
2015-01-13,26.04,26.32,26.55,25.91,26.04,7656322,0.00,0.00,26.03,0.00,0.00,0.00,0.00,26.80,0.00,0.00,-0.24,False,False,25.83,1008063.87,0,63152.82,944911.06,36285.00,-0.19,1010000,,0.00,0.00,0.00,EXC,-0.14
2015-01-14,26.33,25.88,26.38,25.85,26.33,8309514,0.00,0.00,26.12,0.00,0.00,0.00,0.00,26.80,0.00,0.00,-0.13,False,False,25.83,1018675.07,0,63152.82,955522.26,36285.00,0.86,1010000,,0.00,0.00,0.00,EXC,-0.70
2015-01-15,26.58,26.53,26.67,26.31,26.58,10542619,0.00,0.00,26.22,0.00,0.00,0.00,0.00,26.80,0.00,0.00,0.01,False,False,25.83,1027733.38,0,63152.82,964580.56,36285.00,1.76,1010000,,0.00,0.00,0.00,EXC,-1.56
2015-01-16,26.66,26.53,26.77,26.52,26.66,8751845,0.00,0.00,26.35,0.00,0.00,0.00,0.00,26.80,0.00,0.00,0.13,False,False,25.83,1030580.33,0,63152.82,967427.51,36285.00,2.04,1010000,,0.00,0.00,0.00,EXC,-0.42
2015-01-20,26.57,26.75,26.80,26.24,26.57,9089727,0.00,0.00,26.44,0.00,0.00,0.00,0.00,26.80,0.00,0.00,0.17,False,False,25.83,1027215.77,0,63152.82,964062.96,36285.00,1.70,1010000,,0.00,0.00,0.00,EXC,-0.19
2015-01-21,27.10,26.51,27.12,26.31,27.10,8627768,0.00,0.00,26.65,0.00,0.00,0.00,0.00,27.10,0.00,0.00,0.32,False,False,25.83,1046367.60,0,63152.82,983214.79,36285.00,3.60,1010000,,0.00,0.00,0.00,EXC,0.30
2015-01-22,26.57,27.26,27.28,26.39,26.57,9469108,0.00,0.00,26.70,0.00,0.00,0.00,0.00,27.10,0.00,0.00,0.28,False,False,25.83,1027215.77,0,63152.82,964062.96,36285.00,1.70,1010000,,46.43,0.00,0.00,EXC,1.74
2015-01-23,26.65,26.65,26.85,26.62,26.65,4499018,0.00,0.00,26.71,0.00,0.00,0.00,0.00,27.10,0.00,0.00,0.26,False,False,25.83,1030321.49,0,63152.82,967168.67,36285.00,2.01,1010000,,47.83,0.00,0.00,EXC,1.21
2015-01-26,26.63,26.58,26.69,26.36,26.63,5945321,0.00,0.00,26.70,0.00,0.00,0.00,0.00,27.10,0.00,0.00,0.23,False,False,25.83,1029388.04,0,31595.06,997792.98,37464.00,1.92,1010000,week +buy 50% ,61.80,0.00,0.00,EXC,1.38
2015-01-27,26.68,26.57,26.89,26.56,26.68,5314702,0.00,0.00,26.73,0.00,0.00,0.00,0.00,27.10,0.00,0.00,0.22,False,False,25.83,1031258.57,0,31595.06,999663.51,37464.00,2.10,1010000,,67.76,0.00,0.00,EXC,0.10
2015-01-28,26.39,26.66,26.94,26.37,26.39,5455322,0.00,0.00,26.59,0.00,0.00,0.00,0.00,27.10,0.00,0.00,0.13,False,False,25.83,1020302.58,0,31595.06,988707.52,37464.00,1.02,1010000,,59.84,0.00,0.00,EXC,-1.18
2015-01-29,26.41,26.39,26.56,26.06,26.41,6080194,0.00,0.00,26.55,0.00,0.00,0.00,0.00,27.10,0.00,0.00,0.07,False,False,25.83,1021104.25,0,31595.06,989509.20,37464.00,1.10,1010000,,56.94,0.00,0.00,EXC,-0.25
2015-01-30,25.71,26.19,26.39,25.68,25.71,9316430,27.10,25.61,26.37,26.35,0.00,0.00,0.00,27.10,0.00,0.00,-0.14,False,False,25.71,994649.69,0,31595.06,963054.63,37464.00,-1.52,1010000,,44.87,0.00,0.00,EXC,-1.44
2015-02-02,25.71,25.68,25.98,25.47,25.71,10027525,27.07,25.53,26.18,26.30,0.00,0.00,0.00,27.10,0.00,0.00,-0.26,False,False,25.71,1004813.50,0,20818.22,983995.28,38268.00,-1.49,1020000,week +buy 50% Monthly invest,43.19,0.00,0.00,EXC,-0.35
2015-02-03,26.34,25.75,26.38,25.64,26.34,11958499,27.07,25.56,26.11,26.32,0.00,0.00,0.00,27.10,0.00,0.00,-0.17,False,False,25.71,1028781.65,0,10414.47,1018367.17,38661.00,0.86,1020000,week +buy 50% ,54.18,20.92,0.00,EXC,1.07
2015-02-04,25.81,26.23,26.25,25.71,25.81,8604214,27.07,25.56,26.00,26.31,0.00,0.00,0.00,27.10,0.00,0.00,-0.23,False,False,25.71,1008349.83,0,5226.03,1003123.80,38861.00,-1.14,1020000,week +buy 50% ,43.18,26.77,0.00,EXC,0.72
2015-02-05,26.11,25.91,26.33,25.71,26.11,7812505,27.06,25.59,25.94,26.33,0.00,0.00,0.00,27.10,0.00,0.00,-0.18,False,False,25.71,1019701.37,0,2628.66,1017072.70,38960.00,-0.03,1020000,week +buy 50% ,43.81,33.99,0.00,EXC,1.74
2015-02-06,24.96,25.93,25.99,24.76,24.96,12965976,27.22,25.32,25.79,26.27,0.00,0.00,0.00,27.10,0.00,0.00,-0.41,False,False,24.96,975232.72,0,1324.03,973908.69,39012.00,-4.39,1020000,week +buy 50% ,32.75,20.71,0.00,EXC,1.45
2015-02-09,24.59,24.95,25.01,24.49,24.59,10186091,27.41,24.99,25.56,26.20,0.00,0.00,0.00,27.10,52.00,100.00,-0.63,False,False,24.59,960760.00,0,681.40,960078.60,39038.00,-5.81,1020000,week +buy 50% ,31.00,15.69,0.00,EXC,0.99
2015-02-10,24.96,24.57,25.04,24.45,24.96,13426674,27.47,24.81,25.29,26.14,0.00,0.00,0.00,27.10,48.00,100.00,-0.64,False,False,24.59,975239.16,0,681.40,974557.76,39038.00,-4.39,1020000,,28.85,10.05,0.00,EXC,2.07
2015-02-11,24.44,24.61,24.64,24.33,24.44,9893914,27.60,24.53,25.01,26.06,0.00,0.00,0.00,27.10,44.00,100.00,-0.73,False,False,24.44,954634.25,0,681.40,953952.85,39038.00,-6.41,1020000,,28.85,8.53,0.00,EXC,2.14
2015-02-12,24.56,24.48,24.69,24.18,24.56,14542666,27.64,24.31,24.70,25.97,0.00,0.00,0.00,27.10,40.00,100.00,-0.72,False,False,24.44,959646.24,0,681.40,958964.84,39038.00,-5.92,1020000,,29.45,11.39,0.00,EXC,3.08
2015-02-13,23.90,23.35,24.26,23.26,23.90,21151694,27.72,23.96,24.49,25.84,0.00,0.00,0.00,27.10,36.00,100.00,-0.83,False,False,23.90,933750.86,0,681.40,933069.46,39038.00,-8.46,1020000,,26.15,10.66,0.00,EXC,3.53
2015-02-17,23.60,23.84,23.95,23.47,23.60,15201045,27.77,23.60,24.29,25.69,0.00,0.00,0.00,27.10,32.00,96.00,-0.92,False,False,23.60,922056.17,0,681.40,921374.77,39038.00,-9.60,1020000,,24.22,12.29,17.10,EXC,3.70
