Date,price,Open,High,Low,Close,Volume,account_balance,deposit,cash,portfolio_value,shares,rate,invested_amount,signal,rsi_ta,sma05_ta,sma20_ta,sma60_ta,sma120_ta,sma240_ta,Recent_high,ppo_histogram,stock_ticker,MRI,MRI_Signal,rate_vs,shares_vs,Close_vs
2015-01-02,44.54999923706055,44.720001220703125,45.34000015258789,43.720001220703125,44.54999923706055,1873800,2000.0,0,2000.0,0.0,0,0.0,2000,"Monthly invest 50.0% of total investment ($1,000.00)",0.0,0.0,0.0,0.0,0.0,0.0,44.54999923706055,0.0,FSLR,0.3554,Hold,0.0,0,188.3999938964844
2015-01-05,41.83000183105469,43.880001068115234,43.97999954223633,41.5099983215332,41.83000183105469,3668000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,44.54999923706055,-0.3914,FSLR,0.3784,Hold,0.0,0,185.08999633789065
2015-01-06,40.86000061035156,42.0099983215332,42.0099983215332,39.880001068115234,40.86000061035156,3712200,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,44.54999923706055,-0.7598,FSLR,0.3902,Hold,0.0,0,183.2700042724609
2015-01-07,41.75,42.0,42.470001220703125,41.400001525878906,41.75,2869800,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,0.0,0.0,0.0,0.0,0.0,44.54999923706055,-0.8218,FSLR,0.3654,Hold,0.0,0,185.5599975585937
2015-01-08,43.630001068115234,42.38999938964844,43.68000030517578,42.02999877929688,43.630001068115234,3205400,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,42.524,0.0,0.0,0.0,0.0,44.54999923706055,-0.5377,FSLR,0.339,Hold,0.0,0,188.82000732421875
2015-01-09,44.20000076293945,43.90999984741211,44.43999862670898,42.83000183105469,44.20000076293945,1965600,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,42.454,0.0,0.0,0.0,0.0,44.54999923706055,-0.2421,FSLR,0.3438,Hold,0.0,0,187.22999572753903
2015-01-12,42.83000183105469,43.810001373291016,43.88999938964844,42.150001525878906,42.83000183105469,2358900,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,42.654,0.0,0.0,0.0,0.0,44.54999923706055,-0.2387,FSLR,0.3669,Hold,0.0,0,185.83999633789065
2015-01-13,42.709999084472656,43.20000076293945,44.4900016784668,42.33000183105469,42.709999084472656,2455100,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,43.024,0.0,0.0,0.0,0.0,44.54999923706055,-0.2353,FSLR,0.3791,Hold,0.0,0,185.3500061035156
2015-01-14,42.27999877929688,42.040000915527344,42.81999969482422,41.38999938964844,42.27999877929688,2131100,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,43.13,0.0,0.0,0.0,0.0,44.54999923706055,-0.2773,FSLR,0.3878,Hold,0.0,0,184.259994506836
2015-01-15,40.15999984741211,42.75,43.09000015258789,40.119998931884766,40.15999984741211,2499000,2000.0,0,2000.0,0.0,0,0.0,2000,,0.0,42.436,0.0,0.0,0.0,0.0,44.54999923706055,-0.5971,FSLR,0.3951,Hold,0.0,0,182.5399932861328
